Kurs:;56;;33;;11;;14;;56;;33;;11;;14;;15;;17;;18;;10;;11;;12;;14;;15;;13;;17;;18;;16;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;14;;15;;17;;18;;34;;51;;52;;54;;55;;31;;18;;34;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Wahren;;;;;;;;;;;;;;;;;;;;;08:41;08:41;08:56;08:56;09:11;09:11;09:26;09:26;09:41;09:41;09:56;09:56;;;10:11;10:11;10:23;10:22;;;10:33;10:33;10:43;10:43;10:53;10:53;11:03;11:03;11:13;11:14;11:23;11:23;11:33;11:33;11:43;11:43;11:53;11:53;12:03;12:03;12:13;12:13;12:23;12:23;12:33;12:33;12:43;12:43;12:53;12:53;13:03;13:03;13:13;13:13;13:23;13:23;13:33;13:33;13:43;13:43;13:53;13:53;14:03;14:03;14:13;14:13;14:23;14:23;14:33;14:34;14:43;14:43;14:53;14:53;15:03;15:03;15:13;15:13;15:23;15:23;15:33;15:34;15:43;15:43;15:53;15:52;16:03;16:03;16:13;16:14;16:23;16:23;16:33;16:34;16:43;16:43;16:53;Grob;17:03;17:04;17:13;17:13;17:23;17:23;17:33;17:33;17:43;17:42;17:53;17:53;18:03;18:03;18:13;18:15;18:23;18:23;18:33;18:33;18:43;18:43;18:56;18:57;19:11;19:12;19:16;19:16;19:26;19:26;19:41;19:41;19:56;19:57;20:11;20:11;20:26;20:26;;;;;;;;;;;;;;;;;;
Annaberger Straße;;;;;;;;;;;;;;;;;;;;;08:43;08:42;08:58;08:57;09:13;09:12;09:28;09:28;09:43;09:43;09:58;09:58;;;10:13;10:12;10:25;10:23;;;10:35;10:35;10:45;10:44;10:55;10:54;11:05;11:05;11:15;11:15;11:25;11:25;11:35;11:35;11:45;11:44;11:55;11:54;12:05;12:04;12:15;12:15;12:25;12:24;12:35;12:34;12:45;12:45;12:55;12:55;13:05;13:05;13:15;13:14;13:25;13:25;13:35;13:34;13:45;13:44;13:55;13:55;14:05;14:04;14:15;14:14;14:25;14:24;14:35;14:35;14:45;14:45;14:55;14:55;15:05;15:04;15:15;15:14;15:25;15:24;15:35;15:35;15:45;15:44;15:55;15:54;16:05;16:05;16:15;16:15;16:25;16:24;16:35;16:35;16:45;16:44;16:55;16:55;17:05;17:05;17:15;17:15;17:25;17:24;17:35;17:34;17:45;17:44;17:55;17:55;18:05;18:04;18:15;18:16;18:25;18:24;18:35;18:35;18:45;18:44;18:58;18:58;19:13;19:13;19:18;19:17;19:28;19:27;19:43;19:42;19:58;19:59;20:13;20:12;20:28;20:28;;;;;;;;;;;;;;;;;;
Möckern, Hist. Strbf.;;;;;;;;;;;;;;;;;;;;;08:45;08:44;09:00;08:59;09:15;09:15;09:30;09:29;09:45;09:44;10:00;09:59;;;10:15;10:14;10:27;10:25;;;10:37;10:36;10:47;10:46;10:57;10:56;11:07;11:06;11:17;11:16;11:27;11:26;11:37;11:36;11:47;11:46;11:57;11:56;12:07;12:06;12:17;12:16;12:27;12:25;12:37;12:36;12:47;12:47;12:57;12:56;13:07;13:06;13:17;13:16;13:27;13:26;13:37;13:36;13:47;13:46;13:57;13:56;14:07;14:05;14:17;14:16;14:27;14:26;14:37;14:37;14:47;14:46;14:57;14:56;15:07;15:06;15:17;15:15;15:27;15:26;15:37;15:36;15:47;15:46;15:57;15:56;16:07;16:07;16:17;16:16;16:27;16:26;16:37;16:36;16:47;16:46;16:57;16:56;17:07;17:06;17:17;17:16;17:27;17:26;17:37;17:36;17:47;17:45;17:57;17:57;18:07;18:06;18:17;18:17;18:27;18:26;18:37;18:36;18:47;18:46;19:00;18:59;19:15;19:14;19:20;19:18;19:30;19:29;19:45;19:44;20:00;20:00;20:15;20:14;20:30;20:29;;;;;;;;;;;;;;;;;;
Dantestraße;;;;;;;;;;;;;;;;;;;;;08:46;08:46;09:01;09:00;09:16;09:16;09:31;09:31;09:46;09:46;10:01;10:01;;;10:16;10:15;10:28;10:27;;;10:38;10:38;10:48;10:47;10:58;10:57;11:08;11:07;11:18;11:18;11:28;11:28;11:38;11:38;11:48;11:47;11:58;11:57;12:08;12:07;12:18;12:18;12:28;12:27;12:38;12:38;12:48;12:48;12:58;12:58;13:08;13:08;13:18;13:17;13:28;13:28;13:38;13:37;13:48;13:47;13:58;13:57;14:08;14:07;14:18;14:17;14:28;14:27;14:38;14:38;14:48;14:47;14:58;14:58;15:08;15:07;15:18;15:17;15:28;15:28;15:38;15:38;15:48;15:47;15:58;15:57;16:08;16:08;16:18;16:18;16:28;16:27;16:38;16:38;16:48;16:47;16:58;16:58;17:08;17:08;17:18;17:18;17:28;17:28;17:38;17:37;17:48;17:47;17:58;17:58;18:08;18:07;18:18;18:19;18:28;18:27;18:38;18:38;18:48;18:47;19:01;19:01;19:16;19:15;19:21;19:20;19:31;19:30;19:46;19:45;20:01;20:01;20:16;20:15;20:31;20:31;;;;;;;;;;;;;;;;;;
S-Bf. Möckern;;;;;;;;;;;;;;;;;;;;;08:47;08:46;09:02;09:01;09:17;09:17;09:32;09:32;09:47;09:47;10:02;10:02;;;10:17;10:16;10:30;10:28;;;10:40;10:39;10:50;10:48;11:00;10:58;11:10;11:08;11:20;11:19;11:30;11:29;11:40;11:39;11:50;11:48;12:00;11:58;12:10;12:08;12:20;12:19;12:30;12:28;12:40;12:39;12:50;12:49;13:00;12:58;13:10;13:09;13:20;13:18;13:30;13:29;13:40;13:39;13:50;13:49;14:00;13:58;14:10;14:08;14:20;14:18;14:30;14:28;14:40;14:39;14:50;14:48;15:00;14:59;15:10;15:08;15:20;15:18;15:30;15:29;15:40;15:39;15:50;15:48;16:00;15:58;16:10;16:09;16:20;16:19;16:30;16:28;16:40;16:39;16:50;16:48;17:00;16:58;17:10;17:09;17:20;17:19;17:30;17:29;17:40;17:38;17:50;17:48;18:00;17:59;18:10;18:08;18:20;18:20;18:30;18:28;18:40;18:38;18:50;18:49;19:02;19:02;19:17;19:16;19:22;19:20;19:32;19:31;19:47;19:46;20:02;20:02;20:17;20:16;20:32;20:32;;;;;;;;;;;;;;;;;;
Wiederitzscher Straße;;;;;;;;;;;;;;;;;;;;;08:48;08:48;09:03;09:02;09:18;09:18;09:33;09:33;09:48;09:48;10:03;10:03;;;10:18;10:17;10:31;10:30;;;10:41;10:40;10:51;10:50;11:01;11:00;11:11;11:10;11:21;11:20;11:31;11:31;11:41;11:40;11:51;11:50;12:01;11:59;12:11;12:10;12:21;12:20;12:31;12:30;12:41;12:40;12:51;12:51;13:01;13:00;13:11;13:10;13:21;13:20;13:31;13:30;13:41;13:40;13:51;13:50;14:01;13:59;14:11;14:10;14:21;14:20;14:31;14:30;14:41;14:41;14:51;14:49;15:01;15:00;15:11;15:10;15:21;15:19;15:31;15:30;15:41;15:40;15:51;15:49;16:01;16:00;16:11;16:10;16:21;16:20;16:31;16:30;16:41;16:40;16:51;16:49;17:01;17:00;17:11;17:10;17:21;17:20;17:31;17:30;17:41;17:40;17:51;17:49;18:01;18:01;18:11;18:09;18:21;18:21;18:31;18:29;18:41;18:40;18:51;18:50;19:03;19:03;19:18;19:17;19:23;19:22;19:33;19:32;19:48;19:47;20:03;20:03;20:18;20:17;20:33;20:33;;;;;;;;;;;;;;;;;;
G-Schumann-/Lindenth. S.;;;;;;;;;;;;;;;;;;;;;08:49;08:49;09:04;09:04;09:19;09:19;09:34;09:35;09:49;09:49;10:04;10:05;;;10:19;10:19;10:32;10:32;;;10:42;10:41;10:52;10:52;11:02;11:03;11:12;11:11;11:22;11:22;11:32;11:32;11:42;11:42;11:52;11:52;12:02;12:01;12:12;12:11;12:22;12:22;12:32;12:31;12:42;12:41;12:52;12:52;13:02;13:01;13:12;13:13;13:22;13:22;13:32;13:32;13:42;13:41;13:52;13:52;14:02;14:02;14:12;14:11;14:22;14:22;14:32;14:31;14:42;14:43;14:52;14:52;15:02;15:01;15:12;15:11;15:22;15:22;15:32;15:31;15:42;15:41;15:52;15:52;16:02;16:03;16:12;16:11;16:22;16:22;16:32;16:31;16:42;16:41;16:52;16:50;17:02;17:01;17:12;17:11;17:22;17:22;17:32;17:32;17:42;17:41;17:52;17:51;18:02;18:02;18:12;18:11;18:22;18:23;18:32;18:31;18:42;18:41;18:52;18:52;19:04;19:05;19:19;19:19;19:24;19:23;19:34;19:34;19:49;19:49;20:04;20:05;20:19;20:19;20:34;20:35;;;;;;;;;;;;;;;;;;
G.-Schumann-/Lützowstr.;;;;;;;;;;;;;;;;;;;;;08:51;08:50;09:06;09:05;09:21;09:21;09:36;09:37;09:51;09:51;10:06;10:07;;;10:21;10:20;10:34;10:34;;;10:44;10:43;10:54;10:53;11:04;11:04;11:14;11:13;11:24;11:23;11:34;11:34;11:44;11:43;11:54;11:53;12:04;12:03;12:14;12:13;12:24;12:24;12:34;12:33;12:44;12:43;12:54;12:54;13:04;13:02;13:14;13:14;13:24;13:24;13:34;13:34;13:44;13:43;13:54;13:53;14:04;14:04;14:14;14:13;14:24;14:23;14:34;14:33;14:44;14:44;14:54;14:53;15:04;15:03;15:14;15:13;15:24;15:23;15:34;15:33;15:44;15:43;15:54;15:53;16:04;16:04;16:14;16:13;16:24;16:24;16:34;16:32;16:44;16:42;16:54;16:52;17:04;17:02;17:14;17:14;17:24;17:24;17:34;17:33;17:44;17:43;17:54;17:53;18:04;18:04;18:14;18:13;18:24;18:25;18:34;18:32;18:44;18:43;18:54;18:53;19:06;19:06;19:21;19:20;19:26;19:25;19:36;19:35;19:51;19:50;20:06;20:07;20:21;20:20;20:36;20:37;;;;;;;;;;;;;;;;;;
Chausseehaus;;;;;;;;;;;;;;;;;;;;;08:53;08:52;09:08;09:07;09:23;09:23;09:38;09:39;09:53;09:53;10:08;10:09;;;10:23;10:22;10:36;10:36;;;10:46;10:46;10:56;10:55;11:06;11:07;11:16;11:15;11:26;11:25;11:36;11:35;11:46;11:45;11:56;11:56;12:06;12:05;12:16;12:15;12:26;12:26;12:36;12:35;12:46;12:46;12:56;12:55;13:06;13:05;13:16;13:16;13:26;13:26;13:36;13:35;13:46;13:46;13:56;13:55;14:06;14:05;14:16;14:15;14:26;14:25;14:36;14:35;14:46;14:46;14:56;14:55;15:06;15:05;15:16;15:16;15:26;15:25;15:36;15:35;15:46;15:45;15:56;15:55;16:06;16:06;16:16;16:15;16:26;16:26;16:36;16:34;16:46;16:44;16:56;16:54;17:06;17:04;17:16;17:16;17:26;17:25;17:36;17:35;17:46;17:46;17:56;17:55;18:06;18:06;18:16;18:15;18:26;18:26;18:36;18:34;18:46;18:45;18:56;18:55;19:08;19:08;19:23;19:22;19:28;19:27;19:38;19:37;19:53;19:52;20:08;20:08;20:23;20:22;20:38;20:39;;;;;;;;;;;;;;;;;;
Wilhelm-Liebknecht-Platz;;;;;;;;;;;;;;;;;;;;;08:55;08:54;09:10;09:08;09:25;09:26;09:40;09:41;09:55;09:55;10:10;10:11;;;10:25;10:24;10:38;10:38;;;10:48;10:48;10:58;10:57;11:08;11:08;11:18;11:16;11:28;11:27;11:38;11:37;11:48;11:48;11:58;11:58;12:08;12:07;12:18;12:17;12:28;12:28;12:38;12:37;12:48;12:47;12:58;12:58;13:08;13:07;13:18;13:18;13:28;13:29;13:38;13:37;13:48;13:48;13:58;13:57;14:08;14:07;14:18;14:17;14:28;14:27;14:38;14:37;14:48;14:48;14:58;14:57;15:08;15:07;15:18;15:18;15:28;15:27;15:38;15:37;15:48;15:47;15:58;15:57;16:08;16:07;16:18;16:17;16:28;16:28;16:38;16:36;16:48;16:46;16:58;16:55;17:08;17:07;17:18;17:18;17:28;17:27;17:38;17:37;17:48;17:49;17:58;17:57;18:08;18:08;18:18;18:19;18:28;18:28;18:38;18:36;18:48;18:47;18:58;18:58;19:10;19:10;19:25;19:24;19:30;19:30;19:40;19:39;19:55;19:54;20:10;20:10;20:25;20:24;20:40;20:40;;;;;;;;;;;;;;;;;;
Hauptbahnhof;;;;;;;;;;;;;;;;;08:25;08:25;08:40;08:40;08:58;08:57;09:13;09:12;09:28;09:29;09:43;09:44;09:58;09:59;10:13;10:14;;;10:28;10:28;10:41;10:41;;;10:51;10:52;11:01;11:01;11:11;11:12;11:21;11:20;11:31;11:31;11:41;11:41;11:51;11:52;12:01;12:02;12:11;12:12;12:21;12:20;12:31;12:33;12:41;12:41;12:51;12:50;13:01;13:02;13:11;13:11;13:21;13:23;13:31;13:33;13:41;13:43;13:51;13:53;14:01;14:01;14:11;14:11;14:21;14:21;14:31;14:30;14:41;14:42;14:51;14:52;15:01;15:01;15:11;15:11;15:21;15:22;15:31;15:31;15:41;15:41;15:51;15:52;16:01;16:02;16:11;16:12;16:21;16:22;16:31;16:33;16:41;16:40;16:51;16:50;17:01;16:59;17:11;17:10;17:21;17:22;17:31;17:31;17:41;17:41;17:51;17:53;18:01;18:01;18:11;18:14;18:21;18:23;18:31;18:33;18:41;18:40;18:51;18:50;19:01;19:01;19:13;19:13;19:28;19:32;19:33;19:35;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:28;20:43;20:44;;;;;;;;;;;;;;;;;;
Augustusplatz;;;;;;;;;;;;;;;;;08:31;08:31;08:46;08:46;09:01;09:01;09:16;09:16;09:31;09:32;09:46;09:47;10:01;10:02;10:16;10:17;;;10:31;10:31;10:44;10:44;;;10:54;10:55;11:04;11:04;11:14;11:16;11:24;11:23;11:34;11:34;11:44;11:44;11:54;11:55;12:04;12:05;12:14;12:16;12:24;12:23;12:34;12:35;12:44;12:44;12:54;12:53;13:04;13:05;13:14;13:14;13:24;13:26;13:34;13:35;13:44;13:46;13:54;13:56;14:04;14:04;14:14;14:14;14:24;14:25;14:34;14:34;14:44;14:46;14:54;14:55;15:04;15:04;15:14;15:14;15:24;15:26;15:34;15:34;15:44;15:46;15:54;15:55;16:04;16:04;16:14;16:16;16:24;16:25;16:34;16:37;16:44;16:43;16:54;16:53;17:04;17:02;17:14;17:14;17:24;17:25;17:34;17:34;17:44;17:44;17:54;17:56;18:04;18:04;18:14;18:17;18:24;18:25;18:34;18:35;18:44;18:43;18:54;18:53;19:04;19:04;19:16;19:16;19:31;19:35;19:36;19:40;19:46;19:46;20:01;20:01;20:16;20:16;20:31;20:31;20:46;20:47;;;;;;;;;;;;;;;;;;
