Kurs:;56;;33;;11;;14;;56;;33;;11;;14;;15;;17;;18;;10;;11;;12;;14;;15;;13;;17;;18;;16;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;14;;15;;17;;18;;34;;51;;52;;54;;55;;31;;18;;34;;52;
Wilhelm-Leuschner-Platz;;;;;;;;;;;;;;;;;08:34;08:33;08:49;08:48;09:04;09:03;09:19;09:18;09:34;09:35;09:49;09:49;10:04;10:05;10:19;10:20;;;10:34;10:33;10:47;10:47;;;10:57;10:57;11:07;11:06;11:17;11:18;11:27;11:26;11:37;11:36;11:47;11:46;11:57;11:57;12:07;12:08;12:17;12:18;12:27;12:29;12:37;12:38;12:47;12:47;12:57;13:00;13:07;13:08;13:17;13:17;13:27;13:29;13:37;13:38;13:47;13:48;13:57;13:59;14:07;14:06;14:17;14:16;14:27;14:28;14:37;14:36;14:47;14:48;14:57;14:57;15:07;15:06;15:17;15:17;15:27;15:28;15:37;15:36;15:47;15:48;15:57;15:57;16:07;16:06;16:17;16:18;16:27;16:27;16:37;16:39;16:47;16:45;16:57;16:56;17:07;17:05;17:17;17:18;17:27;17:27;17:37;17:36;17:47;17:46;17:57;17:59;18:07;18:06;18:17;18:20;18:27;18:27;18:37;18:37;18:47;18:45;18:57;18:56;19:07;19:06;19:19;19:18;19:34;19:38;19:39;19:42;19:49;19:48;20:04;20:03;20:19;20:18;20:34;20:33;20:49;20:49;;;;;;;;;;;;;;;;;;
Münzgasse, LVZ;;;;;;;;;;;;;;;;;08:35;08:35;08:50;08:50;09:05;09:05;09:20;09:20;09:35;09:36;09:50;09:51;10:05;10:06;10:20;10:21;;;10:35;10:35;10:48;10:48;;;10:58;10:59;11:08;11:08;11:18;11:20;11:28;11:27;11:38;11:37;11:48;11:48;11:58;11:59;12:08;12:09;12:18;12:20;12:28;12:30;12:38;12:39;12:48;12:49;12:58;13:02;13:08;13:09;13:18;13:19;13:28;13:30;13:38;13:39;13:48;13:49;13:58;14:00;14:08;14:08;14:18;14:18;14:28;14:30;14:38;14:38;14:48;14:50;14:58;14:59;15:08;15:08;15:18;15:18;15:28;15:30;15:38;15:38;15:48;15:50;15:58;15:59;16:08;16:08;16:18;16:20;16:28;16:29;16:38;16:41;16:48;16:47;16:58;16:57;17:08;17:07;17:18;17:20;17:28;17:29;17:38;17:38;17:48;17:48;17:58;18:02;18:08;18:08;18:18;18:21;18:28;18:28;18:38;18:39;18:48;18:47;18:58;18:57;19:08;19:08;19:20;19:21;19:35;19:39;19:40;19:44;19:50;19:50;20:05;20:05;20:20;20:20;20:35;20:35;20:50;20:51;;;;;;;;;;;;;;;;;;
Hohe Straße;;;;;;;;;;;;;;;;;08:36;08:36;08:51;08:50;09:06;09:06;09:21;09:20;09:36;09:37;09:51;09:52;10:06;10:07;10:21;10:22;;;10:36;10:36;10:49;10:49;;;10:59;11:00;11:09;11:09;11:19;11:21;11:29;11:29;11:39;11:38;11:49;11:49;11:59;12:00;12:09;12:10;12:19;12:21;12:29;12:32;12:39;12:40;12:49;12:50;12:59;13:03;13:09;13:10;13:19;13:20;13:29;13:31;13:39;13:40;13:49;13:50;13:59;14:01;14:09;14:09;14:19;14:19;14:29;14:31;14:39;14:38;14:49;14:51;14:59;15:00;15:09;15:09;15:19;15:19;15:29;15:31;15:39;15:39;15:49;15:51;15:59;16:00;16:09;16:09;16:19;16:21;16:29;16:30;16:39;16:42;16:49;16:48;16:59;16:58;17:09;17:09;17:19;17:21;17:29;17:30;17:39;17:39;17:49;17:49;17:59;18:03;18:09;18:09;18:19;18:23;18:29;18:29;18:39;18:40;18:49;18:48;18:59;18:59;19:09;19:09;19:21;19:22;19:36;19:41;19:41;19:44;19:51;19:51;20:06;20:06;20:21;20:21;20:36;20:36;20:51;20:53;;;;;;;;;;;;;;;;;;
Südplatz;;;;;;;;;;;;;;;;;08:38;08:37;08:53;08:52;09:08;09:09;09:23;09:22;09:38;09:38;09:53;09:53;10:08;10:08;10:23;10:23;;;10:38;10:37;10:51;10:50;;;11:01;11:01;11:11;11:10;11:21;11:23;11:31;11:31;11:41;11:40;11:51;11:50;12:01;12:01;12:11;12:11;12:21;12:22;12:31;12:33;12:41;12:41;12:51;12:51;13:01;13:05;13:11;13:12;13:21;13:21;13:31;13:33;13:41;13:41;13:51;13:52;14:01;14:03;14:11;14:10;14:21;14:20;14:31;14:32;14:41;14:40;14:51;14:52;15:01;15:01;15:11;15:10;15:21;15:21;15:31;15:32;15:41;15:40;15:51;15:52;16:01;16:01;16:11;16:10;16:21;16:22;16:31;16:32;16:41;16:43;16:51;16:49;17:01;16:59;17:11;17:10;17:21;17:23;17:31;17:32;17:41;17:41;17:51;17:51;18:01;18:05;18:11;18:10;18:21;18:24;18:31;18:31;18:41;18:41;18:51;18:50;19:01;19:01;19:11;19:11;19:23;19:23;19:38;19:43;19:43;19:46;19:53;19:52;20:08;20:08;20:23;20:22;20:38;20:37;20:53;20:54;;;;;;;;;;;;;;;;;;
K.-Liebkn.-/K.-Eisner-S.;;;;;;;;;;;;;;;;;08:39;08:39;08:54;08:53;09:09;09:10;09:24;09:23;09:39;09:39;09:54;09:55;10:09;10:10;10:24;10:25;;;10:39;10:38;10:52;10:51;;;11:02;11:02;11:12;11:11;11:22;11:24;11:32;11:33;11:42;11:42;11:52;11:51;12:02;12:02;12:12;12:12;12:22;12:23;12:32;12:35;12:42;12:43;12:52;12:52;13:02;13:06;13:12;13:14;13:22;13:23;13:32;13:35;13:42;13:43;13:52;13:53;14:02;14:04;14:12;14:11;14:22;14:22;14:32;14:34;14:42;14:42;14:52;14:54;15:02;15:02;15:12;15:11;15:22;15:22;15:32;15:34;15:42;15:42;15:52;15:54;16:02;16:03;16:12;16:11;16:22;16:23;16:32;16:34;16:42;16:45;16:52;16:51;17:02;17:01;17:12;17:11;17:22;17:25;17:32;17:34;17:42;17:43;17:52;17:52;18:02;18:07;18:12;18:11;18:22;18:26;18:32;18:32;18:42;18:42;18:52;18:51;19:02;19:02;19:12;19:12;19:24;19:24;19:39;19:44;19:44;19:47;19:54;19:54;20:09;20:10;20:24;20:23;20:39;20:39;20:54;20:55;;;;;;;;;;;;;;;;;;
Richard-Lehmann-Straße, HTWK;;;;;;;;;;;;;;;;;08:41;08:41;08:56;08:55;09:11;09:12;09:26;09:25;09:41;09:41;09:56;09:57;10:11;10:12;10:26;10:26;;;10:41;10:40;10:54;10:53;;;11:04;11:04;11:14;11:13;11:24;11:26;11:34;11:34;11:44;11:43;11:54;11:53;12:04;12:04;12:14;12:14;12:24;12:25;12:34;12:37;12:44;12:45;12:54;12:54;13:04;13:07;13:14;13:16;13:24;13:25;13:34;13:37;13:44;13:45;13:54;13:56;14:04;14:07;14:14;14:13;14:24;14:23;14:34;14:36;14:44;14:43;14:54;14:56;15:04;15:04;15:14;15:13;15:24;15:24;15:34;15:36;15:44;15:43;15:54;15:56;16:04;16:05;16:14;16:13;16:24;16:25;16:34;16:36;16:44;16:46;16:54;16:53;17:04;17:02;17:14;17:13;17:24;17:26;17:34;17:35;17:44;17:45;17:54;17:54;18:04;18:09;18:14;18:13;18:24;18:27;18:34;18:34;18:44;18:44;18:54;18:53;19:04;19:03;19:14;19:14;19:26;19:25;19:41;19:46;19:46;19:49;19:56;19:56;20:11;20:12;20:26;20:25;20:41;20:41;20:56;20:57;;;;;;;;;;;;;;;;;;
Connewitz Kreuz;05:00;05:01;05:30;05:31;06:00;05:59;06:30;06:30;07:00;07:00;07:30;07:30;08:00;08:00;08:30;08:29;08:42;08:42;08:57;08:56;09:12;09:14;09:27;09:27;09:42;09:42;09:57;09:58;10:12;10:14;10:27;10:28;;;10:42;10:41;10:56;10:55;;;11:06;11:05;11:16;11:15;11:26;11:28;11:36;11:36;11:46;11:45;11:56;11:57;12:06;12:05;12:16;12:16;12:26;12:26;12:36;12:38;12:46;12:47;12:56;12:55;13:06;13:09;13:16;13:17;13:26;13:27;13:36;13:40;13:46;13:46;13:56;13:57;14:06;14:08;14:16;14:16;14:26;14:25;14:36;14:37;14:46;14:45;14:56;14:57;15:06;15:05;15:16;15:14;15:26;15:26;15:36;15:37;15:46;15:45;15:56;15:57;16:06;16:07;16:16;16:14;16:26;16:27;16:36;16:37;16:46;16:48;16:56;16:55;17:06;17:05;17:16;17:14;17:26;17:28;17:36;17:37;17:46;17:46;17:56;17:56;18:06;18:11;18:16;18:15;18:26;18:29;18:36;18:35;18:46;18:45;18:56;18:55;19:06;19:05;19:16;19:15;19:27;19:27;19:42;19:48;19:47;19:51;19:57;19:57;20:12;20:13;20:27;20:26;20:42;20:42;20:57;20:59;21:16;21:16;21:31;21:30;21:46;21:44;22:01;22:02;22:16;22:15;22:31;22:32;22:46;22:46;23:00;23:00;23:30;23:29
Wiedebachplatz;05:02;05:03;05:32;05:33;06:02;06:01;06:32;06:31;07:02;07:02;07:32;07:32;08:02;08:01;08:32;08:31;08:44;08:44;08:59;08:58;09:14;09:15;09:29;09:29;09:44;09:44;09:59;10:00;10:14;10:16;10:29;10:30;10:09;10:10;10:44;10:43;10:58;10:57;10:39;10:40;11:08;11:07;11:18;11:17;11:28;11:30;11:38;11:38;11:48;11:46;11:58;11:59;12:08;12:07;12:18;12:17;12:28;12:28;12:38;12:40;12:48;12:48;12:58;12:57;13:08;13:10;13:18;13:20;13:28;13:28;13:38;13:41;13:48;13:48;13:58;13:59;14:08;14:10;14:18;14:17;14:28;14:27;14:38;14:39;14:48;14:47;14:58;14:58;15:08;15:07;15:18;15:16;15:28;15:28;15:38;15:39;15:48;15:46;15:58;15:59;16:08;16:08;16:18;16:17;16:28;16:29;16:38;16:39;16:48;16:50;16:58;16:57;17:08;17:07;17:18;17:16;17:28;17:30;17:38;17:39;17:48;17:48;17:58;17:57;18:08;18:13;18:18;18:17;18:28;18:31;18:38;18:37;18:48;18:47;18:58;18:57;19:08;19:07;19:18;19:17;19:29;19:29;19:44;19:49;;;19:59;19:59;20:14;20:15;20:29;20:28;20:44;20:44;20:59;21:00;21:18;21:18;21:33;21:32;21:48;21:46;22:03;22:04;22:18;22:16;22:33;22:34;22:48;22:48;23:02;23:02;23:32;23:31
Meusdorfer Straße;05:03;05:04;05:33;05:34;06:03;06:02;06:33;06:33;07:03;07:03;07:33;07:33;08:03;08:03;08:33;08:32;08:45;08:45;09:00;08:59;09:15;09:17;09:30;09:30;09:45;09:46;10:00;10:02;10:15;10:17;10:30;10:31;10:10;10:11;10:45;10:45;10:59;10:59;10:40;10:41;11:09;11:08;11:19;11:19;11:29;11:32;11:39;11:40;11:49;11:48;11:59;12:00;12:09;12:09;12:19;12:19;12:29;12:30;12:39;12:41;12:49;12:50;12:59;12:58;13:09;13:12;13:19;13:21;13:29;13:30;13:39;13:43;13:49;13:49;13:59;14:00;14:09;14:12;14:19;14:19;14:29;14:28;14:39;14:41;14:49;14:49;14:59;15:00;15:09;15:09;15:19;15:17;15:29;15:29;15:39;15:40;15:49;15:48;15:59;16:00;16:09;16:10;16:19;16:18;16:29;16:31;16:39;16:40;16:49;16:51;16:59;16:59;17:09;17:08;17:19;17:17;17:29;17:31;17:39;17:40;17:49;17:50;17:59;17:58;18:09;18:15;18:19;18:18;18:29;18:33;18:39;18:39;18:49;18:49;18:59;18:58;19:09;19:08;19:19;19:19;19:30;19:30;19:45;19:50;;;20:00;20:00;20:15;20:17;20:30;20:30;20:45;20:46;21:00;21:02;21:19;21:19;21:34;21:33;21:49;21:47;22:04;22:05;22:19;22:17;22:34;22:35;22:49;22:49;23:03;23:04;23:33;23:32
Triftweg;05:05;05:06;05:35;05:36;06:05;06:04;06:35;06:35;07:05;07:05;07:35;07:35;08:05;08:05;08:35;08:36;08:47;08:48;09:02;09:02;09:17;09:19;09:32;09:32;09:47;09:48;10:02;10:04;10:17;10:19;10:32;10:33;10:12;10:13;10:47;10:46;11:01;11:01;10:42;10:43;11:11;11:11;11:21;11:21;11:31;11:34;11:41;11:43;11:51;11:50;12:01;12:02;12:11;12:11;12:21;12:21;12:31;12:32;12:41;12:44;12:51;12:52;13:01;13:00;13:11;13:15;13:21;13:23;13:31;13:32;13:41;13:45;13:51;13:52;14:01;14:02;14:11;14:14;14:21;14:21;14:31;14:31;14:41;14:42;14:51;14:51;15:01;15:01;15:11;15:11;15:21;15:19;15:31;15:32;15:41;15:42;15:51;15:50;16:01;16:03;16:11;16:12;16:21;16:21;16:31;16:33;16:41;16:42;16:51;16:54;17:01;17:01;17:11;17:10;17:21;17:19;17:31;17:33;17:41;17:43;17:51;17:52;18:01;18:01;18:11;18:17;18:21;18:20;18:31;18:36;18:41;18:41;18:51;18:51;19:01;19:00;19:11;19:10;19:21;19:22;19:32;19:32;19:47;19:52;;;20:02;20:02;20:17;20:19;20:32;20:32;20:47;20:47;21:02;21:04;21:21;21:22;21:36;21:36;21:51;21:50;22:06;22:07;22:21;22:20;22:36;22:37;22:51;22:51;23:05;23:06;23:35;23:34
An der Märchenwiese;05:06;05:07;05:36;05:37;06:06;06:05;06:36;06:36;07:06;07:06;07:36;07:36;08:06;08:06;08:36;08:36;08:48;08:49;09:03;09:03;09:18;09:20;09:33;09:33;09:48;09:49;10:03;10:05;10:18;10:20;10:33;10:34;10:13;10:14;10:48;10:47;11:02;11:02;10:43;10:44;11:12;11:12;11:22;11:22;11:32;11:35;11:42;11:44;11:52;11:51;12:02;12:03;12:12;12:12;12:22;12:22;12:32;12:33;12:42;12:45;12:52;12:53;13:02;13:01;13:12;13:16;13:22;13:24;13:32;13:33;13:42;13:46;13:52;13:53;14:02;14:03;14:12;14:15;14:22;14:22;14:32;14:32;14:42;14:43;14:52;14:52;15:02;15:02;15:12;15:12;15:22;15:20;15:32;15:33;15:42;15:43;15:52;15:51;16:02;16:04;16:12;16:13;16:22;16:22;16:32;16:34;16:42;16:43;16:52;16:55;17:02;17:02;17:12;17:11;17:22;17:20;17:32;17:34;17:42;17:43;17:52;17:53;18:02;18:02;18:12;18:18;18:22;18:21;18:32;18:37;18:42;18:42;18:52;18:52;19:02;19:01;19:12;19:11;19:22;19:23;19:33;19:33;19:48;19:52;;;20:03;20:03;20:18;20:20;20:33;20:33;20:48;20:48;21:03;21:05;21:22;21:23;21:37;21:36;21:52;21:50;22:07;22:08;22:22;22:20;22:37;22:38;22:52;22:52;23:06;23:07;23:36;23:35
Moritz Hof;05:07;05:08;05:37;05:38;06:07;06:06;06:37;06:37;07:07;07:07;07:37;07:37;08:07;08:07;08:37;08:37;08:49;08:51;09:04;09:04;09:19;09:21;09:34;09:34;09:49;09:50;10:04;10:06;10:19;10:21;10:34;10:36;10:14;10:15;10:49;10:49;11:03;11:03;10:44;10:46;11:13;11:13;11:23;11:23;11:33;11:36;11:43;11:46;11:53;11:52;12:03;12:05;12:13;12:13;12:23;12:23;12:33;12:34;12:43;12:47;12:53;12:55;13:03;13:02;13:13;13:17;13:23;13:26;13:33;13:34;13:43;13:48;13:53;13:54;14:03;14:04;14:13;14:16;14:23;14:23;14:33;14:33;14:43;14:44;14:53;14:53;15:03;15:04;15:13;15:13;15:23;15:22;15:33;15:34;15:43;15:45;15:53;15:52;16:03;16:05;16:13;16:14;16:23;16:23;16:33;16:35;16:43;16:44;16:53;16:56;17:03;17:03;17:13;17:12;17:23;17:22;17:33;17:35;17:43;17:45;17:53;17:54;18:03;18:03;18:13;18:19;18:23;18:23;18:33;18:38;18:43;18:43;18:53;18:53;19:03;19:02;19:13;19:12;19:23;19:24;19:34;19:34;19:49;19:53;;;20:04;20:04;20:19;20:21;20:34;20:34;20:49;20:50;21:04;21:06;21:23;21:24;21:38;21:38;21:53;21:51;22:08;22:09;22:23;22:21;22:38;22:39;22:53;22:53;23:07;23:08;23:37;23:36
Lößnig;05:08;05:09;05:38;05:39;06:08;06:07;06:38;06:38;07:08;07:08;07:38;07:38;08:08;08:08;08:38;08:38;08:50;08:51;09:05;09:05;09:20;09:22;09:35;09:35;09:50;09:51;10:05;10:07;10:20;10:22;10:35;10:36;10:15;10:16;10:50;10:49;11:04;11:04;10:45;10:46;11:14;11:14;11:24;11:24;11:34;11:37;11:44;11:47;11:54;11:52;12:04;12:05;12:14;12:14;12:24;12:24;12:34;12:35;12:44;12:48;12:54;12:55;13:04;13:03;13:14;13:18;13:24;13:27;13:34;13:35;13:44;13:49;13:54;13:55;14:04;14:05;14:14;14:17;14:24;14:24;14:34;14:34;14:44;14:45;14:54;14:54;15:04;15:04;15:14;15:14;15:24;15:22;15:34;15:35;15:44;15:45;15:54;15:53;16:04;16:06;16:14;16:15;16:24;16:24;16:34;16:36;16:44;16:45;16:54;16:57;17:04;17:04;17:14;17:13;17:24;17:23;17:34;17:36;17:44;17:45;17:54;17:55;18:04;18:03;18:14;18:20;18:24;18:23;18:34;18:39;18:44;18:44;18:54;18:54;19:04;19:03;19:14;19:13;19:24;19:25;19:35;19:35;19:50;19:54;;;20:05;20:05;20:20;20:22;20:35;20:35;20:50;20:50;21:05;21:07;21:24;21:25;21:39;21:39;21:54;21:52;22:09;22:10;22:24;22:22;22:39;22:40;22:54;22:54;23:08;23:09;23:38;23:37
