Kurs:;52;;55;;51;;54;;51;;54;;51;;54;;51;;53;;54;;56;;51;;53;;54;;56;;51;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;53;;54;;56;;51;;53;;54;;56;;51;;53;;54;;56;;51;;54;;56;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Gohlis-Nord;00:10;00:10;00:39;00:39;04:40;04:41;05:10;05:10;05:40;05:40;06:10;06:10;06:40;06:40;07:10;07:10;07:40;07:40;08:06;08:06;08:21;08:21;08:36;08:36;08:51;08:51;09:06;09:07;09:21;09:20;09:36;09:36;09:51;09:51;10:06;10:06;10:19;10:19;10:29;10:29;10:39;10:39;10:49;10:49;10:59;11:00;11:09;11:09;11:19;11:19;11:29;11:29;11:39;11:39;11:49;11:49;11:59;12:01;12:09;12:08;12:19;12:19;12:29;12:29;12:39;12:39;12:49;12:49;12:59;13:00;13:09;13:08;13:19;13:18;13:29;13:29;13:39;13:40;13:49;13:49;13:59;14:00;14:09;14:08;14:19;14:18;14:29;14:29;14:39;14:39;14:49;14:49;14:59;14:59;15:09;15:08;15:19;15:19;15:29;15:29;15:39;15:39;15:49;15:49;15:59;15:59;16:09;16:10;16:19;16:19;16:29;16:29;16:39;16:39;16:49;16:49;16:59;16:59;17:09;17:10;17:19;17:19;17:29;17:29;17:39;17:38;17:49;17:49;17:59;17:59;18:09;18:09;18:19;18:19;18:29;18:29;18:39;18:39;18:51;18:51;18:58;18:58;19:06;19:08;19:21;19:20;19:28;19:27;19:36;19:36;19:51;19:51;20:06;20:07;20:21;20:22;20:36;20:36;20:51;20:51;21:06;21:06;21:21;21:20;21:36;21:35;21:51;21:51;22:06;22:06;22:21;22:21;22:40;22:40;22:49;22:49;23:10;23:10;23:40;23:39
Gottschallstraße;00:11;00:11;00:40;00:40;04:41;04:42;05:11;05:11;05:41;05:41;06:11;06:11;06:41;06:42;07:11;07:11;07:41;07:42;08:07;08:07;08:22;08:22;08:37;08:38;08:52;08:52;09:07;09:08;09:22;09:22;09:37;09:37;09:52;09:52;10:07;10:08;10:20;10:20;10:30;10:30;10:40;10:41;10:50;10:51;11:00;11:02;11:10;11:11;11:20;11:21;11:30;11:30;11:40;11:40;11:50;11:50;12:00;12:02;12:10;12:10;12:20;12:20;12:30;12:30;12:40;12:41;12:50;12:51;13:00;13:02;13:10;13:10;13:20;13:20;13:30;13:30;13:40;13:41;13:50;13:51;14:00;14:01;14:10;14:10;14:20;14:20;14:30;14:30;14:40;14:40;14:50;14:51;15:00;15:01;15:10;15:10;15:20;15:20;15:30;15:30;15:40;15:40;15:50;15:51;16:00;16:01;16:10;16:12;16:20;16:20;16:30;16:30;16:40;16:40;16:50;16:50;17:00;17:01;17:10;17:11;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:51;18:00;18:01;18:10;18:11;18:20;18:20;18:30;18:31;18:40;18:40;18:52;18:53;18:59;19:00;19:07;19:09;19:22;19:22;19:29;19:29;19:37;19:37;19:52;19:52;20:07;20:08;20:22;20:23;20:37;20:37;20:52;20:53;21:07;21:07;21:22;21:22;21:37;21:37;21:52;21:53;22:07;22:08;22:22;22:22;22:41;22:41;22:50;22:50;23:11;23:11;23:41;23:41
Virchow-/Coppistraße;00:12;00:12;00:41;00:41;04:42;04:43;05:12;05:12;05:42;05:42;06:12;06:12;06:42;06:42;07:12;07:12;07:42;07:43;08:08;08:09;08:23;08:23;08:38;08:38;08:53;08:53;09:08;09:09;09:23;09:23;09:38;09:39;09:53;09:53;10:08;10:09;10:21;10:22;10:31;10:32;10:41;10:41;10:51;10:52;11:01;11:03;11:11;11:13;11:21;11:22;11:31;11:31;11:41;11:42;11:51;11:51;12:01;12:05;12:11;12:12;12:21;12:21;12:31;12:31;12:41;12:41;12:51;12:52;13:01;13:04;13:11;13:12;13:21;13:21;13:31;13:31;13:41;13:42;13:51;13:53;14:01;14:02;14:11;14:12;14:21;14:21;14:31;14:32;14:41;14:41;14:51;14:52;15:01;15:02;15:11;15:11;15:21;15:22;15:31;15:32;15:41;15:41;15:51;15:52;16:01;16:02;16:11;16:14;16:21;16:21;16:31;16:32;16:41;16:41;16:51;16:51;17:01;17:02;17:11;17:13;17:21;17:21;17:31;17:31;17:41;17:41;17:51;17:52;18:01;18:02;18:11;18:12;18:21;18:21;18:31;18:32;18:41;18:41;18:53;18:54;19:00;19:01;19:08;19:11;19:23;19:23;19:30;19:30;19:38;19:38;19:53;19:53;20:08;20:09;20:23;20:24;20:38;20:38;20:53;20:54;21:08;21:09;21:23;21:23;21:38;21:38;21:53;21:54;22:08;22:09;22:23;22:23;22:42;22:42;22:51;22:51;23:12;23:12;23:42;23:42
S-Bf. Gohlis;00:13;00:13;00:42;00:42;04:43;04:44;05:13;05:13;05:43;05:43;06:13;06:13;06:43;06:44;07:13;07:13;07:43;07:44;08:09;08:10;08:24;08:24;08:39;08:40;08:54;08:54;09:09;09:11;09:24;09:25;09:39;09:40;09:54;09:55;10:09;10:11;10:23;10:23;10:33;10:33;10:43;10:43;10:53;10:53;11:03;11:04;11:13;11:14;11:23;11:23;11:33;11:32;11:43;11:43;11:53;11:52;12:03;12:06;12:13;12:13;12:23;12:23;12:33;12:32;12:43;12:43;12:53;12:53;13:03;13:05;13:13;13:13;13:23;13:22;13:33;13:32;13:43;13:44;13:53;13:54;14:03;14:03;14:13;14:13;14:23;14:23;14:33;14:33;14:43;14:42;14:53;14:53;15:03;15:04;15:13;15:12;15:23;15:23;15:33;15:33;15:43;15:42;15:53;15:53;16:03;16:03;16:13;16:15;16:23;16:23;16:33;16:33;16:43;16:42;16:53;16:52;17:03;17:03;17:13;17:14;17:23;17:23;17:33;17:32;17:43;17:42;17:53;17:53;18:03;18:03;18:13;18:13;18:23;18:23;18:33;18:33;18:43;18:42;18:54;18:55;19:01;19:02;19:09;19:12;19:24;19:25;19:31;19:31;19:39;19:39;19:54;19:54;20:09;20:10;20:24;20:26;20:39;20:39;20:54;20:55;21:09;21:10;21:24;21:25;21:39;21:39;21:54;21:56;22:09;22:10;22:24;22:24;22:43;22:43;22:52;22:52;23:13;23:13;23:43;23:43
G.-Schumann-/Lützowstr.;00:14;00:14;00:43;00:44;04:44;04:45;05:14;05:15;05:44;05:45;06:14;06:15;06:44;06:45;07:14;07:14;07:44;07:46;08:10;08:11;08:25;08:25;08:40;08:41;08:55;08:55;09:10;09:13;09:25;09:26;09:40;09:41;09:55;09:56;10:10;10:13;10:24;10:24;10:34;10:35;10:44;10:44;10:54;10:55;11:04;11:06;11:14;11:15;11:24;11:25;11:34;11:34;11:44;11:44;11:54;11:53;12:04;12:08;12:14;12:16;12:24;12:24;12:34;12:33;12:44;12:44;12:54;12:55;13:04;13:06;13:14;13:14;13:24;13:23;13:34;13:34;13:44;13:45;13:54;13:55;14:04;14:05;14:14;14:14;14:24;14:25;14:34;14:34;14:44;14:43;14:54;14:54;15:04;15:05;15:14;15:14;15:24;15:25;15:34;15:34;15:44;15:43;15:54;15:55;16:04;16:04;16:14;16:17;16:24;16:25;16:34;16:35;16:44;16:43;16:54;16:53;17:04;17:04;17:14;17:16;17:24;17:24;17:34;17:33;17:44;17:44;17:54;17:55;18:04;18:04;18:14;18:16;18:24;18:23;18:34;18:34;18:44;18:44;18:55;18:56;19:02;19:03;19:10;19:14;19:25;19:26;19:32;19:32;19:40;19:40;19:55;19:56;20:10;20:11;20:25;20:26;20:40;20:40;20:55;20:56;21:10;21:11;21:25;21:26;21:40;21:40;21:55;21:57;22:10;22:11;22:25;22:26;22:44;22:44;22:53;22:53;23:14;23:14;23:44;23:44
Fritz-Seger-Straße;00:16;00:15;00:45;00:45;04:46;04:46;05:16;05:16;05:46;05:46;06:16;06:16;06:46;06:46;07:16;07:16;07:46;07:47;08:12;08:13;08:27;08:26;08:42;08:43;08:57;08:57;09:12;09:15;09:27;09:28;09:42;09:44;09:57;09:58;10:12;10:15;10:26;10:25;10:36;10:37;10:46;10:46;10:56;10:57;11:06;11:08;11:16;11:17;11:26;11:27;11:36;11:36;11:46;11:46;11:56;11:55;12:06;12:10;12:16;12:18;12:26;12:26;12:36;12:35;12:46;12:46;12:56;12:57;13:06;13:08;13:16;13:16;13:26;13:25;13:36;13:35;13:46;13:46;13:56;13:56;14:06;14:07;14:16;14:16;14:26;14:27;14:36;14:36;14:46;14:45;14:56;14:56;15:06;15:07;15:16;15:16;15:26;15:26;15:36;15:36;15:46;15:45;15:56;15:56;16:06;16:06;16:16;16:19;16:26;16:26;16:36;16:37;16:46;16:44;16:56;16:55;17:06;17:06;17:16;17:18;17:26;17:26;17:36;17:35;17:46;17:46;17:56;17:57;18:06;18:06;18:16;18:17;18:26;18:25;18:36;18:36;18:46;18:46;18:57;18:58;19:04;19:04;19:12;19:16;19:27;19:28;19:34;19:34;19:42;19:41;19:57;19:58;20:12;20:13;20:27;20:28;20:42;20:42;20:57;20:58;21:12;21:13;21:27;21:28;21:42;21:41;21:57;21:58;22:12;22:13;22:27;22:28;22:46;22:46;22:55;22:55;23:16;23:16;23:46;23:46
Springerstraße;00:17;00:16;00:46;00:46;04:47;04:47;05:17;05:17;05:47;05:47;06:17;06:17;06:47;06:47;07:17;07:17;07:47;07:48;08:13;08:14;08:28;08:27;08:43;08:44;08:58;08:57;09:13;09:16;09:28;09:29;09:43;09:44;09:58;09:59;10:13;10:16;10:27;10:26;10:37;10:38;10:47;10:47;10:57;10:57;11:07;11:09;11:17;11:18;11:27;11:27;11:37;11:36;11:47;11:47;11:57;11:56;12:07;12:12;12:17;12:19;12:27;12:27;12:37;12:36;12:47;12:47;12:57;12:58;13:07;13:09;13:17;13:16;13:27;13:26;13:37;13:36;13:47;13:47;13:57;13:57;14:07;14:08;14:17;14:17;14:27;14:28;14:37;14:36;14:47;14:46;14:57;14:57;15:07;15:08;15:17;15:16;15:27;15:27;15:37;15:36;15:47;15:45;15:57;15:57;16:07;16:06;16:17;16:20;16:27;16:27;16:37;16:38;16:47;16:45;16:57;16:56;17:07;17:06;17:17;17:18;17:27;17:27;17:37;17:36;17:47;17:47;17:57;17:58;18:07;18:06;18:17;18:18;18:27;18:26;18:37;18:37;18:47;18:46;18:58;18:59;19:05;19:05;19:13;19:17;19:28;19:29;19:35;19:35;19:43;19:42;19:58;19:59;20:13;20:13;20:28;20:29;20:43;20:42;20:58;20:59;21:13;21:13;21:28;21:29;21:43;21:42;21:58;21:59;22:13;22:14;22:28;22:29;22:47;22:46;22:56;22:55;23:17;23:16;23:47;23:46
Nordplatz;00:18;00:17;00:47;00:47;04:48;04:48;05:18;05:18;05:48;05:48;06:18;06:18;06:48;06:48;07:18;07:17;07:48;07:49;08:14;08:15;08:29;08:28;08:44;08:45;08:59;08:58;09:14;09:17;09:29;09:30;09:44;09:45;09:59;09:59;10:14;10:17;10:28;10:27;10:38;10:38;10:48;10:48;10:58;10:58;11:08;11:10;11:18;11:19;11:28;11:29;11:38;11:37;11:48;11:48;11:58;11:57;12:08;12:13;12:18;12:20;12:28;12:28;12:38;12:37;12:48;12:48;12:58;12:59;13:08;13:10;13:18;13:17;13:28;13:27;13:38;13:37;13:48;13:48;13:58;13:58;14:08;14:09;14:18;14:18;14:28;14:28;14:38;14:37;14:48;14:46;14:58;14:58;15:08;15:09;15:18;15:17;15:28;15:28;15:38;15:37;15:48;15:46;15:58;15:58;16:08;16:07;16:18;16:21;16:28;16:29;16:38;16:38;16:48;16:46;16:58;16:57;17:08;17:07;17:18;17:19;17:28;17:28;17:38;17:37;17:48;17:48;17:58;17:58;18:08;18:07;18:18;18:19;18:28;18:27;18:38;18:38;18:48;18:47;18:59;19:00;19:06;19:06;19:14;19:18;19:29;19:30;19:36;19:36;19:44;19:43;19:59;19:59;20:14;20:14;20:29;20:30;20:44;20:43;20:59;21:00;21:14;21:14;21:29;21:29;21:44;21:43;21:59;22:00;22:14;22:14;22:29;22:30;22:48;22:47;22:57;22:56;23:18;23:17;23:48;23:47
Zoo;00:19;00:18;00:48;00:48;04:49;04:49;05:19;05:19;05:49;05:49;06:19;06:19;06:49;06:49;07:19;07:19;07:49;07:50;08:15;08:16;08:30;08:29;08:45;08:46;09:00;09:00;09:15;09:18;09:30;09:31;09:45;09:47;10:00;10:01;10:15;10:19;10:29;10:28;10:39;10:40;10:49;10:49;10:59;11:00;11:09;11:12;11:19;11:21;11:29;11:30;11:39;11:39;11:49;11:49;11:59;11:59;12:09;12:15;12:19;12:21;12:29;12:29;12:39;12:38;12:49;12:49;12:59;13:00;13:09;13:12;13:19;13:19;13:29;13:28;13:39;13:38;13:49;13:49;13:59;14:00;14:09;14:11;14:19;14:20;14:29;14:30;14:39;14:39;14:49;14:48;14:59;14:59;15:09;15:11;15:19;15:19;15:29;15:30;15:39;15:39;15:49;15:48;15:59;15:59;16:09;16:09;16:19;16:23;16:29;16:30;16:39;16:40;16:49;16:48;16:59;16:59;17:09;17:09;17:19;17:21;17:29;17:30;17:39;17:39;17:49;17:49;17:59;18:00;18:09;18:09;18:19;18:21;18:29;18:28;18:39;18:39;18:49;18:49;19:00;19:01;19:07;19:07;19:15;19:19;19:30;19:31;19:37;19:37;19:45;19:44;20:00;20:01;20:15;20:16;20:30;20:32;20:45;20:44;21:00;21:01;21:15;21:16;21:30;21:31;21:45;21:44;22:00;22:02;22:15;22:15;22:30;22:31;22:49;22:48;22:58;22:57;23:19;23:18;23:49;23:49
Lortzingstraße;00:20;00:19;00:49;00:49;04:50;04:50;05:20;05:20;05:50;05:50;06:20;06:20;06:50;06:50;07:20;07:20;07:50;07:50;08:16;08:17;08:31;08:30;08:46;08:47;09:01;09:01;09:16;09:19;09:31;09:31;09:46;09:48;10:01;10:02;10:16;10:20;10:30;10:30;10:40;10:41;10:50;10:50;11:00;11:00;11:10;11:13;11:20;11:21;11:30;11:31;11:40;11:40;11:50;11:51;12:00;12:00;12:10;12:16;12:20;12:22;12:30;12:30;12:40;12:39;12:50;12:51;13:00;13:01;13:10;13:13;13:20;13:20;13:30;13:29;13:40;13:39;13:50;13:50;14:00;14:01;14:10;14:13;14:20;14:21;14:30;14:32;14:40;14:40;14:50;14:50;15:00;15:00;15:10;15:14;15:20;15:21;15:30;15:31;15:40;15:40;15:50;15:49;16:00;16:01;16:10;16:09;16:20;16:24;16:30;16:31;16:40;16:41;16:50;16:49;17:00;17:00;17:10;17:10;17:20;17:22;17:30;17:31;17:40;17:41;17:50;17:50;18:00;18:01;18:10;18:10;18:20;18:22;18:30;18:30;18:40;18:41;18:50;18:50;19:01;19:02;19:08;19:08;19:16;19:20;19:31;19:32;19:38;19:38;19:46;19:45;20:01;20:01;20:16;20:16;20:31;20:33;20:46;20:46;21:01;21:02;21:16;21:17;21:31;21:32;21:46;21:45;22:01;22:03;22:16;22:16;22:31;22:32;22:50;22:49;22:59;22:58;23:20;23:20;23:50;23:50
Goerdelerring;00:22;00:21;00:51;00:50;04:52;04:52;05:22;05:22;05:52;05:52;06:22;06:22;06:52;06:52;07:22;07:22;07:52;07:52;08:18;08:19;08:33;08:32;08:48;08:49;09:03;09:02;09:18;09:22;09:33;09:34;09:48;09:51;10:03;10:04;10:18;10:22;10:32;10:31;10:42;10:43;10:52;10:52;11:02;11:03;11:12;11:15;11:22;11:23;11:32;11:34;11:42;11:41;11:52;11:52;12:02;12:02;12:12;12:18;12:22;12:25;12:32;12:32;12:42;12:41;12:52;12:52;13:02;13:02;13:12;13:15;13:22;13:22;13:32;13:31;13:42;13:41;13:52;13:52;14:02;14:03;14:12;14:15;14:22;14:24;14:32;14:34;14:42;14:41;14:52;14:52;15:02;15:02;15:12;15:16;15:22;15:23;15:32;15:33;15:42;15:42;15:52;15:51;16:02;16:03;16:12;16:12;16:22;16:27;16:32;16:32;16:42;16:43;16:52;16:51;17:02;17:03;17:12;17:11;17:22;17:24;17:32;17:34;17:42;17:43;17:52;17:52;18:02;18:02;18:12;18:12;18:22;18:24;18:32;18:33;18:42;18:43;18:52;18:52;19:03;19:04;19:10;19:10;19:18;19:22;19:33;19:34;19:40;19:40;19:48;19:47;20:03;20:04;20:18;20:19;20:33;20:35;20:48;20:48;21:03;21:04;21:18;21:19;21:33;21:34;21:48;21:47;22:03;22:05;22:18;22:17;22:33;22:34;22:52;22:52;23:01;23:01;23:22;23:22;23:52;23:54
Hauptbahnhof;00:30;00:30;00:54;00:52;05:00;05:00;05:30;05:30;06:00;06:00;06:30;06:31;07:00;07:00;07:30;07:30;08:00;08:01;08:21;08:21;08:36;08:36;08:51;08:52;09:06;09:05;09:21;09:24;09:36;09:37;09:51;09:54;10:06;10:06;10:21;10:24;10:35;10:34;10:45;10:46;10:55;10:54;11:05;11:06;11:15;11:16;11:25;11:25;11:35;11:37;11:45;11:44;11:55;11:54;12:05;12:04;12:15;12:21;12:25;12:28;12:35;12:34;12:45;12:44;12:55;12:55;13:05;13:06;13:15;13:19;13:25;13:24;13:35;13:34;13:45;13:45;13:55;13:54;14:05;14:06;14:15;14:18;14:25;14:27;14:35;14:37;14:45;14:45;14:55;14:54;15:05;15:04;15:15;15:19;15:25;15:25;15:35;15:36;15:45;15:45;15:55;15:54;16:05;16:06;16:15;16:15;16:25;16:30;16:35;16:36;16:45;16:46;16:55;16:55;17:05;17:06;17:15;17:15;17:25;17:27;17:35;17:36;17:45;17:45;17:55;17:55;18:05;18:04;18:15;18:15;18:25;18:26;18:35;18:36;18:45;18:45;18:55;18:55;19:06;19:07;19:13;19:13;19:21;19:24;19:36;19:37;19:43;19:43;19:51;19:51;20:06;20:06;20:21;20:22;20:36;20:37;20:51;20:51;21:06;21:07;21:21;21:22;21:36;21:36;21:51;21:50;22:06;22:07;22:21;22:21;22:36;22:36;23:00;23:01;23:04;23:05;23:30;23:30;00:00;00:00
Augustusplatz;00:32;00:32;00:56;00:54;05:02;05:02;05:32;05:32;06:02;06:02;06:32;06:33;07:02;07:02;07:32;07:32;08:02;08:03;08:23;08:23;08:38;08:38;08:53;08:54;09:08;09:08;09:23;09:26;09:38;09:39;09:53;09:56;10:08;10:09;10:23;10:26;10:37;10:36;10:47;10:48;10:57;10:56;11:07;11:08;11:17;11:18;11:27;11:29;11:37;11:39;11:47;11:47;11:57;11:56;12:07;12:06;12:17;12:24;12:27;12:30;12:37;12:36;12:47;12:45;12:57;12:57;13:07;13:08;13:17;13:21;13:27;13:26;13:37;13:36;13:47;13:47;13:57;13:57;14:07;14:08;14:17;14:20;14:27;14:29;14:37;14:39;14:47;14:47;14:57;14:56;15:07;15:06;15:17;15:23;15:27;15:27;15:37;15:38;15:47;15:47;15:57;15:56;16:07;16:08;16:17;16:17;16:27;16:33;16:37;16:38;16:47;16:48;16:57;16:57;17:07;17:08;17:17;17:17;17:27;17:29;17:37;17:38;17:47;17:48;17:57;17:57;18:07;18:06;18:17;18:17;18:27;18:29;18:37;18:38;18:47;18:47;18:57;18:57;19:08;19:09;19:15;19:15;19:23;19:26;19:38;19:39;19:45;19:45;19:53;19:53;20:08;20:08;20:23;20:24;20:38;20:39;20:53;20:53;21:08;21:09;21:23;21:24;21:38;21:38;21:53;21:52;22:08;22:09;22:23;22:23;22:38;22:38;23:02;23:03;23:06;23:08;23:32;23:32;00:02;00:02
