Kurs:;49;;41;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;43;;44;;46;;47;;49;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Ratzelbogen;;;08:59;08:59;09:14;09:14;09:29;09:29;;;09:44;09:45;09:59;09:59;;;10:13;10:12;10:23;10:23;10:33;10:37;10:43;10:43;10:53;10:53;11:03;11:03;11:13;11:13;11:23;11:23;11:33;11:33;11:43;11:42;11:53;11:53;12:03;12:03;12:13;12:13;12:23;12:23;12:33;12:33;12:43;12:43;12:53;12:53;13:03;13:03;13:13;13:13;13:23;13:23;13:33;13:33;13:43;13:43;13:53;13:53;14:03;14:03;14:13;14:13;14:23;14:23;14:33;14:33;14:43;14:43;14:53;14:52;15:03;15:03;15:13;15:13;15:23;15:23;15:33;15:33;15:43;15:44;15:53;15:53;16:03;16:03;16:13;16:13;16:23;16:22;16:33;16:33;16:43;16:43;16:53;16:53;17:03;17:03;17:13;17:13;17:23;17:23;17:33;17:33;17:43;17:43;17:53;17:54;18:03;18:03;18:13;18:13;18:23;18:25;18:33;18:33;18:43;18:43;18:59;18:59;19:03;19:03;19:14;19:14;19:29;19:31;19:38;19:37;19:53;19:54;20:08;20:08;20:23;20:23;20:38;20:38;20:53;20:53
Stuttgarter Allee;;;09:00;09:01;09:15;09:15;09:30;09:30;;;09:45;09:46;10:00;10:00;;;10:14;10:14;10:24;10:24;10:34;10:38;10:44;10:44;10:54;10:54;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:34;11:44;11:43;11:54;11:55;12:04;12:05;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:45;12:54;12:55;13:04;13:04;13:14;13:15;13:24;13:24;13:34;13:34;13:44;13:44;13:54;13:54;14:04;14:05;14:14;14:14;14:24;14:24;14:34;14:34;14:44;14:45;14:54;14:53;15:04;15:04;15:14;15:14;15:24;15:24;15:34;15:35;15:44;15:46;15:54;15:54;16:04;16:04;16:14;16:15;16:24;16:24;16:34;16:34;16:44;16:45;16:54;16:55;17:04;17:04;17:14;17:14;17:24;17:24;17:34;17:34;17:44;17:45;17:54;17:55;18:04;18:04;18:14;18:14;18:24;18:27;18:34;18:34;18:44;18:44;19:00;19:00;19:04;19:04;19:15;19:16;19:30;19:32;19:39;19:39;19:54;19:55;20:09;20:09;20:24;20:24;20:39;20:40;20:54;20:54
Schönauer/Ratzelstraße;;;09:01;09:02;09:16;09:17;09:31;09:32;;;09:46;09:47;10:01;10:01;;;10:15;10:15;10:25;10:26;10:35;10:40;10:45;10:45;10:55;10:56;11:05;11:06;11:15;11:16;11:25;11:26;11:35;11:35;11:45;11:45;11:55;11:56;12:05;12:06;12:15;12:16;12:25;12:25;12:35;12:36;12:45;12:46;12:55;12:56;13:05;13:05;13:15;13:16;13:25;13:25;13:35;13:36;13:45;13:46;13:55;13:56;14:05;14:06;14:15;14:16;14:25;14:26;14:35;14:36;14:45;14:46;14:55;14:55;15:05;15:05;15:15;15:16;15:25;15:26;15:35;15:36;15:45;15:47;15:55;15:55;16:05;16:05;16:15;16:16;16:25;16:25;16:35;16:35;16:45;16:46;16:55;16:56;17:05;17:06;17:15;17:16;17:25;17:25;17:35;17:36;17:45;17:46;17:55;17:57;18:05;18:05;18:15;18:16;18:25;18:29;18:35;18:36;18:45;18:46;19:01;19:01;19:05;19:06;19:16;19:17;19:31;19:34;19:40;19:40;19:55;19:57;20:10;20:11;20:25;20:25;20:40;20:41;20:55;20:55
Herrmann-Meyer-Straße;;;09:03;09:04;09:18;09:18;09:33;09:34;;;09:48;09:49;10:03;10:03;;;10:17;10:17;10:27;10:28;10:37;10:41;10:47;10:47;10:57;10:57;11:07;11:08;11:17;11:17;11:27;11:27;11:37;11:37;11:47;11:46;11:57;11:57;12:07;12:08;12:17;12:17;12:27;12:27;12:37;12:38;12:47;12:48;12:57;12:58;13:07;13:07;13:17;13:18;13:27;13:27;13:37;13:37;13:47;13:47;13:57;13:57;14:07;14:08;14:17;14:18;14:27;14:27;14:37;14:37;14:47;14:48;14:57;14:57;15:07;15:07;15:17;15:18;15:27;15:28;15:37;15:38;15:47;15:49;15:57;15:57;16:07;16:07;16:17;16:18;16:27;16:27;16:37;16:37;16:47;16:47;16:57;16:58;17:07;17:08;17:17;17:17;17:27;17:27;17:37;17:37;17:47;17:48;17:57;17:59;18:07;18:07;18:17;18:17;18:27;18:31;18:37;18:38;18:47;18:47;19:03;19:03;19:07;19:07;19:18;19:19;19:33;19:35;19:42;19:43;19:57;19:59;20:12;20:13;20:27;20:27;20:42;20:43;20:57;20:57
Kurt-Kresse-Straße;;;09:05;09:06;09:20;09:20;09:35;09:35;;;09:50;09:51;10:05;10:04;;;10:19;10:18;10:29;10:29;10:39;10:43;10:49;10:48;10:59;10:59;11:09;11:09;11:19;11:19;11:29;11:28;11:39;11:38;11:49;11:48;11:59;11:59;12:09;12:09;12:19;12:19;12:29;12:28;12:39;12:39;12:49;12:49;12:59;12:59;13:09;13:08;13:19;13:19;13:29;13:29;13:39;13:39;13:49;13:49;13:59;13:59;14:09;14:09;14:19;14:19;14:29;14:29;14:39;14:39;14:49;14:50;14:59;14:58;15:09;15:09;15:19;15:19;15:29;15:29;15:39;15:39;15:49;15:50;15:59;15:58;16:09;16:08;16:19;16:19;16:29;16:28;16:39;16:39;16:49;16:48;16:59;16:59;17:09;17:09;17:19;17:18;17:29;17:28;17:39;17:38;17:49;17:49;17:59;18:00;18:09;18:08;18:19;18:18;18:29;18:32;18:39;18:39;18:49;18:49;19:05;19:04;19:09;19:09;19:20;19:20;19:35;19:37;19:44;19:44;19:59;20:00;20:14;20:14;20:29;20:29;20:44;20:44;20:59;20:59
Diezmannstraße;;;09:06;09:07;09:21;09:21;09:36;09:36;;;09:51;09:52;10:06;10:06;;;10:20;10:20;10:30;10:30;10:40;10:44;10:50;10:50;11:00;11:00;11:10;11:10;11:20;11:20;11:30;11:30;11:40;11:39;11:50;11:49;12:00;12:00;12:10;12:10;12:20;12:21;12:30;12:30;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:09;13:20;13:21;13:30;13:30;13:40;13:40;13:50;13:50;14:00;14:00;14:10;14:11;14:20;14:21;14:30;14:30;14:40;14:40;14:50;14:51;15:00;15:00;15:10;15:10;15:20;15:20;15:30;15:31;15:40;15:41;15:50;15:51;16:00;15:59;16:10;16:10;16:20;16:21;16:30;16:30;16:40;16:40;16:50;16:50;17:00;17:01;17:10;17:10;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:51;18:00;18:01;18:10;18:10;18:20;18:20;18:30;18:33;18:40;18:40;18:50;18:50;19:06;19:06;19:10;19:10;19:21;19:22;19:36;19:38;19:45;19:46;20:00;20:01;20:15;20:15;20:30;20:30;20:45;20:45;21:00;21:00
Antonien-/Gießerstraße;;;09:08;09:09;09:23;09:22;09:38;09:38;;;09:53;09:54;10:08;10:07;;;10:22;10:21;10:32;10:32;10:42;10:46;10:52;10:51;11:02;11:02;11:12;11:12;11:22;11:22;11:32;11:31;11:42;11:41;11:52;11:51;12:02;12:02;12:12;12:12;12:22;12:22;12:32;12:32;12:42;12:42;12:52;12:52;13:02;13:02;13:12;13:11;13:22;13:23;13:32;13:32;13:42;13:41;13:52;13:51;14:02;14:01;14:12;14:12;14:22;14:22;14:32;14:32;14:42;14:42;14:52;14:54;15:02;15:02;15:12;15:11;15:22;15:22;15:32;15:32;15:42;15:42;15:52;15:53;16:02;16:00;16:12;16:11;16:22;16:22;16:32;16:31;16:42;16:42;16:52;16:51;17:02;17:02;17:12;17:12;17:22;17:22;17:32;17:31;17:42;17:41;17:52;17:52;18:02;18:03;18:12;18:11;18:22;18:21;18:32;18:35;18:42;18:42;18:52;18:52;19:08;19:07;19:12;19:11;19:23;19:24;19:38;19:39;19:47;19:47;20:02;20:03;20:17;20:16;20:32;20:31;20:47;20:47;21:02;21:01
Adler;;;09:10;09:10;09:25;09:24;09:40;09:39;;;09:55;09:55;10:10;10:09;;;10:24;10:24;10:34;10:34;10:44;10:47;10:54;10:54;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:33;11:44;11:44;11:54;11:52;12:04;12:04;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:44;12:54;12:54;13:04;13:04;13:14;13:12;13:24;13:24;13:34;13:34;13:44;13:43;13:54;13:53;14:04;14:03;14:14;14:15;14:24;14:23;14:34;14:33;14:44;14:43;14:54;14:55;15:04;15:03;15:14;15:12;15:24;15:23;15:34;15:33;15:44;15:44;15:54;15:54;16:04;16:03;16:14;16:14;16:24;16:24;16:34;16:32;16:44;16:43;16:54;16:52;17:04;17:04;17:14;17:13;17:24;17:23;17:34;17:33;17:44;17:43;17:54;17:54;18:04;18:04;18:14;18:14;18:24;18:22;18:34;18:37;18:44;18:44;18:54;18:54;19:10;19:10;19:14;19:13;19:25;19:25;19:40;19:40;19:49;19:49;20:04;20:05;20:19;20:19;20:34;20:34;20:49;20:49;21:04;21:03
Rödelstraße;;;09:12;09:13;09:27;09:26;09:42;09:41;;;09:57;09:58;10:12;10:11;;;10:26;10:26;10:36;10:36;10:46;10:50;10:56;10:56;11:06;11:06;11:16;11:16;11:26;11:26;11:36;11:36;11:46;11:46;11:56;11:54;12:06;12:06;12:16;12:16;12:26;12:26;12:36;12:36;12:46;12:46;12:56;12:56;13:06;13:06;13:16;13:15;13:26;13:26;13:36;13:36;13:46;13:46;13:56;13:56;14:06;14:05;14:16;14:17;14:26;14:25;14:36;14:36;14:46;14:45;14:56;14:57;15:06;15:06;15:16;15:15;15:26;15:25;15:36;15:36;15:46;15:48;15:56;15:56;16:06;16:05;16:16;16:16;16:26;16:28;16:36;16:34;16:46;16:45;16:56;16:54;17:06;17:06;17:16;17:16;17:26;17:25;17:36;17:37;17:46;17:45;17:56;17:56;18:06;18:06;18:16;18:16;18:26;18:24;18:36;18:39;18:46;18:46;18:56;18:56;19:12;19:13;;;19:27;19:28;19:42;19:43;;;;;;;;;;;;
Stieglitzstraße;;;09:13;09:14;09:28;09:27;09:43;09:43;;;09:58;10:00;10:13;10:13;;;10:28;10:28;10:38;10:38;10:48;10:52;10:58;10:58;11:08;11:19;11:18;11:18;11:28;11:28;11:38;11:38;11:48;11:47;11:58;11:56;12:08;12:08;12:18;12:18;12:28;12:27;12:38;12:37;12:48;12:48;12:58;12:58;13:08;13:08;13:18;13:17;13:28;13:28;13:38;13:38;13:48;13:48;13:58;13:58;14:08;14:07;14:18;14:19;14:28;14:27;14:38;14:38;14:48;14:47;14:58;14:59;15:08;15:08;15:18;15:17;15:28;15:27;15:38;15:37;15:48;15:49;15:58;15:58;16:08;16:07;16:18;16:17;16:28;16:29;16:38;16:36;16:48;16:47;16:58;16:56;17:08;17:08;17:18;17:17;17:28;17:27;17:38;17:38;17:48;17:47;17:58;17:57;18:08;18:07;18:18;18:18;18:28;18:27;18:38;18:41;18:48;18:47;18:58;18:58;19:13;19:14;;;19:28;19:29;19:43;19:45;;;;;;;;;;;;
Holbeinstraße;;;09:14;09:15;09:29;09:28;09:44;09:44;;;09:59;10:01;10:14;10:14;;;10:29;10:29;10:39;10:39;10:49;10:53;10:59;10:59;11:09;11:20;11:19;11:19;11:29;11:29;11:39;11:39;11:49;11:48;11:59;11:57;12:09;12:09;12:19;12:19;12:29;12:29;12:39;12:38;12:49;12:49;12:59;12:59;13:09;13:09;13:19;13:18;13:29;13:29;13:39;13:39;13:49;13:49;13:59;13:59;14:09;14:08;14:19;14:20;14:29;14:28;14:39;14:39;14:49;14:48;14:59;15:00;15:09;15:09;15:19;15:18;15:29;15:28;15:39;15:38;15:49;15:50;15:59;15:59;16:09;16:08;16:19;16:18;16:29;16:30;16:39;16:37;16:49;16:48;16:59;16:57;17:09;17:09;17:19;17:19;17:29;17:29;17:39;17:40;17:49;17:48;17:59;17:59;18:09;18:09;18:19;18:19;18:29;18:28;18:39;18:42;18:49;18:49;18:59;18:59;19:14;19:15;;;19:29;19:30;19:44;19:46;;;;;;;;;;;;
Klingerweg;;;09:16;09:17;09:31;09:30;09:46;09:46;;;10:01;10:02;10:16;10:16;;;10:31;10:31;10:41;10:41;10:51;10:55;11:01;11:01;11:11;11:22;11:21;11:21;11:31;11:31;11:41;11:41;11:51;11:50;12:01;11:59;12:11;12:11;12:21;12:20;12:31;12:31;12:41;12:40;12:51;12:50;13:01;13:01;13:11;13:11;13:21;13:20;13:31;13:31;13:41;13:41;13:51;13:51;14:01;14:00;14:11;14:09;14:21;14:23;14:31;14:30;14:41;14:41;14:51;14:50;15:01;15:02;15:11;15:11;15:21;15:20;15:31;15:30;15:41;15:40;15:51;15:52;16:01;16:00;16:11;16:10;16:21;16:20;16:31;16:32;16:41;16:39;16:51;16:49;17:01;16:59;17:11;17:11;17:21;17:21;17:31;17:30;17:41;17:41;17:51;17:50;18:01;18:00;18:11;18:10;18:21;18:21;18:31;18:29;18:41;18:44;18:51;18:50;19:01;19:01;19:16;19:17;;;19:31;19:32;19:46;19:47;;;;;;;;;;;;
Marschnerstraße;;;09:17;09:19;09:32;09:31;09:47;09:48;;;10:02;10:04;10:17;10:17;;;10:32;10:33;10:42;10:42;10:52;10:57;11:02;11:02;11:12;11:24;11:22;11:23;11:32;11:32;11:42;11:43;11:52;11:51;12:02;12:01;12:12;12:12;12:22;12:22;12:32;12:33;12:42;12:42;12:52;12:52;13:02;13:03;13:12;13:13;13:22;13:22;13:32;13:33;13:42;13:42;13:52;13:52;14:02;14:02;14:12;14:11;14:22;14:24;14:32;14:32;14:42;14:43;14:52;14:51;15:02;15:03;15:12;15:13;15:22;15:22;15:32;15:31;15:42;15:42;15:52;15:54;16:02;16:02;16:12;16:12;16:22;16:22;16:32;16:34;16:42;16:41;16:52;16:51;17:02;17:01;17:12;17:13;17:22;17:22;17:32;17:32;17:42;17:43;17:52;17:51;18:02;18:02;18:12;18:12;18:22;18:22;18:32;18:31;18:42;18:46;18:52;18:52;19:02;19:02;19:17;19:18;;;19:32;19:34;19:47;19:49;;;;;;;;;;;;
Westplatz;09:04;09:04;09:19;09:21;09:34;09:33;09:49;09:50;09:59;10:01;10:04;10:06;10:19;10:18;10:29;10:31;10:34;10:34;10:44;10:44;10:54;10:59;11:04;11:03;11:14;11:25;11:24;11:25;11:34;11:34;11:44;11:45;11:54;11:53;12:04;12:02;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:43;12:54;12:54;13:04;13:04;13:14;13:14;13:24;13:23;13:34;13:35;13:44;13:44;13:54;13:54;14:04;14:04;14:14;14:13;14:24;14:26;14:34;14:33;14:44;14:44;14:54;14:53;15:04;15:05;15:14;15:14;15:24;15:23;15:34;15:33;15:44;15:44;15:54;15:56;16:04;16:04;16:14;16:14;16:24;16:24;16:34;16:35;16:44;16:43;16:54;16:53;17:04;17:02;17:14;17:15;17:24;17:24;17:34;17:34;17:44;17:45;17:54;17:53;18:04;18:03;18:14;18:13;18:24;18:24;18:34;18:33;18:44;18:47;18:54;18:54;19:04;19:04;19:19;19:20;;;19:34;19:35;19:49;19:50;;;;;;;;;;;;
Neues Rathaus;09:06;09:07;09:21;09:22;09:36;09:35;09:51;09:52;10:01;10:02;10:06;10:07;10:21;10:20;10:31;10:34;10:36;10:37;10:46;10:46;10:56;11:01;11:06;11:05;11:16;11:28;11:26;11:26;11:36;11:35;11:46;11:46;11:56;11:55;12:06;12:05;12:16;12:16;12:26;12:26;12:36;12:37;12:46;12:46;12:56;12:56;13:06;13:07;13:16;13:16;13:26;13:25;13:36;13:37;13:46;13:46;13:56;13:56;14:06;14:05;14:16;14:16;14:26;14:28;14:36;14:35;14:46;14:47;14:56;14:55;15:06;15:08;15:16;15:16;15:26;15:25;15:36;15:36;15:46;15:46;15:56;15:58;16:06;16:05;16:16;16:16;16:26;16:25;16:36;16:37;16:46;16:46;16:56;16:55;17:06;17:05;17:16;17:16;17:26;17:26;17:36;17:35;17:46;17:47;17:56;17:55;18:06;18:05;18:16;18:16;18:26;18:25;18:36;18:35;18:46;18:49;18:56;18:55;19:06;19:05;19:21;19:22;;;19:36;19:37;19:51;19:52;;;;;;;;;;;;
Wilhelm-Leuschner-Platz;09:08;09:08;09:23;09:25;09:38;09:37;09:53;09:54;10:03;10:04;10:08;10:09;10:23;10:23;10:33;10:36;10:38;10:39;10:48;10:47;10:58;11:02;11:08;11:07;11:18;11:32;11:28;11:28;11:38;11:38;11:48;11:48;11:58;11:57;12:08;12:07;12:18;12:17;12:28;12:28;12:38;12:39;12:48;12:47;12:58;12:58;13:08;13:09;13:18;13:17;13:28;13:26;13:38;13:38;13:48;13:48;13:58;13:58;14:08;14:07;14:18;14:17;14:28;14:30;14:38;14:37;14:48;14:49;14:58;14:56;15:08;15:10;15:18;15:17;15:28;15:27;15:38;15:38;15:48;15:48;15:58;16:00;16:08;16:07;16:18;16:18;16:28;16:27;16:38;16:38;16:48;16:47;16:58;16:56;17:08;17:07;17:18;17:18;17:28;17:28;17:38;17:38;17:48;17:49;17:58;17:57;18:08;18:07;18:18;18:18;18:28;18:28;18:38;18:37;18:48;18:51;18:58;18:58;19:08;19:08;19:23;19:24;;;19:38;19:38;19:53;19:53;;;;;;;;;;;;
Roßplatz;09:09;09:10;09:24;09:26;09:39;09:38;09:54;09:56;10:04;10:06;10:09;10:11;10:24;10:26;10:34;10:38;10:39;10:41;10:49;10:48;10:59;11:03;11:09;11:09;11:19;11:33;11:29;11:30;11:39;11:40;11:49;11:50;11:59;11:59;12:09;12:10;12:19;12:18;12:29;12:29;12:39;12:39;12:49;12:48;12:59;12:59;13:09;13:11;13:19;13:19;13:29;13:28;13:39;13:40;13:49;13:50;13:59;13:59;14:09;14:09;14:19;14:18;14:29;14:32;14:39;14:40;14:49;14:50;14:59;14:58;15:09;15:11;15:19;15:19;15:29;15:27;15:39;15:40;15:49;15:49;15:59;16:01;16:09;16:10;16:19;16:20;16:29;16:29;16:39;16:39;16:49;16:48;16:59;16:57;17:09;17:08;17:19;17:20;17:29;17:29;17:39;17:39;17:49;17:50;17:59;17:58;18:09;18:10;18:19;18:19;18:29;18:29;18:39;18:38;18:49;18:53;18:59;18:59;19:09;19:09;19:24;19:26;;;19:39;19:39;19:54;19:54;;;;;;;;;;;;
Härtelstraße;09:10;09:11;09:25;09:27;09:40;09:39;09:55;09:57;10:05;10:07;10:10;10:12;10:25;10:27;10:35;10:39;10:40;10:42;10:50;10:49;11:00;11:04;11:10;11:10;11:20;11:34;11:30;11:31;11:40;11:41;11:50;11:51;12:00;12:00;12:10;12:11;12:20;12:19;12:30;12:30;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:12;13:20;13:20;13:30;13:29;13:40;13:41;13:50;13:51;14:00;14:00;14:10;14:10;14:20;14:20;14:30;14:33;14:40;14:41;14:50;14:51;15:00;14:59;15:10;15:12;15:20;15:20;15:30;15:28;15:40;15:41;15:50;15:50;16:00;16:02;16:10;16:11;16:20;16:21;16:30;16:30;16:40;16:41;16:50;16:49;17:00;16:58;17:10;17:09;17:20;17:21;17:30;17:30;17:40;17:41;17:50;17:51;18:00;18:00;18:10;18:11;18:20;18:20;18:30;18:30;18:40;18:39;18:50;18:54;19:00;19:00;19:10;19:10;19:25;19:27;;;19:40;19:40;19:55;19:55;;;;;;;;;;;;
Bayerischer Bahnhof;09:12;09:12;09:27;09:28;09:42;09:40;09:57;09:58;10:07;10:09;10:12;10:13;10:27;10:28;10:37;10:40;10:42;10:43;10:52;10:51;11:02;11:06;11:12;11:12;11:22;11:36;11:32;11:33;11:42;11:42;11:52;11:52;12:02;12:01;12:12;12:12;12:22;12:21;12:32;12:31;12:42;12:42;12:52;12:51;13:02;13:03;13:12;13:13;13:22;13:22;13:32;13:30;13:42;13:42;13:52;13:53;14:02;14:01;14:12;14:12;14:22;14:22;14:32;14:34;14:42;14:42;14:52;14:52;15:02;15:00;15:12;15:13;15:22;15:22;15:32;15:30;15:42;15:42;15:52;15:52;16:02;16:03;16:12;16:12;16:22;16:22;16:32;16:31;16:42;16:42;16:52;16:51;17:02;17:00;17:12;17:10;17:22;17:23;17:32;17:32;17:42;17:42;17:52;17:52;18:02;18:02;18:12;18:12;18:22;18:22;18:32;18:31;18:42;18:40;18:52;18:55;19:02;19:01;19:12;19:12;19:27;19:28;;;19:42;19:42;19:57;19:57;;;;;;;;;;;;
Johannisallee;09:13;09:13;09:28;09:30;09:43;09:42;09:58;10:01;10:08;10:10;10:13;10:15;10:28;10:30;10:38;10:41;10:43;10:45;10:53;10:53;11:03;11:07;11:13;11:13;11:23;11:37;11:33;11:35;11:43;11:43;11:53;11:54;12:03;12:03;12:13;12:14;12:23;12:23;12:33;12:33;12:43;12:43;12:53;12:53;13:03;13:04;13:13;13:15;13:23;13:24;13:33;13:31;13:43;13:44;13:53;13:54;14:03;14:03;14:13;14:13;14:23;14:24;14:33;14:36;14:43;14:44;14:53;14:54;15:03;15:02;15:13;15:15;15:23;15:24;15:33;15:31;15:43;15:43;15:53;15:54;16:03;16:04;16:13;16:13;16:23;16:24;16:33;16:33;16:43;16:43;16:53;16:52;17:03;17:01;17:13;17:12;17:23;17:25;17:33;17:33;17:43;17:43;17:53;17:54;18:03;18:03;18:13;18:13;18:23;18:24;18:33;18:33;18:43;18:42;18:53;18:57;19:03;19:03;19:13;19:13;19:28;19:30;;;19:43;19:43;19:58;19:58;;;;;;;;;;;;
Dt. Nationalbibliothek;09:15;09:15;09:30;09:31;09:45;09:44;10:00;10:03;10:10;10:12;10:15;10:17;10:30;10:32;10:40;10:43;10:45;10:47;10:55;10:55;11:05;11:09;11:15;11:14;11:25;11:40;11:35;11:37;11:45;11:45;11:55;11:56;12:05;12:04;12:15;12:15;12:25;12:24;12:35;12:34;12:45;12:45;12:55;12:55;13:05;13:06;13:15;13:17;13:25;13:26;13:35;13:33;13:45;13:45;13:55;13:56;14:05;14:05;14:15;14:15;14:25;14:25;14:35;14:37;14:45;14:45;14:55;14:57;15:05;15:03;15:15;15:17;15:25;15:26;15:35;15:33;15:45;15:46;15:55;15:56;16:05;16:07;16:15;16:16;16:25;16:26;16:35;16:35;16:45;16:45;16:55;16:55;17:05;17:03;17:15;17:13;17:25;17:27;17:35;17:35;17:45;17:45;17:55;17:55;18:05;18:06;18:15;18:15;18:25;18:27;18:35;18:35;18:45;18:43;18:55;18:59;19:05;19:04;19:15;19:15;19:30;19:31;;;19:45;19:46;20:00;20:01;;;;;;;;;;;;
Altes Messegelände;09:17;09:18;09:32;09:34;09:47;09:46;10:02;10:06;10:12;10:15;10:17;10:19;10:32;10:34;10:42;10:45;10:47;10:49;10:57;10:58;11:07;11:12;11:17;11:16;11:27;;11:37;11:39;11:47;11:48;11:57;11:58;12:07;12:06;12:17;12:18;12:27;12:27;12:37;12:37;12:47;12:48;12:57;12:57;13:07;13:09;13:17;13:19;13:27;13:28;13:37;13:36;13:47;13:47;13:57;13:58;14:07;14:07;14:17;14:18;14:27;14:28;14:37;14:40;14:47;14:49;14:57;14:59;15:07;15:06;15:17;15:19;15:27;15:29;15:37;15:36;15:47;15:49;15:57;15:59;16:07;16:10;16:17;16:18;16:27;16:28;16:37;16:37;16:47;16:48;16:57;16:57;17:07;17:06;17:17;17:15;17:27;17:30;17:37;17:37;17:47;17:48;17:57;17:58;18:07;18:09;18:17;18:18;18:27;18:30;18:37;18:37;18:47;18:46;18:57;19:01;19:07;19:07;19:17;19:18;19:32;19:34;;;19:47;19:48;20:02;20:03;;;;;;;;;;;;
Naunhofer Straße;09:18;09:19;09:33;09:35;09:48;09:47;10:03;10:07;10:13;10:15;10:18;10:20;10:33;10:35;10:43;10:45;10:48;10:50;10:58;10:59;11:08;11:12;11:18;11:17;11:28;;11:38;11:40;11:48;11:49;11:58;11:59;12:08;12:07;12:18;12:18;12:28;12:27;12:38;12:38;12:48;12:48;12:58;12:57;13:08;13:09;13:18;13:20;13:28;13:30;13:38;13:36;13:48;13:49;13:58;13:59;14:08;14:08;14:18;14:19;14:28;14:29;14:38;14:41;14:48;14:50;14:58;15:00;15:08;15:07;15:18;15:20;15:28;15:30;15:38;15:37;15:48;15:49;15:58;16:00;16:08;16:10;16:18;16:19;16:28;16:29;16:38;16:38;16:48;16:49;16:58;16:58;17:08;17:07;17:18;17:16;17:28;17:38;17:38;17:38;17:48;17:49;17:58;17:59;18:08;18:09;18:18;18:19;18:28;18:30;18:38;18:38;18:48;18:47;18:58;19:03;19:08;19:08;19:18;19:18;19:33;19:35;;;19:48;19:48;20:03;20:04;;;;;;;;;;;;
