Kurs:;72;;84;;33;;38;;34;;33;;91;;31;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;92;;36;;33;;31;;37;;38;;36;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Paunsdorf, Buswendest.;05:18;05:18;06:18;06:18;07:18;07:18;07:48;07:50;08:18;08:19;08:43;08:43;09:13;09:13;09:43;09:43;10:10;10:10;10:30;10:32;10:50;10:50;11:10;11:10;11:30;11:31;11:50;11:50;12:10;12:11;12:30;12:30;12:50;12:51;13:10;13:11;13:30;13:30;13:50;13:51;14:10;14:10;14:30;14:31;14:50;14:50;15:10;15:10;15:30;15:30;15:50;15:51;16:10;16:10;16:30;16:31;16:50;16:50;17:10;17:11;17:30;17:31;17:50;17:50;18:10;18:10;18:30;18:30;18:50;18:50;19:13;19:14;19:43;19:43;20:13;20:13;20:43;20:43;21:15;21:15;21:45;21:45;22:18;22:18;23:18;23:17
Güterbahnhofstraße;05:19;05:19;06:19;06:19;07:19;07:19;07:49;07:51;08:19;08:20;08:44;08:44;09:14;09:14;09:44;09:44;10:11;10:11;10:31;10:33;10:51;10:50;11:11;11:11;11:31;11:32;11:51;11:51;12:11;12:11;12:31;12:31;12:51;12:52;13:11;13:12;13:31;13:31;13:51;13:52;14:11;14:11;14:31;14:32;14:51;14:51;15:11;15:11;15:31;15:31;15:51;15:52;16:11;16:11;16:31;16:32;16:51;16:51;17:11;17:11;17:31;17:32;17:51;17:51;18:11;18:11;18:31;18:31;18:51;18:51;19:14;19:15;19:44;19:44;20:14;20:14;20:44;20:44;21:16;21:16;21:46;21:46;22:19;22:19;23:19;23:18
Schongauerstraße;05:20;05:20;06:20;06:20;07:20;07:19;07:50;07:51;08:20;08:20;08:45;08:44;09:15;09:15;09:45;09:44;10:12;10:12;10:32;10:33;10:52;10:51;11:12;11:12;11:32;11:32;11:52;11:52;12:12;12:12;12:32;12:31;12:52;12:53;13:12;13:12;13:32;13:31;13:52;13:52;14:12;14:12;14:32;14:33;14:52;14:52;15:12;15:12;15:32;15:32;15:52;15:52;16:12;16:11;16:32;16:33;16:52;16:51;17:12;17:12;17:32;17:33;17:52;17:53;18:12;18:13;18:32;18:32;18:52;18:52;19:15;19:16;19:45;19:45;20:15;20:15;20:45;20:45;21:17;21:16;21:47;21:47;22:20;22:20;23:20;23:20
Sommerfeld;05:21;05:20;06:21;06:21;07:21;07:20;07:51;07:52;08:21;08:21;08:46;08:46;09:16;09:17;09:46;09:46;10:13;10:14;10:33;10:35;10:53;10:52;11:13;11:13;11:33;11:34;11:53;11:54;12:13;12:13;12:33;12:34;12:53;12:55;13:13;13:14;13:33;13:35;13:53;13:54;14:13;14:16;14:33;14:34;14:53;14:54;15:13;15:13;15:33;15:34;15:53;15:53;16:13;16:13;16:33;16:34;16:53;16:53;17:13;17:15;17:33;17:35;17:53;17:54;18:13;18:16;18:33;18:35;18:53;18:53;19:16;19:17;19:46;19:45;20:16;20:17;20:46;20:47;21:18;21:17;21:48;21:48;22:21;22:21;23:21;23:21
Hans-Weigel-Straße;05:22;05:22;06:22;06:22;07:22;07:21;07:52;07:53;08:22;08:22;08:47;08:47;09:17;09:18;09:47;09:47;10:14;10:15;10:34;10:36;10:54;10:53;11:14;11:14;11:34;11:35;11:54;11:55;12:14;12:15;12:34;12:34;12:54;12:56;13:14;13:15;13:34;13:35;13:54;13:55;14:14;14:17;14:34;14:36;14:54;14:55;15:14;15:15;15:34;15:34;15:54;15:54;16:14;16:14;16:34;16:36;16:54;16:54;17:14;17:16;17:34;17:36;17:54;17:55;18:14;18:17;18:34;18:36;18:54;18:55;19:17;19:18;19:47;19:47;20:17;20:17;20:47;20:48;21:19;21:18;21:49;21:49;22:22;22:22;23:22;23:22
Hugo-Aurig-Straße;05:23;05:23;06:23;06:23;07:23;07:22;07:53;07:54;08:23;08:23;08:48;08:48;09:18;09:19;09:48;09:48;10:15;10:16;10:35;10:38;10:55;10:54;11:15;11:15;11:35;11:36;11:55;11:56;12:15;12:15;12:35;12:35;12:55;12:57;13:15;13:16;13:35;13:37;13:55;13:56;14:15;14:18;14:35;14:37;14:55;14:56;15:15;15:16;15:35;15:35;15:55;15:57;16:15;16:15;16:35;16:37;16:55;16:56;17:15;17:17;17:35;17:37;17:55;17:56;18:15;18:19;18:35;18:36;18:55;18:55;19:18;19:19;19:48;19:48;20:18;20:18;20:48;20:48;21:20;21:19;21:50;21:51;22:23;22:23;23:23;23:22
Klempererstraße;05:24;05:24;06:24;06:24;07:24;07:23;07:54;07:55;08:24;08:25;08:49;08:49;09:19;09:20;09:49;09:50;10:16;10:17;10:36;10:39;10:56;10:55;11:16;11:16;11:36;11:37;11:56;11:57;12:16;12:17;12:36;12:36;12:56;12:58;13:16;13:17;13:36;13:38;13:56;13:57;14:16;14:20;14:36;14:38;14:56;14:57;15:16;15:17;15:36;15:36;15:56;15:58;16:16;16:16;16:36;16:38;16:56;16:57;17:16;17:18;17:36;17:38;17:56;17:57;18:16;18:20;18:36;18:37;18:56;18:57;19:19;19:20;19:49;19:49;20:19;20:19;20:49;20:49;21:21;21:20;21:51;21:52;22:24;22:24;23:24;23:24
Engelsdorf, Kirchweg;05:25;05:25;06:25;06:25;07:25;07:25;07:55;07:56;08:25;08:26;08:50;08:50;09:20;09:22;09:50;09:51;10:17;10:19;10:37;10:40;10:57;10:56;11:17;11:18;11:37;11:38;11:57;11:59;12:17;12:18;12:37;12:37;12:57;12:59;13:17;13:18;13:37;13:40;13:57;13:59;14:17;14:22;14:37;14:39;14:57;14:58;15:17;15:19;15:37;15:38;15:57;15:59;16:17;16:18;16:37;16:40;16:57;16:58;17:17;17:20;17:37;17:39;17:57;17:59;18:17;18:21;18:37;18:39;18:57;18:58;19:20;19:21;19:50;19:50;20:20;20:20;20:50;20:51;21:22;21:22;21:52;21:53;22:25;22:25;23:25;23:25
Engelsdorf, Kirche;05:26;05:26;06:26;06:25;07:26;07:25;07:56;07:56;08:26;08:26;08:51;08:51;09:21;09:22;09:51;09:51;10:18;10:20;10:38;10:41;10:58;10:57;11:18;11:18;11:38;11:39;11:58;12:00;12:18;12:19;12:38;12:38;12:58;12:59;13:18;13:19;13:38;13:40;13:58;13:59;14:18;14:22;14:38;14:40;14:58;14:59;15:18;15:19;15:38;15:39;15:58;15:59;16:18;16:18;16:38;16:40;16:58;16:58;17:18;17:20;17:38;17:40;17:58;17:59;18:18;18:22;18:38;18:39;18:58;18:58;19:21;19:22;19:51;19:50;20:21;20:21;20:51;20:51;21:23;21:22;21:53;21:54;22:26;22:26;23:26;23:25
Engelsdorf, Gymnasium;05:27;05:27;06:27;06:27;07:27;07:26;07:57;07:57;08:27;08:28;08:52;08:52;09:22;09:23;09:52;09:53;10:19;10:21;10:39;10:43;10:59;10:58;11:19;11:19;11:39;11:40;11:59;12:01;12:19;12:19;12:39;12:39;12:59;13:00;13:19;13:20;13:39;13:42;13:59;14:00;14:19;14:23;14:39;14:41;14:59;15:00;15:19;15:20;15:39;15:40;15:59;16:00;16:19;16:19;16:39;16:42;16:59;17:00;17:19;17:22;17:39;17:41;17:59;18:00;18:19;18:23;18:39;18:40;18:59;19:00;19:22;19:23;19:52;19:51;20:22;20:22;20:52;20:53;21:24;21:24;21:54;21:55;22:27;22:27;23:27;23:27
Arthur-Winkler-Straße;05:28;05:28;06:28;06:28;07:28;07:27;07:58;07:58;08:28;08:29;08:54;08:54;09:24;09:24;09:54;09:54;10:21;10:23;10:41;10:44;11:01;11:01;11:21;11:20;11:41;11:41;12:01;12:02;12:21;12:21;12:41;12:40;13:01;13:02;13:21;13:21;13:41;13:43;14:01;14:01;14:21;14:24;14:41;14:43;15:01;15:01;15:21;15:22;15:41;15:41;16:01;16:01;16:21;16:20;16:41;16:43;17:01;17:01;17:21;17:23;17:41;17:42;18:01;18:01;18:21;18:24;18:41;18:41;19:01;19:01;19:24;19:24;19:54;19:53;20:24;20:24;20:54;20:55;21:25;21:26;21:55;21:56;22:28;22:28;23:28;23:28
Ernst-Guhr-Straße;05:29;05:29;06:29;06:28;07:29;07:28;07:59;07:59;08:29;08:30;08:55;08:55;09:25;09:25;09:55;09:55;10:22;10:24;10:42;10:45;11:02;11:02;11:22;11:21;11:42;11:42;12:02;12:03;12:22;12:22;12:42;12:41;13:02;13:03;13:22;13:22;13:42;13:44;14:02;14:03;14:22;14:25;14:42;14:44;15:02;15:02;15:22;15:23;15:42;15:42;16:02;16:02;16:22;16:21;16:42;16:44;17:02;17:02;17:22;17:24;17:42;17:43;18:02;18:03;18:22;18:25;18:42;18:42;19:02;19:02;19:25;19:25;19:55;19:54;20:25;20:25;20:55;20:55;21:26;21:27;21:56;21:57;22:29;22:28;23:29;23:30
Werkstättenstraße;05:30;05:31;06:30;06:30;07:30;07:30;08:00;08:00;08:30;08:31;08:57;08:56;09:27;09:27;09:57;09:56;10:24;10:25;10:44;10:46;11:04;11:03;11:24;11:23;11:44;11:44;12:04;12:05;12:24;12:23;12:44;12:43;13:04;13:04;13:24;13:23;13:44;13:45;14:04;14:04;14:24;14:26;14:44;14:45;15:04;15:03;15:24;15:24;15:44;15:44;16:04;16:04;16:24;16:23;16:44;16:45;17:04;17:04;17:24;17:25;17:44;17:45;18:04;18:04;18:24;18:27;18:44;18:43;19:04;19:03;19:27;19:27;19:57;19:56;20:27;20:26;20:57;20:56;21:27;21:28;21:57;21:59;22:30;22:30;23:30;23:31
Engelsdorf, Ärztehaus;05:31;05:32;06:31;06:31;07:31;07:30;08:01;08:01;08:31;08:32;08:58;08:57;09:28;09:28;09:58;09:57;10:25;10:26;10:45;10:47;11:05;11:04;11:25;11:24;11:45;11:45;12:05;12:06;12:25;12:24;12:45;12:44;13:05;13:05;13:25;13:24;13:45;13:46;14:05;14:05;14:25;14:27;14:45;14:46;15:05;15:04;15:25;15:25;15:45;15:45;16:05;16:04;16:25;16:24;16:45;16:46;17:05;17:05;17:25;17:26;17:45;17:46;18:05;18:05;18:25;18:28;18:45;18:44;19:05;19:04;19:28;19:27;19:58;19:57;20:28;20:27;20:58;20:57;21:28;21:29;21:58;21:59;22:31;22:31;23:31;23:32
Hasenheide;05:32;05:33;06:32;06:33;07:32;07:32;08:02;08:02;08:32;08:33;08:59;08:58;09:29;09:29;09:59;09:59;10:26;10:27;10:46;10:48;11:06;11:05;11:26;11:25;11:46;11:47;12:06;12:07;12:26;12:25;12:46;12:45;13:06;13:07;13:26;13:26;13:46;13:47;14:06;14:06;14:26;14:28;14:46;14:48;15:06;15:05;15:26;15:26;15:46;15:46;16:06;16:06;16:26;16:25;16:46;16:47;17:06;17:06;17:26;17:27;17:46;17:47;18:06;18:06;18:26;18:30;18:46;18:45;19:06;19:06;19:29;19:29;19:59;19:59;20:29;20:29;20:59;20:59;21:29;21:30;21:59;22:01;22:32;22:32;23:32;23:34
Am Bahndamm;05:34;05:35;06:34;06:34;07:34;07:34;08:04;08:04;08:34;08:35;09:01;09:00;09:31;09:30;10:01;10:00;10:28;10:28;10:48;10:49;11:08;11:07;11:28;11:27;11:48;11:48;12:08;12:09;12:28;12:27;12:48;12:47;13:08;13:08;13:28;13:27;13:48;13:49;14:08;14:07;14:28;14:30;14:48;14:49;15:08;15:07;15:28;15:27;15:48;15:47;16:08;16:07;16:28;16:27;16:48;16:49;17:08;17:07;17:28;17:29;17:48;17:49;18:08;18:08;18:28;18:31;18:48;18:47;19:08;19:07;19:31;19:30;20:01;20:00;20:31;20:30;21:01;21:00;21:31;21:32;22:01;22:02;22:34;22:33;23:34;23:35
Mölkauer Dorfplatz;05:35;05:37;06:35;06:36;07:35;07:35;08:05;08:05;08:35;08:36;09:02;09:01;09:32;09:32;10:02;10:02;10:29;10:30;10:49;10:50;11:09;11:08;11:29;11:28;11:49;11:50;12:09;12:10;12:29;12:28;12:49;12:48;13:09;13:09;13:29;13:28;13:49;13:50;14:09;14:09;14:29;14:31;14:49;14:51;15:09;15:08;15:29;15:29;15:49;15:49;16:09;16:09;16:29;16:28;16:49;16:50;17:09;17:08;17:29;17:30;17:49;17:50;18:09;18:09;18:29;18:32;18:49;18:48;19:09;19:09;19:32;19:33;20:02;20:01;20:32;20:32;21:02;21:02;21:32;21:34;22:02;22:04;22:35;22:35;23:35;23:36
Mölkau, Gemeindeamt;05:36;05:38;06:36;06:36;07:36;07:36;08:06;08:06;08:36;08:36;09:03;09:02;09:33;09:32;10:03;10:03;10:30;10:31;10:50;10:51;11:10;11:09;11:30;11:30;11:50;11:50;12:10;12:11;12:30;12:29;12:50;12:48;13:10;13:10;13:30;13:29;13:50;13:51;14:10;14:10;14:30;14:32;14:50;14:52;15:10;15:09;15:30;15:30;15:50;15:49;16:10;16:09;16:30;16:29;16:50;16:51;17:10;17:09;17:30;17:32;17:50;17:51;18:10;18:10;18:30;18:34;18:50;18:49;19:10;19:10;19:33;19:33;20:03;20:02;20:33;20:33;21:03;21:03;21:33;21:34;22:03;22:05;22:36;22:35;23:36;23:37
Anemonenweg;05:37;05:39;06:37;06:37;07:37;07:37;08:07;08:09;08:37;08:37;09:04;09:04;09:34;09:34;10:04;10:05;10:31;10:33;10:51;10:53;11:11;11:11;11:31;11:31;11:51;11:51;12:11;12:13;12:31;12:31;12:51;12:50;13:11;13:13;13:31;13:32;13:51;13:54;14:11;14:12;14:31;14:33;14:51;14:54;15:11;15:12;15:31;15:32;15:51;15:51;16:11;16:11;16:31;16:30;16:51;16:52;17:11;17:11;17:31;17:34;17:51;17:52;18:11;18:11;18:31;18:36;18:51;18:51;19:11;19:13;19:34;19:34;20:04;20:04;20:34;20:35;21:04;21:04;21:34;21:35;22:04;22:06;22:37;22:37;23:37;23:38
Dr.-Wilhelm-Külz-Straße;05:38;05:39;06:38;06:38;07:38;07:37;08:08;08:09;08:38;08:38;09:05;09:04;09:35;09:34;10:05;10:06;10:32;10:33;10:52;10:53;11:12;11:11;11:32;11:32;11:52;11:52;12:12;12:13;12:32;12:31;12:52;12:50;13:12;13:13;13:32;13:32;13:52;13:55;14:12;14:12;14:32;14:33;14:52;14:54;15:12;15:12;15:32;15:32;15:52;15:51;16:12;16:11;16:32;16:31;16:52;16:53;17:12;17:11;17:32;17:34;17:52;17:53;18:12;18:12;18:32;18:36;18:52;18:51;19:12;19:13;19:35;19:35;20:05;20:04;20:35;20:35;21:05;21:04;21:35;21:36;22:05;22:06;22:38;22:38;23:38;23:39
Pommernstraße;05:39;05:40;06:39;06:39;07:39;07:38;08:09;08:10;08:39;08:38;09:06;09:05;09:36;09:35;10:06;10:07;10:33;10:34;10:53;10:54;11:13;11:12;11:33;11:33;11:53;11:53;12:13;12:14;12:33;12:32;12:53;12:51;13:13;13:14;13:33;13:33;13:53;13:56;14:13;14:13;14:33;14:34;14:53;14:55;15:13;15:13;15:33;15:34;15:53;15:52;16:13;16:12;16:33;16:31;16:53;16:53;17:13;17:12;17:33;17:35;17:53;17:53;18:13;18:13;18:33;18:37;18:53;18:52;19:13;19:14;19:36;19:35;20:06;20:05;20:36;20:36;21:06;21:05;21:36;21:37;22:06;22:07;22:39;22:38;23:39;23:39
Ostfriedhof;05:40;05:41;06:40;06:40;07:40;07:39;08:10;08:10;08:40;08:39;09:07;09:05;09:37;09:36;10:07;10:08;10:34;10:35;10:54;10:55;11:14;11:12;11:34;11:34;11:54;11:54;12:14;12:15;12:34;12:33;12:54;12:52;13:14;13:15;13:34;13:34;13:54;13:57;14:14;14:14;14:34;14:35;14:54;14:56;15:14;15:13;15:34;15:35;15:54;15:53;16:14;16:13;16:34;16:32;16:54;16:54;17:14;17:13;17:34;17:36;17:54;17:54;18:14;18:14;18:34;18:38;18:54;18:53;19:14;19:15;19:37;19:36;20:07;20:06;20:37;20:37;21:07;21:06;21:37;21:37;22:07;22:08;22:40;22:39;23:40;23:40
S-Bf. Anger-Crottendorf;05:41;05:41;06:41;06:40;07:41;07:41;08:11;08:11;08:41;08:40;09:08;09:08;09:38;09:37;10:08;10:09;10:35;10:37;10:55;10:56;11:15;11:15;11:35;11:35;11:55;11:55;12:15;12:16;12:35;12:34;12:55;12:56;13:15;13:16;13:35;13:34;13:55;13:58;14:15;14:15;14:35;14:35;14:55;14:56;15:15;15:14;15:35;15:35;15:55;15:54;16:15;16:14;16:35;16:34;16:55;16:56;17:15;17:15;17:35;17:37;17:55;17:55;18:15;18:15;18:35;18:38;18:55;18:55;19:15;19:16;19:38;19:37;20:08;20:07;20:38;20:37;21:08;21:07;21:38;21:38;22:08;22:09;22:41;22:41;23:41;23:40
Martinstraße;05:42;05:42;06:42;06:42;07:42;07:42;08:12;08:12;08:42;08:41;09:09;09:09;09:39;09:38;10:09;10:10;10:36;10:38;10:56;10:57;11:16;11:16;11:36;11:36;11:56;11:56;12:16;12:17;12:36;12:36;12:56;12:58;13:16;13:17;13:36;13:36;13:56;14:00;14:16;14:16;14:36;14:37;14:56;14:58;15:16;15:15;15:36;15:37;15:56;15:55;16:16;16:15;16:36;16:36;16:56;16:57;17:16;17:16;17:36;17:38;17:56;17:56;18:16;18:16;18:36;18:40;18:56;18:56;19:16;19:17;19:39;19:38;20:09;20:08;20:39;20:39;21:09;21:08;21:39;21:39;22:09;22:10;22:42;22:42;23:42;23:42
Breite Straße;05:43;05:43;06:43;06:43;07:43;07:43;08:13;08:13;08:43;08:43;09:10;09:11;09:40;09:40;10:10;10:11;10:37;10:40;10:57;10:59;11:17;11:18;11:37;11:37;11:57;11:57;12:17;12:18;12:37;12:37;12:57;12:59;13:17;13:19;13:37;13:37;13:57;14:02;14:17;14:17;14:37;14:39;14:57;14:59;15:17;15:16;15:37;15:38;15:57;15:57;16:17;16:16;16:37;16:37;16:57;16:58;17:17;17:18;17:37;17:40;17:57;17:57;18:17;18:17;18:37;18:41;18:57;18:57;19:17;19:19;19:40;19:40;20:10;20:10;20:40;20:40;21:10;21:10;21:40;21:41;22:10;22:11;22:43;22:43;23:43;23:43
Reudnitz, Koehlerstraße;05:45;05:45;06:45;06:45;07:45;07:45;08:15;08:17;08:45;08:46;09:12;09:13;09:42;09:42;10:12;10:13;10:39;10:42;10:59;11:02;11:19;11:22;11:39;11:39;11:59;11:59;12:19;12:22;12:39;12:39;12:59;13:01;13:19;13:22;13:39;13:39;13:59;14:04;14:19;14:20;14:39;14:41;14:59;15:01;15:19;15:19;15:39;15:40;15:59;15:59;16:19;16:18;16:39;16:39;16:59;17:00;17:19;17:20;17:39;17:42;17:59;17:59;18:19;18:19;18:39;18:43;18:59;18:59;19:19;19:21;19:42;19:42;20:12;20:12;20:42;20:42;21:12;21:12;21:42;21:43;22:12;22:14;22:45;22:45;23:45;23:44
Elsastraße;05:46;05:46;06:46;06:46;07:46;07:46;08:16;08:19;08:46;08:47;09:13;09:14;09:43;09:43;10:13;10:15;10:40;10:43;11:00;11:03;11:20;11:23;11:40;11:40;12:00;12:00;12:20;12:23;12:40;12:41;13:00;13:02;13:20;13:23;13:40;13:41;14:00;14:05;14:20;14:21;14:40;14:43;15:00;15:02;15:20;15:20;15:40;15:41;16:00;16:00;16:20;16:20;16:40;16:40;17:00;17:01;17:20;17:22;17:40;17:43;18:00;18:00;18:20;18:20;18:40;18:45;19:00;19:00;19:20;19:22;19:43;19:43;20:13;20:14;20:43;20:45;21:13;21:13;21:43;21:44;22:13;22:15;22:46;22:47;23:46;23:45
Friedrich-List-Platz;05:48;05:47;06:48;06:47;07:48;07:48;08:18;08:20;08:48;08:48;09:15;09:15;09:45;09:45;10:15;10:17;10:42;10:45;11:02;11:04;11:22;11:24;11:42;11:41;12:02;12:01;12:22;12:24;12:42;12:42;13:02;13:03;13:22;13:25;13:42;13:42;14:02;14:07;14:22;14:22;14:42;14:44;15:02;15:03;15:22;15:21;15:42;15:44;16:02;16:01;16:22;16:21;16:42;16:42;17:02;17:03;17:22;17:24;17:42;17:45;18:02;18:02;18:22;18:22;18:42;18:46;19:02;19:02;19:22;19:23;19:45;19:45;20:15;20:15;20:45;20:47;21:15;21:15;21:45;21:45;22:15;22:16;22:48;22:47;23:48;23:47
Hofmeisterstraße;05:49;05:49;06:49;06:49;07:49;07:49;08:19;08:21;08:49;08:49;09:16;09:16;09:46;09:47;10:16;10:18;10:43;10:46;11:03;11:06;11:23;11:26;11:43;11:43;12:03;12:02;12:23;12:25;12:43;12:43;13:03;13:06;13:23;13:27;13:43;13:43;14:03;14:08;14:23;14:24;14:43;14:45;15:03;15:06;15:23;15:22;15:43;15:45;16:03;16:02;16:23;16:22;16:43;16:43;17:03;17:04;17:23;17:25;17:43;17:46;18:03;18:03;18:23;18:24;18:43;18:48;19:03;19:03;19:23;19:25;19:46;19:46;20:16;20:17;20:46;20:48;21:16;21:17;21:46;21:46;22:16;22:17;22:49;22:49;23:49;23:48
Hauptbahnhof;05:51;05:51;06:51;06:50;07:51;07:50;08:21;08:22;08:51;08:50;09:18;09:18;09:48;09:49;10:18;10:21;10:45;10:49;11:05;11:08;11:25;11:28;11:45;11:44;12:05;12:04;12:25;12:28;12:45;12:45;13:05;13:09;13:25;13:28;13:45;13:45;14:05;14:10;14:25;14:26;14:45;14:48;15:05;15:08;15:25;15:24;15:45;15:47;16:05;16:04;16:25;16:25;16:45;16:45;17:05;17:05;17:25;17:28;17:45;17:48;18:05;18:05;18:25;18:25;18:45;18:51;19:05;19:06;19:25;19:26;19:48;19:49;20:18;20:19;20:48;20:50;21:18;21:19;21:48;21:49;22:18;22:19;22:51;22:51;23:51;23:49
