Kurs:;81;;31;;31;;31;;38;;34;;33;;91;;31;;35;;33;;91;;32;;35;;33;;31;;32;;35;;91;;31;;32;;33;;91;;31;;35;;33;;91;;32;;35;;33;;31;;32;;35;;91;;31;;37;;38;;93;;36;;33;;31;;37;;75;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Hauptbahnhof;00:32;00:34;05:32;05:33;06:32;06:33;07:32;07:34;08:39;08:40;09:09;09:09;09:39;09:39;10:09;10:09;10:31;10:31;10:51;10:51;11:11;11:11;11:31;11:31;11:51;11:51;12:11;12:12;12:31;12:30;12:51;12:51;13:11;13:12;13:31;13:33;13:51;13:53;14:11;14:12;14:31;14:33;14:51;14:51;15:11;15:12;15:31;15:31;15:51;15:55;16:11;16:12;16:31;16:33;16:51;16:52;17:11;17:12;17:31;17:33;17:51;17:53;18:11;18:12;18:31;18:33;18:51;18:53;19:11;19:12;19:39;19:40;20:09;20:09;20:39;20:39;21:09;21:09;21:39;21:40;22:09;22:09;22:39;22:47;23:32;23:34
Hofmeisterstraße;00:34;00:35;05:34;05:34;06:34;06:34;07:34;07:35;08:41;08:42;09:11;09:10;09:41;09:41;10:11;10:11;10:33;10:33;10:53;10:52;11:13;11:12;11:33;11:33;11:53;11:52;12:13;12:13;12:33;12:33;12:53;12:53;13:13;13:13;13:33;13:34;13:53;13:54;14:13;14:13;14:33;14:34;14:53;14:52;15:13;15:13;15:33;15:33;15:53;15:57;16:13;16:14;16:33;16:34;16:53;16:54;17:13;17:13;17:33;17:34;17:53;17:55;18:13;18:13;18:33;18:34;18:53;18:55;19:13;19:13;19:41;19:42;20:11;20:11;20:41;20:41;21:11;21:10;21:41;21:42;22:11;22:10;22:41;22:49;23:34;23:36
Friedrich-List-Platz;00:35;00:36;05:35;05:36;06:35;06:35;07:35;07:36;08:42;08:44;09:12;09:12;09:42;09:42;10:12;10:14;10:34;10:35;10:54;10:54;11:14;11:14;11:34;11:35;11:54;11:54;12:14;12:15;12:34;12:35;12:54;12:54;13:14;13:15;13:34;13:35;13:54;13:56;14:14;14:15;14:34;14:36;14:54;14:54;15:14;15:15;15:34;15:35;15:54;15:59;16:14;16:17;16:34;16:36;16:54;16:56;17:14;17:15;17:34;17:36;17:54;17:57;18:14;18:15;18:34;18:36;18:54;18:57;19:14;19:15;19:42;19:44;20:12;20:12;20:42;20:44;21:12;21:12;21:42;21:44;22:12;22:12;22:42;22:50;23:35;23:38
Elsastraße;00:37;00:38;05:37;05:37;06:37;06:36;07:37;07:37;08:44;08:45;09:14;09:14;09:44;09:43;10:14;10:15;10:36;10:36;10:56;10:55;11:16;11:15;11:36;11:36;11:56;11:56;12:16;12:17;12:36;12:36;12:56;12:56;13:16;13:17;13:36;13:36;13:56;13:57;14:16;14:16;14:36;14:38;14:56;14:56;15:16;15:17;15:36;15:36;15:56;16:00;16:16;16:18;16:36;16:37;16:56;16:57;17:16;17:17;17:36;17:37;17:56;17:58;18:16;18:17;18:36;18:37;18:56;18:58;19:16;19:16;19:44;19:45;20:14;20:14;20:44;20:45;21:14;21:14;21:44;21:45;22:14;22:14;22:44;22:51;23:37;23:39
Reudnitz, Koehlerstraße;00:39;00:39;05:39;05:39;06:39;06:39;07:39;07:40;08:46;08:48;09:16;09:16;09:46;09:46;10:16;10:18;10:38;10:39;10:58;10:57;11:18;11:18;11:38;11:38;11:58;11:58;12:18;12:19;12:38;12:38;12:58;12:58;13:18;13:19;13:38;13:39;13:58;14:00;14:18;14:19;14:38;14:41;14:58;14:57;15:18;15:19;15:38;15:39;15:58;16:02;16:18;16:21;16:38;16:39;16:58;17:00;17:18;17:19;17:38;17:40;17:58;18:01;18:18;18:18;18:38;18:39;18:58;19:02;19:18;19:18;19:46;19:47;20:16;20:16;20:46;20:47;21:16;21:16;21:46;21:47;22:16;22:16;22:46;22:53;23:39;23:41
Breite Straße;00:41;00:41;05:41;05:41;06:41;06:40;07:41;07:42;08:48;08:50;09:18;09:18;09:48;09:47;10:18;10:20;10:40;10:42;11:00;10:59;11:20;11:20;11:40;11:41;12:00;12:00;12:20;12:20;12:40;12:41;13:00;13:01;13:20;13:21;13:40;13:41;14:00;14:03;14:20;14:21;14:40;14:44;15:00;15:00;15:20;15:21;15:40;15:42;16:00;16:04;16:20;16:23;16:40;16:41;17:00;17:01;17:20;17:21;17:40;17:42;18:00;18:03;18:20;18:20;18:40;18:41;19:00;19:04;19:20;19:20;19:48;19:49;20:18;20:18;20:48;20:50;21:18;21:18;21:48;21:49;22:18;22:18;22:48;22:55;23:41;23:43
Martinstraße;00:42;00:42;05:42;05:42;06:42;06:41;07:42;07:43;08:49;08:51;09:19;09:19;09:49;09:48;10:19;10:21;10:41;10:43;11:01;11:00;11:21;11:21;11:41;11:42;12:01;12:01;12:21;12:21;12:41;12:42;13:01;13:02;13:21;13:22;13:41;13:42;14:01;14:04;14:21;14:23;14:41;14:45;15:01;15:00;15:21;15:22;15:41;15:43;16:01;16:05;16:21;16:24;16:41;16:42;17:01;17:03;17:21;17:22;17:41;17:43;18:01;18:04;18:21;18:22;18:41;18:42;19:01;19:05;19:21;19:21;19:49;19:50;20:19;20:19;20:49;20:51;21:19;21:19;21:49;21:50;22:19;22:19;22:49;22:56;23:42;23:44
S-Bf. Anger-Crottendorf;00:43;00:43;05:43;05:43;06:43;06:44;07:43;07:44;08:50;08:53;09:20;09:21;09:50;09:49;10:20;10:23;10:42;10:44;11:02;11:01;11:22;11:23;11:42;11:43;12:02;12:03;12:22;12:22;12:42;12:43;13:02;13:03;13:22;13:24;13:42;13:43;14:02;14:05;14:22;14:24;14:42;14:46;15:02;15:02;15:22;15:23;15:42;15:45;16:02;16:07;16:22;16:25;16:42;16:44;17:02;17:05;17:22;17:24;17:42;17:44;18:02;18:05;18:22;18:23;18:42;18:43;19:02;19:06;19:22;19:22;19:50;19:51;20:20;20:21;20:50;20:52;21:20;21:20;21:50;21:51;22:20;22:20;22:50;22:57;23:43;23:45
Ostfriedhof;00:44;00:44;05:44;05:44;06:44;06:44;07:44;07:44;08:51;08:54;09:21;09:21;09:51;09:50;10:21;10:23;10:43;10:45;11:03;11:02;11:23;11:23;11:43;11:44;12:03;12:03;12:23;12:23;12:43;12:44;13:03;13:04;13:23;13:24;13:43;13:43;14:03;14:06;14:23;14:24;14:43;14:47;15:03;15:03;15:23;15:24;15:43;15:45;16:03;16:07;16:23;16:25;16:43;16:44;17:03;17:05;17:23;17:24;17:43;17:44;18:03;18:06;18:23;18:23;18:43;18:44;19:03;19:06;19:23;19:23;19:51;19:52;20:21;20:21;20:51;20:52;21:21;21:21;21:51;21:51;22:21;22:20;22:51;22:57;23:44;23:45
Pommernstraße;00:45;00:44;05:45;05:45;06:45;06:45;07:45;07:45;08:52;08:54;09:22;09:22;09:52;09:51;10:22;10:24;10:44;10:46;11:04;11:02;11:24;11:24;11:44;11:45;12:04;12:04;12:24;12:24;12:44;12:45;13:04;13:05;13:24;13:25;13:44;13:44;14:04;14:06;14:24;14:25;14:44;14:48;15:04;15:03;15:24;15:24;15:44;15:46;16:04;16:08;16:24;16:26;16:44;16:45;17:04;17:05;17:24;17:25;17:44;17:45;18:04;18:07;18:24;18:24;18:44;18:44;19:04;19:06;19:24;19:23;19:52;19:52;20:22;20:22;20:52;20:53;21:22;21:21;21:52;21:52;22:22;22:21;22:52;22:58;23:45;23:46
Dr.-Wilhelm-Külz-Straße;00:46;00:46;05:46;05:45;06:46;06:46;07:46;07:46;08:53;08:55;09:23;09:23;09:53;09:52;10:23;10:25;10:45;10:47;11:05;11:03;11:25;11:24;11:45;11:45;12:05;12:04;12:25;12:24;12:45;12:46;13:05;13:05;13:25;13:26;13:45;13:45;14:05;14:07;14:25;14:25;14:45;14:49;15:05;15:04;15:25;15:25;15:45;15:47;16:05;16:09;16:25;16:27;16:45;16:45;17:05;17:06;17:25;17:25;17:45;17:46;18:05;18:07;18:25;18:25;18:45;18:45;19:05;19:07;19:25;19:24;19:53;19:53;20:23;20:23;20:53;20:53;21:23;21:22;21:53;21:53;22:23;22:22;22:53;22:59;23:46;23:47
Anemonenweg;00:47;00:47;05:47;05:46;06:47;06:47;07:47;07:47;08:54;08:55;09:24;09:24;09:54;09:52;10:24;10:26;10:46;10:47;11:06;11:04;11:26;11:25;11:46;11:46;12:06;12:05;12:26;12:25;12:46;12:46;13:06;13:06;13:26;13:26;13:46;13:45;14:06;14:08;14:26;14:26;14:46;14:50;15:06;15:05;15:26;15:27;15:46;15:48;16:06;16:09;16:26;16:27;16:46;16:46;17:06;17:07;17:26;17:26;17:46;17:47;18:06;18:08;18:26;18:25;18:46;18:45;19:06;19:08;19:26;19:24;19:54;19:54;20:24;20:24;20:54;20:54;21:24;21:23;21:54;21:54;22:24;22:23;22:54;22:59;23:47;23:47
Mölkau, Gemeindeamt;00:48;00:48;05:48;05:47;06:48;06:49;07:48;07:48;08:55;08:57;09:25;09:25;09:55;09:54;10:25;10:27;10:47;10:50;11:07;11:06;11:27;11:26;11:47;11:48;12:07;12:07;12:27;12:26;12:47;12:48;13:07;13:08;13:27;13:28;13:47;13:47;14:07;14:09;14:27;14:27;14:47;14:51;15:07;15:05;15:27;15:28;15:47;15:49;16:07;16:11;16:27;16:28;16:47;16:48;17:07;17:09;17:27;17:27;17:47;17:48;18:07;18:10;18:27;18:27;18:47;18:46;19:07;19:09;19:27;19:27;19:55;19:56;20:25;20:25;20:55;20:55;21:25;21:24;21:55;21:54;22:25;22:23;22:55;23:00;23:48;23:48
An den Platanen;00:49;00:49;05:49;05:48;06:49;06:50;07:49;07:50;08:56;08:58;09:26;09:26;09:56;09:56;10:26;10:28;10:48;10:51;11:08;11:08;11:28;11:28;11:48;11:49;12:08;12:09;12:28;12:28;12:48;12:49;13:08;13:09;13:28;13:29;13:48;13:48;14:08;14:11;14:28;14:29;14:48;14:53;15:08;15:07;15:28;15:30;15:48;15:50;16:08;16:12;16:28;16:29;16:48;16:49;17:08;17:10;17:28;17:29;17:48;17:49;18:08;18:11;18:28;18:28;18:48;18:48;19:08;19:10;19:28;19:28;19:56;19:57;20:26;20:26;20:56;20:57;21:26;21:26;21:56;21:55;22:26;22:25;22:56;23:02;23:49;23:49
Schulstraße;00:50;00:50;05:50;05:49;06:50;06:51;07:50;07:51;08:57;08:59;09:27;09:27;09:57;09:57;10:27;10:29;10:49;10:52;11:09;11:09;11:29;11:29;11:49;11:50;12:09;12:10;12:29;12:29;12:49;12:50;13:09;13:10;13:29;13:30;13:49;13:49;14:09;14:12;14:29;14:30;14:49;14:54;15:09;15:08;15:29;15:31;15:49;15:51;16:09;16:13;16:29;16:30;16:49;16:50;17:09;17:12;17:29;17:30;17:49;17:50;18:09;18:11;18:29;18:29;18:49;18:49;19:09;19:11;19:29;19:29;19:57;19:58;20:27;20:27;20:57;20:58;21:27;21:27;21:57;21:56;22:27;22:26;22:57;23:02;23:50;23:50
Gottschalkstraße;00:51;00:51;05:51;05:50;06:51;06:51;07:51;07:51;08:58;08:59;09:28;09:28;09:58;09:57;10:28;10:30;10:50;10:53;11:10;11:09;11:30;11:30;11:50;11:51;12:10;12:11;12:30;12:30;12:50;12:51;13:10;13:10;13:30;13:31;13:50;13:49;14:10;14:13;14:30;14:30;14:50;14:55;15:10;15:09;15:30;15:32;15:50;15:52;16:10;16:14;16:30;16:31;16:50;16:51;17:10;17:12;17:30;17:31;17:50;17:51;18:10;18:12;18:30;18:30;18:50;18:50;19:10;19:11;19:30;19:30;19:58;19:59;20:28;20:28;20:58;20:58;21:28;21:28;21:58;21:57;22:28;22:26;22:58;23:03;23:51;23:51
Bf. Mölkau;00:52;00:52;05:52;05:51;06:52;06:52;07:52;07:52;08:59;09:00;09:29;09:29;09:59;09:58;10:29;10:31;10:51;10:54;11:11;11:10;11:31;11:31;11:51;11:53;12:11;12:18;12:31;12:31;12:51;12:52;13:11;13:11;13:31;13:32;13:51;13:50;14:11;14:14;14:31;14:32;14:51;14:56;15:11;15:11;15:31;15:33;15:51;15:53;16:11;16:15;16:31;16:32;16:51;16:54;17:11;17:14;17:31;17:32;17:51;17:52;18:11;18:13;18:31;18:31;18:51;18:51;19:11;19:12;19:31;19:31;19:59;20:00;20:29;20:29;20:59;21:00;21:29;21:29;21:59;21:58;22:29;22:28;22:59;23:04;23:52;23:52
Lintacherstraße;00:53;00:53;05:53;05:52;06:53;06:52;07:53;07:53;09:00;09:01;09:30;09:29;10:00;09:59;10:30;10:32;10:52;10:55;11:12;11:12;11:32;11:32;11:52;11:54;12:12;12:19;12:32;12:32;12:52;12:53;13:12;13:12;13:32;13:33;13:52;13:51;14:12;14:14;14:32;14:34;14:52;14:57;15:12;15:13;15:32;15:34;15:52;15:53;16:12;16:16;16:32;16:33;16:52;16:55;17:12;17:15;17:32;17:33;17:52;17:53;18:12;18:14;18:32;18:33;18:52;18:52;19:12;19:13;19:32;19:32;20:00;20:01;20:30;20:30;21:00;21:01;21:30;21:31;22:00;21:59;22:30;22:29;23:00;23:04;23:53;23:53
Brandiser Straße;00:54;00:55;05:54;05:53;06:54;06:53;07:54;07:54;09:01;09:02;09:31;09:31;10:01;10:01;10:31;10:34;10:53;10:56;11:13;11:13;11:33;11:33;11:53;11:55;12:13;12:20;12:33;12:33;12:53;12:54;13:13;13:13;13:33;13:33;13:53;13:53;14:13;14:16;14:33;14:35;14:53;14:58;15:13;15:14;15:33;15:35;15:53;15:55;16:13;16:18;16:33;16:34;16:53;16:56;17:13;17:16;17:33;17:34;17:53;17:55;18:13;18:16;18:33;18:34;18:53;18:54;19:13;19:14;19:33;19:33;20:01;20:02;20:31;20:31;21:01;21:02;21:31;21:32;22:01;22:00;22:31;22:30;23:01;23:06;23:54;23:54
Baalsdorfer Straße;00:55;00:56;05:55;05:54;06:55;06:54;07:55;08:08;09:02;09:03;09:32;09:31;10:02;10:01;10:32;10:34;10:54;10:56;11:14;11:13;11:34;11:34;11:54;11:56;12:14;12:21;12:34;12:34;12:54;12:55;13:14;13:14;13:34;13:34;13:54;13:53;14:14;14:16;14:34;14:35;14:54;14:59;15:14;15:15;15:34;15:36;15:54;15:55;16:14;16:18;16:34;16:35;16:54;16:57;17:14;17:17;17:34;17:34;17:54;17:55;18:14;18:16;18:34;18:35;18:54;18:54;19:14;19:15;19:34;19:34;20:02;20:03;20:32;20:32;21:02;21:02;21:32;21:32;22:02;22:01;22:32;22:31;23:02;23:07;23:55;23:55
Baalsdorf, Kirchweg;00:56;00:57;05:56;05:55;06:56;06:55;07:56;08:09;09:03;09:03;09:33;09:32;10:03;10:02;10:33;10:35;10:55;10:58;11:15;11:14;11:35;11:35;11:55;11:57;12:15;12:22;12:35;12:35;12:55;12:56;13:15;13:15;13:35;13:35;13:55;13:55;14:15;14:17;14:35;14:36;14:55;15:01;15:15;15:16;15:35;15:37;15:55;15:57;16:15;16:19;16:35;16:36;16:55;16:58;17:15;17:18;17:35;17:35;17:55;17:57;18:15;18:17;18:35;18:36;18:55;18:56;19:15;19:16;19:35;19:35;20:03;20:04;20:33;20:33;21:03;21:03;21:33;21:33;22:03;22:02;22:33;22:32;23:03;23:08;23:56;23:55
Zaucheweg;;;;;;;;;;;;;;;;;10:57;10:59;;;;;11:57;11:58;;;;;12:57;12:58;;;;;13:57;13:56;;;;;14:57;15:02;;;;;15:57;15:58;;;;;16:57;17:00;;;;;17:57;17:58;;;;;18:57;18:57;;;;;;;;;;;;;;;;;;;;
Kleinpösna;;;;;;;;;;;;;;;;;11:00;11:03;;;;;12:00;12:01;;;;;13:00;13:01;;;;;14:00;13:59;;;;;15:00;15:06;;;;;16:00;16:01;;;;;17:00;17:03;;;;;18:00;18:01;;;;;19:00;19:02;;;;;;;;;;;;;;;;;;;;
Hirschfeld;;;;;;;;;;;;;;;;;11:03;11:05;;;;;12:03;12:03;;;;;13:03;13:03;;;;;14:03;14:01;;;;;15:03;15:07;;;;;16:03;16:03;;;;;17:03;17:05;;;;;18:03;18:04;;;;;19:03;19:04;;;;;;;;;;;;;;;;;;;;
Althen, Freundschaftsr.;;;;;;;;;;;;;;;;;11:06;11:09;;;;;12:06;12:07;;;;;13:06;13:06;;;;;14:06;14:05;;;;;15:06;15:10;;;;;16:06;16:05;;;;;17:06;17:08;;;;;18:06;18:08;;;;;19:06;19:07;;;;;;;;;;;;;;;;;;;;
Althener Anger;;;;;;;;;;;;;;;;;11:07;11:10;;;;;12:07;12:07;;;;;13:07;13:07;;;;;14:07;14:05;;;;;15:07;15:11;;;;;16:07;16:06;;;;;17:07;17:09;;;;;18:07;18:09;;;;;19:07;19:08;;;;;;;;;;;;;;;;;;;;
Althen, Oertgering;;;;;;;;;;;;;;;;;11:09;11:11;;;;;12:09;12:09;;;;;13:09;13:09;;;;;14:09;14:07;;;;;15:09;15:13;;;;;16:09;16:08;;;;;17:09;17:11;;;;;18:09;18:10;;;;;19:09;19:10;;;;;;;;;;;;;;;;;;;;
Abzw. Dreiecksiedlung;;;;;;;;;;;;;;;;;11:11;11:14;;;;;12:11;12:12;;;;;13:11;13:12;;;;;14:11;14:10;;;;;15:11;15:15;;;;;16:11;16:11;;;;;17:11;17:14;;;;;18:11;18:13;;;;;19:11;19:12;;;;;;;;;;;;;;;;;;;;
Sabinenstraße;;;;;;;;;;;;;;;;;11:13;11:16;;;;;12:13;12:13;;;;;13:13;13:13;;;;;14:13;14:12;;;;;15:13;15:17;;;;;16:13;16:13;;;;;17:13;17:16;;;;;18:13;18:15;;;;;19:13;19:13;;;;;;;;;;;;;;;;;;;;
Sternenstraße;;;;;;;;;;;;;;;;;11:14;11:17;;;;;12:14;12:14;;;;;13:14;13:14;;;;;14:14;14:12;;;;;15:14;15:18;;;;;16:14;16:13;;;;;17:14;17:16;;;;;18:14;18:15;;;;;19:14;19:14;;;;;;;;;;;;;;;;;;;;
Sommerfeld;;;;;;;;;;;;;;;;;11:16;11:20;;;;;12:16;12:17;;;;;13:16;13:16;;;;;14:16;14:15;;;;;15:16;15:21;;;;;16:16;16:17;;;;;17:16;17:18;;;;;18:16;18:17;;;;;19:16;19:15;;;;;;;;;;;;;;;;;;;;
Sommerfeld;;;;;;;;;;;;;;;;;11:17;11:21;;;;;12:17;12:18;;;;;13:17;13:16;;;;;14:17;14:15;;;;;15:17;15:21;;;;;16:17;16:18;;;;;17:17;17:19;;;;;18:17;18:18;;;;;19:17;19:15;;;;;;;;;;;;;;;;;;;;
