Kurs:;73;;81;;82;;83;;81;;91;;93;;82;;83;;31;;32;;81;;82;;85;;31;;84;;81;;83;;85;;86;;84;;82;;83;;32;;86;;81;;82;;31;;32;;84;;81;;85;;31;;86;;84;;83;;85;;32;;86;;82;;83;;31;;32;;81;;82;;85;;31;;84;;81;;83;;85;;86;;84;;82;;83;;32;;86;;81;;85;;84;;32;;81;;85;;84;;32;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Thekla;;;;;04:52;04:52;05:22;05:22;05:52;05:52;06:22;06:22;06:52;06:53;07:22;07:26;07:52;07:52;08:10;08:10;08:25;08:26;08:40;08:40;08:55;08:55;09:10;09:10;09:25;09:25;09:40;09:40;09:55;09:56;10:10;10:10;10:25;10:26;10:40;10:40;10:55;10:56;11:10;11:10;11:25;11:27;11:40;11:40;11:55;11:56;12:10;12:10;12:25;12:25;12:40;12:39;12:55;12:56;13:10;13:38;13:25;13:25;13:40;13:41;13:55;13:55;14:10;14:11;14:25;14:25;14:40;14:40;14:55;14:55;15:10;15:10;15:25;15:26;15:40;15:41;15:55;15:55;16:10;16:11;16:25;16:26;16:40;16:40;16:55;16:55;17:10;17:12;17:25;17:26;17:40;17:40;17:55;17:55;18:10;18:11;18:25;18:25;18:40;18:40;18:55;18:55;19:10;19:10;19:25;19:25;19:40;19:40;19:55;19:56;20:10;20:10;20:26;20:27;20:56;20:58;21:26;21:26;21:56;21:55;22:22;22:23;22:52;22:55;23:22;23:22
Simon-Bolivar-Straße;;;;;04:53;04:53;05:23;05:23;05:53;05:53;06:23;06:24;06:53;06:54;07:23;07:27;07:53;07:52;08:11;08:11;08:26;08:28;08:41;08:41;08:56;08:56;09:11;09:11;09:26;09:27;09:41;09:41;09:56;09:57;10:11;10:11;10:26;10:27;10:41;10:41;10:56;10:57;11:11;11:11;11:26;11:28;11:41;11:42;11:56;11:57;12:11;12:10;12:26;12:26;12:41;12:41;12:56;12:57;13:11;13:39;13:26;13:26;13:41;13:41;13:56;13:56;14:11;14:12;14:26;14:26;14:41;14:41;14:56;14:55;15:11;15:11;15:26;15:27;15:41;15:42;15:56;15:56;16:11;16:12;16:26;16:27;16:41;16:41;16:56;16:56;17:11;17:13;17:26;17:26;17:41;17:41;17:56;17:56;18:11;18:11;18:26;18:27;18:41;18:40;18:56;18:55;19:11;19:12;19:26;19:26;19:41;19:42;19:56;19:57;20:11;20:11;20:27;20:28;20:57;20:59;21:27;21:27;21:57;21:56;22:23;22:24;22:53;22:55;23:23;23:23
Komarowstraße;;;;;04:54;04:54;05:24;05:24;05:54;05:55;06:24;06:25;06:54;06:56;07:24;07:28;07:54;07:53;08:12;08:12;08:27;08:29;08:42;08:42;08:57;08:58;09:12;09:11;09:27;09:28;09:42;09:42;09:57;09:58;10:12;10:12;10:27;10:28;10:42;10:42;10:57;10:59;11:12;11:12;11:27;11:29;11:42;11:42;11:57;11:58;12:12;12:11;12:27;12:27;12:42;12:42;12:57;12:58;13:12;13:39;13:27;13:27;13:42;13:42;13:57;13:57;14:12;14:13;14:27;14:27;14:42;14:42;14:57;14:56;15:12;15:12;15:27;15:28;15:42;15:43;15:57;15:57;16:12;16:13;16:27;16:28;16:42;16:41;16:57;16:56;17:12;17:14;17:27;17:27;17:42;17:41;17:57;17:57;18:12;18:12;18:27;18:28;18:42;18:41;18:57;18:56;19:12;19:12;19:27;19:27;19:42;19:43;19:57;19:57;20:12;20:12;20:28;20:29;20:58;21:00;21:28;21:27;21:58;21:57;22:24;22:25;22:54;22:56;23:24;23:24
Mockau, Post;;;;;04:55;04:55;05:25;05:25;05:55;05:56;06:25;06:25;06:55;06:57;07:25;07:29;07:55;07:55;08:13;08:13;08:28;08:30;08:43;08:44;08:58;08:59;09:13;09:13;09:28;09:29;09:43;09:44;09:58;10:00;10:13;10:14;10:28;10:30;10:43;10:44;10:58;11:00;11:13;11:14;11:28;11:30;11:43;11:45;11:58;11:59;12:13;12:13;12:28;12:30;12:43;12:43;12:58;13:00;13:13;13:41;13:28;13:29;13:43;13:43;13:58;13:59;14:13;14:15;14:28;14:29;14:43;14:44;14:58;14:58;15:13;15:14;15:28;15:30;15:43;15:45;15:58;15:58;16:13;16:15;16:28;16:30;16:43;16:43;16:58;16:58;17:13;17:15;17:28;17:29;17:43;17:43;17:58;17:59;18:13;18:14;18:28;18:29;18:43;18:43;18:58;18:58;19:13;19:14;19:28;19:28;19:43;19:44;19:58;19:58;20:13;20:13;20:29;20:30;20:59;21:01;21:29;21:29;21:59;21:58;22:25;22:26;22:55;22:57;23:25;23:25
Rosenowstraße;;;;;04:57;04:57;05:27;05:27;05:57;05:58;06:27;06:27;06:57;06:59;07:27;07:30;07:57;07:57;08:15;08:15;08:30;08:33;08:45;08:46;09:00;09:01;09:15;09:15;09:30;09:31;09:45;09:46;10:00;10:01;10:15;10:15;10:30;10:32;10:45;10:45;11:00;11:02;11:15;11:16;11:30;11:32;11:45;11:47;12:00;12:01;12:15;12:15;12:30;12:31;12:45;12:45;13:00;13:03;13:15;13:43;13:30;13:31;13:45;13:45;14:00;14:01;14:15;14:17;14:30;14:32;14:45;14:46;15:00;14:59;15:15;15:16;15:30;15:33;15:45;15:47;16:00;16:01;16:15;16:16;16:30;16:32;16:45;16:45;17:00;17:00;17:15;17:17;17:30;17:32;17:45;17:45;18:00;18:01;18:15;18:16;18:30;18:31;18:45;18:45;19:00;19:00;19:15;19:15;19:30;19:30;19:45;19:46;20:00;20:00;20:15;20:15;20:31;20:32;21:01;21:03;21:31;21:31;22:01;22:00;22:27;22:28;22:57;22:59;23:27;23:26
Zschortauer Straße;;;;;04:58;04:58;05:28;05:28;05:58;05:59;06:28;06:28;06:58;07:00;07:28;07:32;07:58;07:59;08:17;08:17;08:32;08:35;08:47;08:47;09:02;09:02;09:17;09:17;09:32;09:32;09:47;09:47;10:02;10:04;10:17;10:17;10:32;10:34;10:47;10:47;11:02;11:03;11:17;11:17;11:32;11:34;11:47;11:48;12:02;12:02;12:17;12:17;12:32;12:34;12:47;12:47;13:02;13:05;13:17;13:44;13:32;13:34;13:47;13:47;14:02;14:03;14:17;14:19;14:32;14:34;14:47;14:47;15:02;15:01;15:17;15:17;15:32;15:35;15:47;15:49;16:02;16:02;16:17;16:19;16:32;16:34;16:47;16:47;17:02;17:02;17:17;17:19;17:32;17:33;17:47;17:47;18:02;18:02;18:17;18:17;18:32;18:32;18:47;18:47;19:02;19:02;19:17;19:17;19:32;19:32;19:47;19:47;20:02;20:01;20:17;20:16;20:32;20:33;21:02;21:04;21:32;21:32;22:02;22:01;22:28;22:29;22:58;23:00;23:28;23:28
Delitzscher/Essener Str.;;;;;05:00;05:00;05:30;05:30;06:00;06:01;06:30;06:30;07:00;07:02;07:30;07:33;08:00;08:01;08:19;08:19;08:34;08:37;08:49;08:49;09:04;09:04;09:19;09:20;09:34;09:34;09:49;09:50;10:04;10:05;10:19;10:19;10:34;10:36;10:49;10:49;11:04;11:07;11:19;11:20;11:34;11:37;11:49;11:50;12:04;12:06;12:19;12:21;12:34;12:36;12:49;12:49;13:04;13:09;13:19;13:46;13:34;13:37;13:49;13:50;14:04;14:06;14:19;14:23;14:34;14:37;14:49;14:50;15:04;15:04;15:19;15:20;15:34;15:38;15:49;15:52;16:04;16:04;16:19;16:20;16:34;16:37;16:49;16:50;17:04;17:05;17:19;17:21;17:34;17:36;17:49;17:49;18:04;18:05;18:19;18:19;18:34;18:35;18:49;18:49;19:04;19:04;19:19;19:19;19:34;19:35;19:49;19:49;20:04;20:04;20:19;20:19;20:34;20:35;21:04;21:06;21:34;21:34;22:04;22:03;22:30;22:32;23:00;23:02;23:30;23:30
Gohlis-Nord, Virchowstr.;;;;;05:01;05:01;05:31;05:30;06:01;06:02;06:31;06:31;07:01;07:03;07:31;07:35;08:01;08:02;08:20;08:20;08:35;08:38;08:50;08:50;09:05;09:05;09:20;09:21;09:35;09:35;09:50;09:51;10:05;10:07;10:20;10:20;10:35;10:38;10:50;10:51;11:05;11:09;11:20;11:22;11:35;11:38;11:50;11:53;12:05;12:06;12:20;12:22;12:35;12:38;12:50;12:51;13:05;13:09;13:20;13:47;13:35;13:38;13:50;13:51;14:05;14:07;14:20;14:24;14:35;14:39;14:50;14:52;15:05;15:06;15:20;15:21;15:35;15:40;15:50;15:54;16:05;16:06;16:20;16:22;16:35;16:38;16:50;16:52;17:05;17:06;17:20;17:22;17:35;17:37;17:50;17:50;18:05;18:06;18:20;18:19;18:35;18:36;18:50;18:51;19:05;19:05;19:20;19:20;19:35;19:35;19:50;19:50;20:05;20:04;20:20;20:20;20:35;20:36;21:05;21:06;21:35;21:35;22:05;22:04;22:31;22:33;23:01;23:02;23:31;23:31
Franz-Mehring-Straße;;;;;05:02;05:02;05:32;05:31;06:02;06:03;06:32;06:32;07:02;07:04;07:32;07:36;08:02;08:03;08:21;08:21;08:36;08:39;08:51;08:51;09:06;09:06;09:21;09:22;09:36;09:35;09:51;09:52;10:06;10:09;10:21;10:22;10:36;10:39;10:51;10:52;11:06;11:11;11:21;11:23;11:36;11:39;11:51;11:54;12:06;12:08;12:21;12:24;12:36;12:39;12:51;12:51;13:06;13:11;13:21;13:48;13:36;13:39;13:51;13:52;14:06;14:08;14:21;14:26;14:36;14:40;14:51;14:53;15:06;15:07;15:21;15:23;15:36;15:41;15:51;15:56;16:06;16:07;16:21;16:24;16:36;16:39;16:51;16:53;17:06;17:08;17:21;17:23;17:36;17:38;17:51;17:51;18:06;18:07;18:21;18:21;18:36;18:37;18:51;18:54;19:06;19:07;19:21;19:21;19:36;19:36;19:51;19:52;20:06;20:06;20:21;20:21;20:36;20:37;21:06;21:07;21:36;21:36;22:06;22:05;22:32;22:34;23:02;23:03;23:32;23:32
Bremer Straße;;;;;05:03;05:02;05:33;05:32;06:03;06:04;06:33;06:33;07:03;07:05;07:33;07:36;08:03;08:04;08:22;08:21;08:37;08:39;08:52;08:52;09:07;09:07;09:22;09:23;09:37;09:36;09:52;09:53;10:07;10:10;10:22;10:23;10:37;10:39;10:52;10:53;11:07;11:11;11:22;11:24;11:37;11:40;11:52;11:55;12:07;12:08;12:22;12:24;12:37;12:40;12:52;12:52;13:07;13:11;13:22;13:49;13:37;13:40;13:52;13:53;14:07;14:09;14:22;14:27;14:37;14:41;14:52;14:54;15:07;15:08;15:22;15:24;15:37;15:41;15:52;15:57;16:07;16:08;16:22;16:24;16:37;16:40;16:52;16:54;17:07;17:08;17:22;17:24;17:37;17:39;17:52;17:52;18:07;18:07;18:22;18:22;18:37;18:38;18:52;18:54;19:07;19:07;19:22;19:22;19:37;19:37;19:52;19:52;20:07;20:06;20:22;20:22;20:37;20:38;21:07;21:08;21:37;21:37;22:07;22:06;22:33;22:34;23:03;23:04;23:33;23:33
Landsb./M.-Lieberm.-Str.;;;;;05:04;05:03;05:34;05:34;06:04;06:05;06:34;06:34;07:04;07:06;07:34;07:38;08:04;08:05;08:23;08:23;08:38;08:41;08:53;08:53;09:08;09:08;09:23;09:24;09:38;09:38;09:53;09:54;10:08;10:11;10:23;10:24;10:38;10:40;10:53;10:54;11:08;11:12;11:23;11:26;11:38;11:41;11:53;11:56;12:08;12:09;12:23;12:26;12:38;12:41;12:53;12:53;13:08;13:13;13:23;13:50;13:38;13:41;13:53;13:55;14:08;14:11;14:23;14:28;14:38;14:42;14:53;14:56;15:08;15:10;15:23;15:25;15:38;15:43;15:53;15:58;16:08;16:09;16:23;16:26;16:38;16:41;16:53;16:55;17:08;17:09;17:23;17:25;17:38;17:40;17:53;17:53;18:08;18:09;18:23;18:24;18:38;18:39;18:53;18:55;19:08;19:09;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:07;20:23;20:23;20:38;20:39;21:08;21:09;21:38;21:38;22:08;22:08;22:34;22:35;23:04;23:05;23:34;23:33
Olbrichtstraße;;;;;05:05;05:04;05:35;05:35;06:05;06:05;06:35;06:34;07:05;07:07;07:35;07:38;08:05;08:05;08:24;08:23;08:39;08:41;08:54;08:54;09:09;09:09;09:24;09:25;09:39;09:39;09:54;09:55;10:09;10:11;10:24;10:25;10:39;10:41;10:54;10:55;11:09;11:13;11:24;11:26;11:39;11:42;11:54;11:56;12:09;12:10;12:24;12:27;12:39;12:41;12:54;12:55;13:09;13:14;13:24;13:51;13:39;13:42;13:54;13:55;14:09;14:11;14:24;14:29;14:39;14:43;14:54;14:56;15:09;15:11;15:24;15:25;15:39;15:44;15:54;15:58;16:09;16:10;16:24;16:26;16:39;16:41;16:54;16:56;17:09;17:10;17:24;17:26;17:39;17:41;17:54;17:54;18:09;18:09;18:24;18:24;18:39;18:40;18:54;18:56;19:09;19:10;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:08;20:24;20:24;20:39;20:40;21:09;21:10;21:39;21:38;22:09;22:08;22:35;22:36;23:05;23:05;23:35;23:34
