Kurs:;56;;51;;54;;51;;54;;51;;54;;51;;54;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;53;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Augustusplatz;00:16;00:16;04:17;04:18;04:46;04:46;05:16;05:16;05:46;05:46;06:16;06:16;06:46;06:46;07:16;07:17;07:46;07:46;08:16;08:16;08:35;08:36;08:46;08:46;09:05;09:04;09:16;09:16;09:35;09:35;09:50;09:49;10:05;10:06;10:20;10:20;10:35;10:36;10:50;10:49;11:05;11:06;11:20;11:20;11:35;11:36;11:50;11:49;12:05;12:05;12:20;12:21;12:35;12:36;12:50;12:49;13:05;13:06;13:20;13:21;13:35;13:36;13:50;13:51;14:05;14:05;14:20;14:21;14:35;14:36;14:50;14:51;15:05;15:05;15:20;15:21;15:35;15:36;15:50;15:51;16:05;16:05;16:20;16:21;16:35;16:36;16:50;16:51;17:05;17:05;17:20;17:21;17:35;17:36;17:50;17:51;18:05;18:06;18:20;18:21;18:35;18:34;18:50;18:51;19:05;19:06;19:20;19:21;19:35;19:34;19:50;19:50;20:05;20:06;20:20;20:22;20:35;20:35;20:50;20:49;21:05;21:04;21:20;21:20;21:35;21:35;21:50;21:49;22:05;22:04;22:20;22:21;22:46;22:46;23:16;23:16;23:46;23:46
Hauptbahnhof;00:19;00:19;04:20;04:21;04:49;04:49;05:19;05:19;05:49;05:51;06:19;06:19;06:49;06:51;07:19;07:19;07:49;07:49;08:19;08:19;08:38;08:39;08:49;08:49;09:08;09:07;09:19;09:19;09:38;09:39;09:53;09:52;10:08;10:09;10:23;10:24;10:38;10:39;10:53;10:52;11:08;11:10;11:23;11:24;11:38;11:39;11:53;11:52;12:08;12:09;12:23;12:24;12:38;12:39;12:53;12:52;13:08;13:09;13:23;13:24;13:38;13:39;13:53;13:54;14:08;14:07;14:23;14:24;14:38;14:39;14:53;14:54;15:08;15:07;15:23;15:24;15:38;15:39;15:53;15:54;16:08;16:07;16:23;16:24;16:38;16:39;16:53;16:54;17:08;17:09;17:23;17:24;17:38;17:39;17:53;17:54;18:08;18:09;18:23;18:24;18:38;18:37;18:53;18:54;19:08;19:09;19:23;19:24;19:38;19:39;19:53;19:54;20:08;20:09;20:23;20:27;20:38;20:39;20:53;20:52;21:08;21:07;21:23;21:24;21:38;21:37;21:53;21:52;22:08;22:07;22:23;22:24;22:49;22:49;23:19;23:19;23:49;23:49
Goerdelerring;00:22;00:22;04:23;04:24;04:52;04:52;05:22;05:25;05:52;05:55;06:22;06:24;06:52;06:52;07:22;07:23;07:52;07:52;08:22;08:22;08:41;08:41;08:52;08:52;09:11;09:10;09:22;09:22;09:40;09:40;09:55;09:55;10:10;10:12;10:25;10:27;10:40;10:42;10:55;10:55;11:10;11:13;11:25;11:25;11:40;11:42;11:55;11:55;12:10;12:11;12:25;12:25;12:40;12:42;12:55;12:55;13:10;13:10;13:25;13:26;13:40;13:41;13:55;13:57;14:10;14:10;14:25;14:26;14:40;14:40;14:55;14:57;15:10;15:10;15:25;15:26;15:40;15:40;15:55;15:57;16:10;16:10;16:25;16:26;16:40;16:40;16:55;16:57;17:10;17:11;17:25;17:27;17:40;17:40;17:55;17:56;18:10;18:11;18:25;18:26;18:40;18:39;18:55;18:55;19:10;19:11;19:25;19:26;19:40;19:41;19:55;19:55;20:10;20:12;20:25;20:30;20:40;20:40;20:55;20:55;21:10;21:10;21:25;21:25;21:40;21:40;21:55;21:55;22:10;22:10;22:25;22:27;22:52;22:52;23:22;23:22;23:52;23:52
Lortzingstraße;00:23;00:23;04:24;04:25;04:53;04:53;05:23;05:26;05:53;05:56;06:23;06:24;06:53;06:53;07:23;07:24;07:53;07:53;08:23;08:23;08:42;08:42;08:53;08:53;09:12;09:11;09:23;09:23;09:41;09:41;09:56;09:56;10:11;10:12;10:26;10:27;10:41;10:42;10:56;10:56;11:11;11:14;11:26;11:26;11:41;11:42;11:56;11:56;12:11;12:12;12:26;12:26;12:41;12:43;12:56;12:56;13:11;13:11;13:26;13:27;13:41;13:42;13:56;13:57;14:11;14:11;14:26;14:27;14:41;14:41;14:56;14:58;15:11;15:11;15:26;15:27;15:41;15:41;15:56;15:57;16:11;16:11;16:26;16:27;16:41;16:41;16:56;16:57;17:11;17:12;17:26;17:28;17:41;17:41;17:56;17:57;18:11;18:12;18:26;18:27;18:41;18:39;18:56;18:56;19:11;19:12;19:26;19:27;19:41;19:42;19:56;19:56;20:11;20:12;20:26;20:30;20:41;20:41;20:56;20:56;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:56;22:11;22:11;22:26;22:27;22:53;22:53;23:23;23:23;23:53;23:53
Zoo;00:24;00:24;04:25;04:26;04:54;04:54;05:24;05:27;05:54;05:57;06:24;06:26;06:54;06:54;07:24;07:25;07:54;07:54;08:24;08:24;08:43;08:43;08:54;08:54;09:13;09:12;09:24;09:24;09:42;09:42;09:57;09:57;10:12;10:13;10:27;10:28;10:42;10:44;10:57;10:57;11:12;11:16;11:27;11:27;11:42;11:44;11:57;11:57;12:12;12:13;12:27;12:27;12:42;12:44;12:57;12:57;13:12;13:12;13:27;13:28;13:42;13:44;13:57;13:59;14:12;14:12;14:27;14:28;14:42;14:42;14:57;14:59;15:12;15:12;15:27;15:29;15:42;15:42;15:57;15:59;16:12;16:12;16:27;16:28;16:42;16:42;16:57;16:59;17:12;17:13;17:27;17:29;17:42;17:42;17:57;17:58;18:12;18:14;18:27;18:28;18:42;18:40;18:57;18:57;19:12;19:13;19:27;19:28;19:42;19:43;19:57;19:57;20:12;20:14;20:27;20:35;20:42;20:42;20:57;20:57;21:12;21:12;21:27;21:27;21:42;21:42;21:57;21:57;22:12;22:12;22:27;22:28;22:54;22:54;23:24;23:24;23:54;23:54
Nordplatz;00:25;00:25;04:26;04:27;04:55;04:55;05:25;05:28;05:55;05:58;06:25;06:27;06:55;06:56;07:25;07:26;07:55;07:55;08:25;08:25;08:44;08:44;08:55;08:55;09:14;09:13;09:25;09:25;09:43;09:43;09:58;09:58;10:13;10:15;10:28;10:30;10:43;10:45;10:58;10:58;11:13;11:17;11:28;11:28;11:43;11:45;11:58;11:58;12:13;12:15;12:28;12:28;12:43;12:45;12:58;12:59;13:13;13:13;13:28;13:30;13:43;13:45;13:58;14:00;14:13;14:13;14:28;14:30;14:43;14:43;14:58;15:00;15:13;15:13;15:28;15:30;15:43;15:43;15:58;16:00;16:13;16:13;16:28;16:30;16:43;16:43;16:58;17:01;17:13;17:15;17:28;17:30;17:43;17:43;17:58;18:00;18:13;18:15;18:28;18:30;18:43;18:41;18:58;18:58;19:13;19:15;19:28;19:30;19:43;19:45;19:58;19:59;20:13;20:15;20:28;20:36;20:43;20:43;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;21:58;21:58;22:13;22:13;22:28;22:30;22:55;22:55;23:25;23:25;23:55;23:55
Springerstraße;00:26;00:26;04:27;04:28;04:56;04:56;05:26;05:29;05:56;05:59;06:26;06:28;06:56;06:56;07:26;07:27;07:56;07:56;08:26;08:26;08:45;08:45;08:56;08:56;09:15;09:14;09:26;09:26;09:44;09:44;09:59;09:59;10:14;10:16;10:29;10:31;10:44;10:46;10:59;10:59;11:14;11:18;11:29;11:30;11:44;11:46;11:59;11:59;12:14;12:16;12:29;12:29;12:44;12:46;12:59;13:00;13:14;13:14;13:29;13:30;13:44;13:46;13:59;14:01;14:14;14:14;14:29;14:31;14:44;14:44;14:59;15:01;15:14;15:13;15:29;15:31;15:44;15:44;15:59;16:01;16:14;16:14;16:29;16:31;16:44;16:44;16:59;17:02;17:14;17:15;17:29;17:31;17:44;17:44;17:59;18:01;18:14;18:16;18:29;18:30;18:44;18:42;18:59;18:59;19:14;19:16;19:29;19:31;19:44;19:45;19:59;19:59;20:14;20:16;20:29;20:37;20:44;20:44;20:59;20:59;21:14;21:14;21:29;21:29;21:44;21:44;21:59;21:59;22:14;22:14;22:29;22:31;22:56;22:56;23:26;23:26;23:56;23:56
Fritz-Seger-Straße;00:27;00:27;04:28;04:29;04:57;04:57;05:27;05:30;05:57;06:00;06:27;06:29;06:57;06:57;07:27;07:28;07:57;07:57;08:27;08:27;08:46;08:46;08:57;08:57;09:16;09:15;09:27;09:27;09:45;09:45;10:00;10:00;10:15;10:16;10:30;10:31;10:45;10:47;11:00;11:00;11:15;11:19;11:30;11:30;11:45;11:47;12:00;12:00;12:15;12:17;12:30;12:30;12:45;12:47;13:00;13:00;13:15;13:15;13:30;13:31;13:45;13:47;14:00;14:02;14:15;14:14;14:30;14:31;14:45;14:45;15:00;15:02;15:15;15:14;15:30;15:32;15:45;15:45;16:00;16:02;16:15;16:15;16:30;16:32;16:45;16:45;17:00;17:03;17:15;17:16;17:30;17:32;17:45;17:45;18:00;18:01;18:15;18:17;18:30;18:31;18:45;18:43;19:00;19:00;19:15;19:16;19:30;19:31;19:45;19:46;20:00;20:00;20:15;20:16;20:30;20:38;20:45;20:45;21:00;21:00;21:15;21:15;21:30;21:30;21:45;21:45;22:00;22:00;22:15;22:14;22:30;22:31;22:57;22:57;23:27;23:27;23:57;23:56
G.-Schumann-/Lützowstr.;00:29;00:28;04:30;04:31;04:59;05:00;05:29;05:33;05:59;06:02;06:29;06:31;06:59;06:59;07:29;07:30;07:59;07:59;08:29;08:29;08:48;08:48;08:59;08:59;09:18;09:17;09:29;09:28;09:47;09:47;10:02;10:02;10:17;10:19;10:32;10:34;10:47;10:49;11:02;11:02;11:17;11:21;11:32;11:32;11:47;11:49;12:02;12:02;12:17;12:19;12:32;12:32;12:47;12:49;13:02;13:02;13:17;13:17;13:32;13:33;13:47;13:49;14:02;14:04;14:17;14:16;14:32;14:34;14:47;14:47;15:02;15:04;15:17;15:16;15:32;15:34;15:47;15:47;16:02;16:04;16:17;16:16;16:32;16:34;16:47;16:47;17:02;17:05;17:17;17:19;17:32;17:34;17:47;17:47;18:02;18:04;18:17;18:19;18:32;18:34;18:47;18:46;19:02;19:02;19:17;19:19;19:32;19:34;19:47;19:48;20:02;20:02;20:17;20:19;20:32;20:40;20:47;20:47;21:02;21:02;21:17;21:17;21:32;21:32;21:47;21:47;22:02;22:01;22:17;22:17;22:32;22:34;22:59;22:58;23:29;23:28;23:59;23:58
S-Bf. Gohlis;00:30;00:29;04:31;04:32;05:00;05:01;05:30;05:34;06:00;06:03;06:30;06:32;07:00;07:00;07:30;07:31;08:00;08:00;08:30;08:30;08:49;08:49;09:00;09:00;09:19;09:18;09:30;09:29;09:48;09:48;10:03;10:03;10:18;10:19;10:33;10:34;10:48;10:50;11:03;11:03;11:18;11:22;11:33;11:33;11:48;11:50;12:03;12:03;12:18;12:20;12:33;12:33;12:48;12:50;13:03;13:03;13:18;13:18;13:33;13:34;13:48;13:50;14:03;14:05;14:18;14:17;14:33;14:34;14:48;14:48;15:03;15:05;15:18;15:17;15:33;15:35;15:48;15:48;16:03;16:05;16:18;16:17;16:33;16:35;16:48;16:48;17:03;17:06;17:18;17:20;17:33;17:35;17:48;17:48;18:03;18:05;18:18;18:20;18:33;18:35;18:48;18:47;19:03;19:03;19:18;19:20;19:33;19:35;19:48;19:48;20:03;20:03;20:18;20:19;20:33;20:40;20:48;20:48;21:03;21:03;21:18;21:18;21:33;21:33;21:48;21:48;22:03;22:02;22:18;22:18;22:33;22:35;23:00;22:59;23:30;23:29;00:00;23:59
Virchow-/Coppistraße;00:32;00:30;04:33;04:33;05:02;05:02;05:32;05:35;06:02;06:05;06:32;06:33;07:02;07:01;07:32;07:32;08:02;08:01;08:32;08:31;08:51;08:51;09:02;09:01;09:21;09:20;09:32;09:31;09:50;09:50;10:05;10:04;10:20;10:21;10:35;10:36;10:50;10:51;11:05;11:04;11:20;11:23;11:35;11:34;11:50;11:51;12:05;12:04;12:20;12:21;12:35;12:34;12:50;12:52;13:05;13:04;13:20;13:19;13:35;13:35;13:50;13:51;14:05;14:07;14:20;14:18;14:35;14:36;14:50;14:50;15:05;15:06;15:20;15:18;15:35;15:36;15:50;15:50;16:05;16:06;16:20;16:18;16:35;16:36;16:50;16:50;17:05;17:08;17:20;17:21;17:35;17:36;17:50;17:49;18:05;18:06;18:20;18:21;18:35;18:36;18:50;18:49;19:05;19:04;19:20;19:22;19:35;19:36;19:50;19:50;20:05;20:04;20:20;20:20;20:35;20:42;20:50;20:49;21:05;21:04;21:20;21:19;21:35;21:35;21:50;21:49;22:05;22:04;22:20;22:19;22:35;22:37;23:02;23:01;23:32;23:31;00:02;00:01
Gottschallstraße;00:33;00:31;04:34;04:34;05:03;05:03;05:33;05:36;06:03;06:06;06:33;06:34;07:03;07:02;07:33;07:33;08:03;08:02;08:33;08:32;08:52;08:51;09:03;09:02;09:22;09:21;09:33;09:32;09:51;09:50;10:06;10:05;10:21;10:22;10:36;10:37;10:51;10:52;11:06;11:05;11:21;11:24;11:36;11:35;11:51;11:52;12:06;12:05;12:21;12:22;12:36;12:35;12:51;12:53;13:06;13:05;13:21;13:20;13:36;13:36;13:51;13:52;14:06;14:08;14:21;14:19;14:36;14:36;14:51;14:51;15:06;15:07;15:21;15:19;15:36;15:37;15:51;15:51;16:06;16:07;16:21;16:19;16:36;16:37;16:51;16:51;17:06;17:09;17:21;17:22;17:36;17:37;17:51;17:50;18:06;18:07;18:21;18:22;18:36;18:37;18:51;18:50;19:06;19:05;19:21;19:22;19:36;19:37;19:51;19:51;20:06;20:05;20:21;20:21;20:36;20:42;20:51;20:50;21:06;21:05;21:21;21:20;21:36;21:36;21:51;21:50;22:06;22:05;22:21;22:20;22:36;22:38;23:03;23:02;23:33;23:32;00:03;00:02
Gohlis-Nord;00:34;00:33;04:35;04:36;05:04;05:04;05:34;05:37;06:04;06:07;06:34;06:36;07:04;07:04;07:34;07:34;08:04;08:04;08:34;08:33;08:53;08:53;09:04;09:04;09:23;09:22;09:34;09:33;09:52;09:52;10:07;10:07;10:22;10:23;10:37;10:38;10:52;10:53;11:07;11:07;11:22;11:26;11:37;11:37;11:52;11:53;12:07;12:06;12:22;12:24;12:37;12:36;12:52;12:54;13:07;13:07;13:22;13:21;13:37;13:37;13:52;13:53;14:07;14:09;14:22;14:20;14:37;14:38;14:52;14:52;15:07;15:08;15:22;15:20;15:37;15:38;15:52;15:52;16:07;16:09;16:22;16:21;16:37;16:38;16:52;16:52;17:07;17:10;17:22;17:23;17:37;17:38;17:52;17:52;18:07;18:09;18:22;18:23;18:37;18:38;18:52;18:51;19:07;19:06;19:22;19:23;19:37;19:38;19:52;19:52;20:07;20:07;20:22;20:22;20:37;20:44;20:52;20:52;21:07;21:07;21:22;21:22;21:37;21:37;21:52;21:52;22:07;22:06;22:22;22:22;22:37;22:39;23:04;23:04;23:34;23:33;00:04;00:04
