Kurs:;42;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
S-Bf. Plagwitz;00:13;00:12;04:43;04:43;05:13;05:13;05:43;05:43;06:13;06:13;06:43;06:43;07:13;07:13;07:43;07:43;08:13;08:14;08:43;08:45;09:10;09:09;09:30;09:30;09:50;09:50;10:10;10:10;10:30;10:30;10:50;10:50;11:10;11:10;11:30;11:30;11:50;11:50;12:10;12:10;12:30;12:30;12:50;12:50;13:10;13:10;13:30;13:30;13:50;13:50;14:10;14:10;14:30;14:30;14:50;14:50;15:10;15:10;15:30;15:30;15:50;15:50;16:10;16:10;16:30;16:29;16:50;16:51;17:10;17:09;17:30;17:30;17:50;17:49;18:10;18:10;18:30;18:30;18:50;18:50;19:10;19:10;19:30;19:30;19:50;19:50;20:10;20:10;20:30;20:30;20:50;20:51;21:10;21:10;21:30;21:30;21:50;21:50;22:20;22:20;22:43;22:43;23:13;23:13;23:43;23:44
K.-Heine-/Gießerstr.;00:14;00:14;04:44;04:44;05:14;05:14;05:44;05:44;06:14;06:14;06:44;06:44;07:14;07:14;07:44;07:44;08:14;08:15;08:44;08:46;09:11;09:11;09:31;09:31;09:51;09:51;10:11;10:11;10:31;10:31;10:51;10:51;11:11;11:11;11:31;11:31;11:51;11:51;12:11;12:11;12:31;12:31;12:51;12:51;13:11;13:11;13:31;13:31;13:51;13:51;14:11;14:12;14:31;14:31;14:51;14:51;15:11;15:11;15:31;15:31;15:51;15:51;16:11;16:12;16:31;16:31;16:51;16:52;17:11;17:11;17:31;17:32;17:51;17:51;18:11;18:12;18:31;18:31;18:51;18:51;19:11;19:11;19:31;19:31;19:51;19:51;20:11;20:11;20:31;20:31;20:51;20:52;21:11;21:11;21:31;21:31;21:51;21:51;22:21;22:21;22:44;22:44;23:14;23:14;23:44;23:45
K.-Heine/Merseburger S.;00:15;00:15;04:45;04:45;05:15;05:16;05:45;05:45;06:15;06:16;06:45;06:45;07:15;07:16;07:45;07:46;08:15;08:16;08:45;08:47;09:12;09:12;09:32;09:32;09:52;09:52;10:12;10:12;10:32;10:32;10:52;10:52;11:12;11:12;11:32;11:32;11:52;11:52;12:12;12:12;12:32;12:32;12:52;12:52;13:12;13:12;13:32;13:32;13:52;13:52;14:12;14:13;14:32;14:32;14:52;14:53;15:12;15:13;15:32;15:32;15:52;15:52;16:12;16:13;16:32;16:32;16:52;16:53;17:12;17:12;17:32;17:33;17:52;17:52;18:12;18:13;18:32;18:32;18:52;18:52;19:12;19:12;19:32;19:32;19:52;19:52;20:12;20:12;20:32;20:32;20:52;20:53;21:12;21:12;21:32;21:32;21:52;21:52;22:22;22:22;22:45;22:45;23:15;23:16;23:45;23:46
Felsenkeller;00:16;00:17;04:46;04:47;05:16;05:17;05:46;05:47;06:16;06:17;06:46;06:47;07:16;07:18;07:46;07:47;08:16;08:17;08:46;08:48;09:13;09:14;09:33;09:33;09:53;09:53;10:13;10:13;10:33;10:33;10:53;10:53;11:13;11:13;11:33;11:33;11:53;11:54;12:13;12:13;12:33;12:33;12:53;12:53;13:13;13:14;13:33;13:33;13:53;13:54;14:13;14:15;14:33;14:33;14:53;14:54;15:13;15:14;15:33;15:34;15:53;15:53;16:13;16:14;16:33;16:33;16:53;16:54;17:13;17:13;17:33;17:34;17:53;17:53;18:13;18:14;18:33;18:33;18:53;18:53;19:13;19:13;19:33;19:33;19:53;19:53;20:13;20:13;20:33;20:33;20:53;20:54;21:13;21:14;21:33;21:33;21:53;21:54;22:23;22:24;22:46;22:47;23:16;23:17;23:46;23:47
Nonnenstraße;00:17;00:18;04:47;04:48;05:17;05:19;05:47;05:48;06:17;06:19;06:47;06:49;07:17;07:19;07:47;07:48;08:17;08:19;08:47;08:50;09:14;09:15;09:34;09:35;09:54;09:55;10:14;10:15;10:34;10:35;10:54;10:55;11:14;11:15;11:34;11:35;11:54;11:55;12:14;12:15;12:34;12:35;12:54;12:55;13:14;13:15;13:34;13:35;13:54;13:55;14:14;14:16;14:34;14:35;14:54;14:55;15:14;15:16;15:34;15:35;15:54;15:54;16:14;16:16;16:34;16:35;16:54;16:56;17:14;17:15;17:34;17:35;17:54;17:55;18:14;18:16;18:34;18:35;18:54;18:55;19:14;19:15;19:34;19:35;19:54;19:55;20:14;20:15;20:34;20:35;20:54;20:56;21:14;21:15;21:34;21:35;21:54;21:55;22:24;22:25;22:47;22:49;23:17;23:19;23:47;23:48
Marschnerstraße;00:19;00:20;04:49;04:51;05:19;05:21;05:49;05:50;06:19;06:21;06:49;06:51;07:19;07:21;07:49;07:50;08:19;08:21;08:49;08:52;09:16;09:17;09:36;09:37;09:56;09:57;10:16;10:17;10:36;10:37;10:56;10:57;11:16;11:17;11:36;11:37;11:56;11:57;12:16;12:17;12:36;12:37;12:56;12:58;13:16;13:17;13:36;13:38;13:56;13:57;14:16;14:19;14:36;14:36;14:56;14:58;15:16;15:18;15:36;15:37;15:56;15:56;16:16;16:18;16:36;16:36;16:56;16:58;17:16;17:17;17:36;17:38;17:56;17:57;18:16;18:17;18:36;18:37;18:56;18:57;19:16;19:17;19:36;19:37;19:56;19:57;20:16;20:17;20:36;20:37;20:56;20:59;21:16;21:17;21:36;21:37;21:56;21:57;22:26;22:28;22:49;22:51;23:19;23:21;23:49;23:51
Westplatz;00:21;00:22;04:51;04:52;05:21;05:22;05:51;05:52;06:21;06:23;06:51;06:52;07:21;07:22;07:51;07:52;08:21;08:22;08:51;08:54;09:18;09:19;09:38;09:38;09:58;09:59;10:18;10:18;10:38;10:39;10:58;10:59;11:18;11:19;11:38;11:39;11:58;11:58;12:18;12:19;12:38;12:39;12:58;13:00;13:18;13:19;13:38;13:39;13:58;13:59;14:18;14:20;14:38;14:38;14:58;14:59;15:18;15:20;15:38;15:39;15:58;15:58;16:18;16:20;16:38;16:38;16:58;17:00;17:18;17:18;17:38;17:39;17:58;17:58;18:18;18:19;18:38;18:38;18:58;18:59;19:18;19:18;19:38;19:39;19:58;19:59;20:18;20:19;20:38;20:39;20:58;21:00;21:18;21:18;21:38;21:38;21:58;21:59;22:28;22:29;22:51;22:53;23:21;23:22;23:51;23:52
Gottschedstraße;00:22;00:24;04:52;04:54;05:22;05:24;05:52;05:53;06:22;06:24;06:52;06:54;07:22;07:23;07:52;07:53;08:22;08:23;08:52;08:55;09:19;09:20;09:39;09:40;09:59;10:00;10:19;10:20;10:39;10:40;10:59;11:01;11:19;11:20;11:39;11:40;11:59;12:00;12:19;12:20;12:39;12:40;12:59;13:01;13:19;13:20;13:39;13:41;13:59;14:00;14:19;14:21;14:39;14:39;14:59;15:01;15:19;15:22;15:39;15:40;15:59;15:59;16:19;16:21;16:39;16:39;16:59;17:01;17:19;17:19;17:39;17:41;17:59;17:59;18:19;18:20;18:39;18:39;18:59;19:00;19:19;19:19;19:39;19:40;19:59;20:00;20:19;20:20;20:39;20:40;20:59;21:01;21:19;21:20;21:39;21:40;21:59;22:00;22:29;22:30;22:52;22:54;23:22;23:23;23:52;23:53
Goerdelerring;00:24;00:26;04:54;04:56;05:24;05:26;05:54;05:55;06:24;06:26;06:54;06:56;07:24;07:25;07:54;07:55;08:24;08:26;08:54;08:57;09:21;09:23;09:41;09:43;10:01;10:02;10:21;10:21;10:41;10:43;11:01;11:03;11:21;11:23;11:41;11:42;12:01;12:02;12:21;12:22;12:41;12:43;13:01;13:03;13:21;13:23;13:41;13:43;14:01;14:02;14:21;14:24;14:41;14:41;15:01;15:03;15:21;15:24;15:41;15:42;16:01;16:01;16:21;16:23;16:41;16:42;17:01;17:03;17:21;17:22;17:41;17:42;18:01;18:03;18:21;18:23;18:41;18:42;19:01;19:02;19:21;19:22;19:41;19:42;20:01;20:03;20:21;20:21;20:41;20:42;21:01;21:03;21:21;21:21;21:41;21:42;22:01;22:02;22:31;22:32;22:54;22:56;23:24;23:26;23:54;23:56
Hauptbahnhof;00:33;00:32;05:03;05:05;05:33;05:35;06:03;06:05;06:33;06:35;07:03;07:05;07:33;07:35;08:03;08:05;08:33;08:35;09:03;09:03;09:24;09:24;09:44;09:45;10:04;10:05;10:24;10:24;10:44;10:45;11:04;11:05;11:24;11:26;11:44;11:45;12:04;12:05;12:24;12:24;12:44;12:45;13:04;13:05;13:24;13:24;13:44;13:47;14:04;14:05;14:24;14:26;14:44;14:42;15:04;15:08;15:24;15:27;15:44;15:46;16:04;16:05;16:24;16:26;16:44;16:44;17:04;17:06;17:24;17:24;17:44;17:45;18:04;18:06;18:24;18:26;18:44;18:44;19:04;19:06;19:24;19:24;19:44;19:45;20:04;20:06;20:24;20:24;20:44;20:45;21:04;21:06;21:24;21:24;21:44;21:44;22:04;22:05;22:34;22:35;23:03;23:03;23:33;23:32;00:03;00:05
Augustusplatz;00:36;00:35;05:06;05:07;05:36;05:37;06:06;06:08;06:36;06:37;07:06;07:07;07:36;07:37;08:06;08:07;08:36;08:37;09:06;09:05;09:27;09:28;09:47;09:49;10:07;10:08;10:27;10:28;10:47;10:49;11:07;11:08;11:27;11:28;11:47;11:49;12:07;12:07;12:27;12:28;12:47;12:47;13:07;13:07;13:27;13:28;13:47;13:50;14:07;14:07;14:27;14:28;14:47;14:46;15:07;15:11;15:27;15:29;15:47;15:47;16:07;16:08;16:27;16:29;16:47;16:47;17:07;17:08;17:27;17:28;17:47;17:47;18:07;18:08;18:27;18:28;18:47;18:46;19:07;19:10;19:27;19:28;19:47;19:47;20:07;20:10;20:27;20:28;20:47;20:49;21:07;21:08;21:27;21:28;21:47;21:47;22:07;22:08;22:37;22:38;23:06;23:05;23:36;23:35;00:06;00:07
Wilhelm-Leuschner-Platz;00:39;00:38;05:09;05:09;05:39;05:39;06:09;06:10;06:39;06:39;07:09;07:09;07:39;07:39;08:09;08:09;08:39;08:39;09:09;09:08;09:30;09:30;09:50;09:51;10:10;10:10;10:30;10:30;10:50;10:51;11:10;11:10;11:30;11:30;11:50;11:51;12:10;12:09;12:30;12:30;12:50;12:49;13:10;13:09;13:30;13:30;13:50;13:52;14:10;14:09;14:30;14:30;14:50;14:48;15:10;15:13;15:30;15:31;15:50;15:49;16:10;16:10;16:30;16:31;16:50;16:49;17:10;17:10;17:30;17:30;17:50;17:49;18:10;18:10;18:30;18:30;18:50;18:49;19:10;19:12;19:30;19:30;19:50;19:49;20:10;20:12;20:30;20:30;20:50;20:51;21:10;21:10;21:30;21:32;21:50;21:50;22:10;22:10;22:40;22:40;23:09;23:09;23:39;23:38;00:09;00:09
Neues Rathaus;00:41;00:41;05:11;05:11;05:41;05:41;06:11;06:12;06:41;06:41;07:11;07:11;07:41;07:41;08:11;08:11;08:41;08:41;09:11;09:11;09:32;09:32;09:52;09:53;10:12;10:12;10:32;10:32;10:52;10:53;11:12;11:12;11:32;11:32;11:52;11:53;12:12;12:11;12:32;12:33;12:52;12:51;13:12;13:11;13:32;13:32;13:52;13:54;14:12;14:11;14:32;14:32;14:52;14:50;15:12;15:15;15:32;15:33;15:52;15:53;16:12;16:12;16:32;16:33;16:52;16:51;17:12;17:13;17:32;17:32;17:52;17:51;18:12;18:13;18:32;18:32;18:52;18:51;19:12;19:14;19:32;19:32;19:52;19:51;20:12;20:14;20:32;20:32;20:52;20:53;21:12;21:12;21:32;21:33;21:52;21:51;22:12;22:12;22:42;22:42;23:11;23:11;23:41;23:41;00:11;00:11
Westplatz;00:43;00:42;05:13;05:12;05:43;05:43;06:13;06:14;06:43;06:43;07:13;07:12;07:43;07:43;08:13;08:13;08:43;08:42;09:13;09:13;09:34;09:33;09:54;09:55;10:14;10:14;10:34;10:33;10:54;10:54;11:14;11:14;11:34;11:33;11:54;11:55;12:14;12:13;12:34;12:35;12:54;12:53;13:14;13:13;13:34;13:33;13:54;13:56;14:14;14:13;14:34;14:33;14:54;14:52;15:14;15:17;15:34;15:34;15:54;15:54;16:14;16:14;16:34;16:35;16:54;16:53;17:14;17:14;17:34;17:34;17:54;17:53;18:14;18:14;18:34;18:34;18:54;18:53;19:14;19:15;19:34;19:33;19:54;19:53;20:14;20:16;20:34;20:33;20:54;20:54;21:14;21:14;21:34;21:35;21:54;21:53;22:14;22:14;22:44;22:44;23:13;23:13;23:43;23:43;00:13;00:13
Marschnerstraße;00:44;00:44;05:14;05:14;05:44;05:44;06:14;06:16;06:44;06:44;07:14;07:14;07:44;07:44;08:14;08:14;08:44;08:44;09:14;09:15;09:35;09:35;09:55;09:56;10:15;10:15;10:35;10:35;10:55;10:56;11:15;11:16;11:35;11:36;11:55;11:56;12:15;12:15;12:35;12:37;12:55;12:55;13:15;13:14;13:35;13:35;13:55;13:57;14:15;14:14;14:35;14:35;14:55;14:53;15:15;15:19;15:35;15:37;15:55;15:56;16:15;16:17;16:35;16:36;16:55;16:55;17:15;17:16;17:35;17:35;17:55;17:55;18:15;18:15;18:35;18:35;18:55;18:54;19:15;19:17;19:35;19:34;19:55;19:55;20:15;20:17;20:35;20:35;20:55;20:56;21:15;21:15;21:35;21:36;21:55;21:55;22:15;22:15;22:45;22:45;23:14;23:14;23:44;23:44;00:14;00:14
Nonnenstraße;00:46;00:46;05:16;05:16;05:46;05:46;06:16;06:18;06:46;06:47;07:16;07:16;07:46;07:46;08:16;08:16;08:46;08:46;09:16;09:17;09:37;09:37;09:57;09:58;10:17;10:17;10:37;10:37;10:57;10:58;11:17;11:18;11:37;11:38;11:57;11:58;12:17;12:17;12:37;12:39;12:57;12:57;13:17;13:16;13:37;13:37;13:57;14:00;14:17;14:17;14:37;14:38;14:57;14:56;15:17;15:21;15:37;15:39;15:57;15:58;16:17;16:18;16:37;16:39;16:57;16:58;17:17;17:18;17:37;17:38;17:57;17:57;18:17;18:18;18:37;18:37;18:57;18:57;19:17;19:19;19:37;19:37;19:57;19:57;20:17;20:20;20:37;20:37;20:57;20:58;21:17;21:17;21:37;21:39;21:57;21:57;22:17;22:17;22:47;22:47;23:16;23:16;23:46;23:46;00:16;00:16
Felsenkeller;00:48;00:48;05:18;05:17;05:48;05:47;06:18;06:19;06:48;06:48;07:18;07:18;07:48;07:48;08:18;08:18;08:48;08:47;09:18;09:19;09:39;09:39;09:59;10:00;10:19;10:18;10:39;10:38;10:59;11:00;11:19;11:19;11:39;11:39;11:59;12:00;12:19;12:18;12:39;12:40;12:59;12:59;13:19;13:18;13:39;13:38;13:59;14:02;14:19;14:18;14:39;14:39;14:59;14:57;15:19;15:23;15:39;15:41;15:59;16:00;16:19;16:20;16:39;16:40;16:59;16:59;17:19;17:19;17:39;17:39;17:59;17:59;18:19;18:19;18:39;18:38;18:59;18:58;19:19;19:21;19:39;19:38;19:59;19:59;20:19;20:21;20:39;20:38;20:59;20:59;21:19;21:18;21:39;21:40;21:59;21:58;22:19;22:18;22:49;22:49;23:18;23:17;23:48;23:48;00:18;00:17
K.-Heine/Merseburger S.;00:49;00:49;05:19;05:18;05:49;05:49;06:19;06:21;06:49;06:49;07:19;07:19;07:49;07:49;08:19;08:19;08:49;08:48;09:19;09:20;09:40;09:40;10:00;10:01;10:20;10:19;10:40;10:39;11:00;11:01;11:20;11:21;11:40;11:40;12:00;12:01;12:20;12:19;12:40;12:41;13:00;13:00;13:20;13:20;13:40;13:40;14:00;14:03;14:20;14:19;14:40;14:40;15:00;14:58;15:20;15:24;15:40;15:42;16:00;16:02;16:20;16:21;16:40;16:41;17:00;17:00;17:20;17:20;17:40;17:40;18:00;18:00;18:20;18:20;18:40;18:40;19:00;18:59;19:20;19:22;19:40;19:40;20:00;20:00;20:20;20:22;20:40;20:39;21:00;21:01;21:20;21:20;21:40;21:41;22:00;21:59;22:20;22:20;22:50;22:50;23:19;23:19;23:49;23:49;00:19;00:19
K.-Heine-/Gießerstr.;00:50;00:50;05:20;05:20;05:50;05:50;06:20;06:22;06:50;06:51;07:20;07:20;07:50;07:50;08:20;08:21;08:50;08:49;09:20;09:21;09:41;09:41;10:01;10:02;10:21;10:20;10:41;10:41;11:01;11:02;11:21;11:22;11:41;11:41;12:01;12:02;12:21;12:20;12:41;12:42;13:01;13:02;13:21;13:21;13:41;13:40;14:01;14:04;14:21;14:20;14:41;14:41;15:01;15:00;15:21;15:25;15:41;15:42;16:01;16:03;16:21;16:22;16:41;16:42;17:01;17:01;17:21;17:21;17:41;17:41;18:01;18:01;18:21;18:21;18:41;18:41;19:01;19:00;19:21;19:23;19:41;19:41;20:01;20:01;20:21;20:23;20:41;20:40;21:01;21:02;21:21;21:21;21:41;21:42;22:01;22:01;22:21;22:21;22:51;22:51;23:20;23:20;23:50;23:50;00:20;00:20
S-Bf. Plagwitz;00:51;00:51;05:21;05:21;05:51;05:51;06:21;06:23;06:51;06:52;07:21;07:21;07:51;07:51;08:21;08:22;08:51;08:50;09:21;09:22;09:42;09:42;10:02;10:03;10:22;10:21;10:42;10:41;11:02;11:04;11:22;11:23;11:42;11:42;12:02;12:03;12:22;12:21;12:42;12:44;13:02;13:02;13:22;13:22;13:42;13:42;14:02;14:06;14:22;14:21;14:42;14:42;15:02;15:02;15:22;15:26;15:42;15:43;16:02;16:04;16:22;16:23;16:42;16:44;17:02;17:02;17:22;17:22;17:42;17:42;18:02;18:02;18:22;18:22;18:42;18:42;19:02;19:02;19:22;19:24;19:42;19:42;20:02;20:03;20:22;20:24;20:42;20:41;21:02;21:03;21:22;21:22;21:42;21:43;22:02;22:02;22:22;22:22;22:52;22:52;23:21;23:21;23:51;23:51;00:21;00:21
