Kurs:;62;;65;;64;;41;;61;;72;;41;;65;;64;;61;;72;;41;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;;62;;63;
Gottschedstraße;00:49;00:49;04:49;04:53;05:19;05:20;;;05:49;05:53;06:19;06:20;06:49;06:49;07:19;07:20;07:49;07:49;08:19;08:20;08:49;08:49;09:19;09:18;09:30;09:31;09:45;09:44;10:00;09:59;10:15;10:15;10:30;10:30;10:45;10:44;11:00;11:00;11:15;11:17;11:30;11:31;11:45;11:45;12:00;12:01;12:15;12:14;12:30;12:31;12:45;12:45;13:00;13:00;13:15;13:14;13:30;13:30;13:45;13:45;14:00;14:02;14:15;14:17;14:30;14:32;14:45;14:44;15:00;15:00;15:15;15:16;15:30;15:29;15:45;15:46;16:00;16:02;16:15;16:15;16:30;16:32;16:45;16:45;17:00;17:02;17:15;17:20;17:30;17:29;17:45;17:46;18:00;18:02;18:15;18:17;18:30;18:29;18:45;18:49;19:00;19:01;19:15;19:17;19:30;19:29;19:45;19:44;20:00;19:59;20:15;20:19;20:30;20:29;20:45;20:44;21:00;21:01;21:15;21:16;21:30;21:31;21:45;21:44;22:00;22:01;22:15;22:17;22:30;22:29;22:49;22:50;;;23:19;23:20;23:19;23:49;23:52;00:19;00:19
Westplatz;00:51;00:50;04:51;04:55;05:21;05:21;;;05:51;05:54;06:21;06:21;06:51;06:50;07:21;07:21;07:51;07:50;08:21;08:22;08:51;08:50;09:21;09:20;09:32;09:32;09:47;09:47;10:02;10:01;10:17;10:17;10:32;10:32;10:47;10:46;11:02;11:02;11:17;11:18;11:32;11:33;11:47;11:47;12:02;12:02;12:17;12:16;12:32;12:32;12:47;12:47;13:02;13:02;13:17;13:16;13:32;13:31;13:47;13:47;14:02;14:04;14:17;14:18;14:32;14:34;14:47;14:46;15:02;15:02;15:17;15:17;15:32;15:31;15:47;15:47;16:02;16:03;16:17;16:17;16:32;16:34;16:47;16:47;17:02;17:03;17:17;17:21;17:32;17:31;17:47;17:47;18:02;18:04;18:17;18:19;18:32;18:31;18:47;18:50;19:02;19:02;19:17;19:19;19:32;19:30;19:47;19:46;20:02;20:01;20:17;20:20;20:32;20:31;20:47;20:46;21:02;21:02;21:17;21:17;21:32;21:32;21:47;21:46;22:02;22:02;22:17;22:19;22:32;22:31;22:51;22:52;;;23:21;23:22;23:21;23:51;23:53;00:21;00:20
Marschnerstraße;00:52;00:51;04:52;04:56;05:22;05:23;;;05:52;05:55;06:22;06:23;06:52;06:52;07:22;07:22;07:52;07:52;08:22;08:23;08:52;08:52;09:22;09:21;09:33;09:34;09:48;09:48;10:03;10:02;10:18;10:18;10:33;10:33;10:48;10:48;11:03;11:04;11:18;11:19;11:33;11:34;11:48;11:48;12:03;12:03;12:18;12:17;12:33;12:33;12:48;12:48;13:03;13:03;13:18;13:17;13:33;13:33;13:48;13:48;14:03;14:05;14:18;14:19;14:33;14:36;14:48;14:47;15:03;15:03;15:18;15:19;15:33;15:33;15:48;15:49;16:03;16:05;16:18;16:19;16:33;16:35;16:48;16:48;17:03;17:05;17:18;17:22;17:33;17:32;17:48;17:49;18:03;18:05;18:18;18:20;18:33;18:32;18:48;18:51;19:03;19:03;19:18;19:20;19:33;19:31;19:48;19:47;20:03;20:02;20:18;20:21;20:33;20:32;20:48;20:47;21:03;21:04;21:18;21:18;21:33;21:34;21:48;21:48;22:03;22:03;22:18;22:20;22:33;22:32;22:52;22:53;;;23:22;23:23;23:22;23:52;23:54;00:22;00:21
Klingerweg;00:54;00:52;04:54;04:57;05:24;05:25;;;05:54;05:58;06:24;06:25;06:54;06:53;07:24;07:25;07:54;07:54;08:24;08:24;08:54;08:53;09:24;09:23;09:35;09:35;09:50;09:49;10:05;10:04;10:20;10:20;10:35;10:34;10:50;10:49;11:05;11:05;11:20;11:21;11:35;11:36;11:50;11:49;12:05;12:06;12:20;12:19;12:35;12:35;12:50;12:49;13:05;13:05;13:20;13:19;13:35;13:34;13:50;13:50;14:05;14:07;14:20;14:21;14:35;14:39;14:50;14:49;15:05;15:06;15:20;15:21;15:35;15:35;15:50;15:51;16:05;16:06;16:20;16:21;16:35;16:37;16:50;16:49;17:05;17:07;17:20;17:24;17:35;17:33;17:50;17:51;18:05;18:07;18:20;18:22;18:35;18:34;18:50;18:53;19:05;19:05;19:20;19:22;19:35;19:33;19:50;19:49;20:05;20:04;20:20;20:23;20:35;20:34;20:50;20:49;21:05;21:05;21:20;21:19;21:35;21:35;21:50;21:49;22:05;22:05;22:20;22:21;22:35;22:34;22:54;22:54;;;23:24;23:24;23:24;23:54;23:56;00:24;00:23
Holbeinstraße;00:56;00:54;04:56;04:59;05:26;05:27;;;05:56;06:00;06:26;06:26;06:56;06:55;07:26;07:26;07:56;07:55;08:26;08:26;08:56;08:55;09:26;09:25;09:37;09:37;09:52;09:51;10:07;10:06;10:22;10:22;10:37;10:36;10:52;10:51;11:07;11:07;11:22;11:22;11:37;11:37;11:52;11:51;12:07;12:07;12:22;12:21;12:37;12:37;12:52;12:51;13:07;13:07;13:22;13:20;13:37;13:36;13:52;13:51;14:07;14:09;14:22;14:22;14:37;14:40;14:52;14:51;15:07;15:07;15:22;15:22;15:37;15:36;15:52;15:52;16:07;16:08;16:22;16:23;16:37;16:39;16:52;16:51;17:07;17:08;17:22;17:25;17:37;17:35;17:52;17:53;18:07;18:08;18:22;18:23;18:37;18:36;18:52;18:54;19:07;19:07;19:22;19:23;19:37;19:35;19:52;19:51;20:07;20:06;20:22;20:24;20:37;20:36;20:52;20:51;21:07;21:07;21:22;21:21;21:37;21:37;21:52;21:51;22:07;22:07;22:22;22:23;22:37;22:35;22:56;22:56;;;23:26;23:26;23:26;23:56;23:57;00:26;00:25
Stieglitzstraße;00:57;00:55;04:57;05:00;05:27;05:28;;;05:57;06:01;06:27;06:27;06:57;06:56;07:27;07:27;07:57;07:57;08:27;08:27;08:57;08:56;09:27;09:26;09:38;09:38;09:53;09:52;10:08;10:07;10:23;10:23;10:38;10:37;10:53;10:52;11:08;11:08;11:23;11:24;11:38;11:39;11:53;11:52;12:08;12:08;12:23;12:22;12:38;12:38;12:53;12:52;13:08;13:08;13:23;13:22;13:38;13:37;13:53;13:53;14:08;14:10;14:23;14:24;14:38;14:42;14:53;14:52;15:08;15:09;15:23;15:24;15:38;15:38;15:53;15:54;16:08;16:09;16:23;16:24;16:38;16:40;16:53;16:52;17:08;17:10;17:23;17:27;17:38;17:36;17:53;17:54;18:08;18:10;18:23;18:25;18:38;18:37;18:53;18:56;19:08;19:08;19:23;19:25;19:38;19:36;19:53;19:52;20:08;20:07;20:23;20:26;20:38;20:37;20:53;20:52;21:08;21:09;21:23;21:22;21:38;21:38;21:53;21:52;22:08;22:08;22:23;22:24;22:38;22:36;22:57;22:57;;;23:27;23:27;23:27;23:57;23:59;00:27;00:26
Rödelstraße;00:58;00:57;04:58;05:02;05:28;05:29;;;05:58;06:02;06:28;06:29;06:58;06:58;07:28;07:29;07:58;07:58;08:28;08:28;08:58;08:58;09:28;09:28;09:39;09:40;09:54;09:54;10:09;10:08;10:24;10:24;10:39;10:39;10:54;10:54;11:09;11:10;11:24;11:25;11:39;11:40;11:54;11:54;12:09;12:10;12:24;12:24;12:39;12:40;12:54;12:53;13:09;13:09;13:24;13:24;13:39;13:39;13:54;13:54;14:09;14:12;14:24;14:25;14:39;14:43;14:54;14:53;15:09;15:10;15:24;15:25;15:39;15:39;15:54;15:55;16:09;16:11;16:24;16:26;16:39;16:42;16:54;16:54;17:09;17:12;17:24;17:29;17:39;17:39;17:54;17:55;18:09;18:12;18:24;18:27;18:39;18:39;18:54;18:57;19:09;19:10;19:24;19:27;19:39;19:39;19:54;19:54;20:09;20:09;20:24;20:27;20:39;20:39;20:54;20:54;21:09;21:10;21:24;21:24;21:39;21:40;21:54;21:53;22:09;22:10;22:24;22:25;22:39;22:39;22:58;22:59;;;23:28;23:28;23:28;23:58;00:00;00:28;00:28
Adler;01:00;00:59;05:00;05:04;05:30;05:31;04:51;04:53;06:00;06:04;06:30;06:31;07:00;07:00;07:30;07:31;08:00;08:00;08:30;08:30;09:00;08:59;09:30;09:30;09:41;09:42;09:56;09:55;10:11;10:10;10:26;10:26;10:41;10:40;10:56;10:55;11:11;11:12;11:26;11:27;11:41;11:42;11:56;11:55;12:11;12:11;12:26;12:26;12:41;12:42;12:56;12:55;13:11;13:11;13:26;13:26;13:41;13:40;13:56;13:56;14:11;14:14;14:26;14:27;14:41;14:45;14:56;14:55;15:11;15:11;15:26;15:27;15:41;15:41;15:56;15:56;16:11;16:12;16:26;16:27;16:41;16:44;16:56;16:56;17:11;17:14;17:26;17:30;17:41;17:40;17:56;17:57;18:11;18:14;18:26;18:29;18:41;18:40;18:56;18:59;19:11;19:12;19:26;19:29;19:41;19:40;19:56;19:55;20:11;20:10;20:26;20:29;20:41;20:40;20:56;20:55;21:11;21:13;21:26;21:26;21:41;21:42;21:56;21:55;22:11;22:11;22:26;22:27;22:41;22:40;23:00;23:00;;;23:30;23:30;23:30;00:00;00:02;00:30;00:30
Antonien-/Gießerstraße;01:01;01:00;05:01;05:05;05:31;05:32;04:52;04:53;06:01;06:05;06:31;06:32;07:01;07:01;07:31;07:32;08:01;08:02;08:31;08:31;09:01;09:00;09:31;09:31;09:42;09:43;09:57;09:57;10:12;10:11;10:27;10:27;10:42;10:42;10:57;10:56;11:12;11:14;11:27;11:28;11:42;11:43;11:57;11:56;12:12;12:12;12:27;12:27;12:42;12:43;12:57;12:56;13:12;13:12;13:27;13:27;13:42;13:42;13:57;13:58;14:12;14:15;14:27;14:28;14:42;14:46;14:57;14:56;15:12;15:12;15:27;15:28;15:42;15:43;15:57;15:58;16:12;16:14;16:27;16:29;16:42;16:45;16:57;16:57;17:12;17:16;17:27;17:32;17:42;17:42;17:57;17:59;18:12;18:15;18:27;18:30;18:42;18:42;18:57;19:00;19:12;19:14;19:27;19:30;19:42;19:42;19:57;19:57;20:12;20:12;20:27;20:30;20:42;20:42;20:57;20:57;21:12;21:14;21:27;21:27;21:42;21:43;21:57;21:56;22:12;22:12;22:27;22:28;22:42;22:41;23:01;23:01;;;23:31;23:31;23:31;00:01;00:03;00:31;00:31
Diezmannstraße;01:03;01:01;05:03;05:07;05:33;05:34;04:54;04:55;06:03;06:07;06:33;06:33;07:03;07:03;07:33;07:33;08:03;08:03;08:33;08:32;09:03;09:02;09:33;09:33;09:44;09:44;09:59;09:59;10:14;10:13;10:29;10:28;10:44;10:43;10:59;10:58;11:14;11:15;11:29;11:30;11:44;11:44;11:59;11:58;12:14;12:14;12:29;12:28;12:44;12:44;12:59;12:58;13:14;13:14;13:29;13:28;13:44;13:43;13:59;13:59;14:14;14:16;14:29;14:30;14:44;14:47;14:59;14:58;15:14;15:14;15:29;15:30;15:44;15:44;15:59;15:59;16:14;16:15;16:29;16:30;16:44;16:47;16:59;16:59;17:14;17:17;17:29;17:34;17:44;17:43;17:59;18:00;18:14;18:17;18:29;18:32;18:44;18:44;18:59;19:02;19:14;19:15;19:29;19:32;19:44;19:44;19:59;19:58;20:14;20:14;20:29;20:32;20:44;20:44;20:59;20:59;21:14;21:15;21:29;21:28;21:44;21:45;21:59;21:58;22:14;22:14;22:29;22:30;22:44;22:43;23:03;23:03;;;23:33;23:32;23:33;00:03;00:05;00:33;00:32
Kurt-Kresse-Straße;01:05;01:03;05:05;05:08;05:35;05:35;04:56;04:56;06:05;06:08;06:35;06:35;07:05;07:04;07:35;07:35;08:05;08:05;08:35;08:34;09:05;09:04;09:35;09:34;09:46;09:46;10:01;10:00;10:16;10:14;10:31;10:30;10:46;10:45;11:01;11:00;11:16;11:16;11:31;11:31;11:46;11:46;12:01;12:00;12:16;12:15;12:31;12:30;12:46;12:46;13:01;13:00;13:16;13:15;13:31;13:30;13:46;13:45;14:01;14:01;14:16;14:18;14:31;14:31;14:46;14:48;15:01;15:00;15:16;15:15;15:31;15:31;15:46;15:45;16:01;16:00;16:16;16:16;16:31;16:32;16:46;16:48;17:01;17:00;17:16;17:18;17:31;17:35;17:46;17:45;18:01;18:01;18:16;18:18;18:31;18:33;18:46;18:45;19:01;19:03;19:16;19:16;19:31;19:33;19:46;19:45;20:01;20:00;20:16;20:15;20:31;20:33;20:46;20:45;21:01;21:00;21:16;21:17;21:31;21:30;21:46;21:46;22:01;22:00;22:16;22:15;22:31;22:31;22:46;22:45;23:05;23:04;;;23:35;23:34;23:35;00:05;00:06;00:35;00:34
Herrmann-Meyer-Straße;01:07;01:05;05:07;05:10;05:37;05:37;04:58;04:58;06:07;06:10;06:37;06:37;07:07;07:06;07:37;07:36;08:07;08:06;08:37;08:36;09:07;09:05;09:37;09:36;09:48;09:48;10:03;10:02;10:18;10:17;10:33;10:32;10:48;10:47;11:03;11:02;11:18;11:18;11:33;11:33;11:48;11:48;12:03;12:02;12:18;12:17;12:33;12:32;12:48;12:48;13:03;13:01;13:18;13:17;13:33;13:32;13:48;13:47;14:03;14:02;14:18;14:19;14:33;14:33;14:48;14:50;15:03;15:02;15:18;15:17;15:33;15:33;15:48;15:47;16:03;16:02;16:18;16:18;16:33;16:34;16:48;16:50;17:03;17:02;17:18;17:21;17:33;17:37;17:48;17:46;18:03;18:03;18:18;18:20;18:33;18:35;18:48;18:47;19:03;19:05;19:18;19:18;19:33;19:35;19:48;19:46;20:03;20:02;20:18;20:17;20:33;20:35;20:48;20:47;21:03;21:02;21:18;21:18;21:33;21:32;21:48;21:48;22:03;22:01;22:18;22:17;22:33;22:32;22:48;22:47;23:07;23:06;;;23:37;23:36;23:37;00:07;00:08;00:37;00:36
Schönauer/Ratzelstraße;01:09;01:06;05:09;05:11;05:39;05:38;04:59;04:59;06:09;06:12;06:39;06:38;07:09;07:07;07:39;07:38;08:09;08:08;08:39;08:38;09:09;09:07;09:39;09:37;09:50;09:49;10:05;10:04;10:20;10:18;10:35;10:33;10:50;10:48;11:05;11:04;11:20;11:19;11:35;11:34;11:50;11:49;12:05;12:04;12:20;12:18;12:35;12:33;12:50;12:49;13:05;13:03;13:20;13:18;13:35;13:33;13:50;13:48;14:05;14:04;14:20;14:20;14:35;14:34;14:50;14:51;15:05;15:03;15:20;15:18;15:35;15:34;15:50;15:48;16:05;16:04;16:20;16:20;16:35;16:35;16:50;16:51;17:05;17:04;17:20;17:22;17:35;17:38;17:50;17:48;18:05;18:04;18:20;18:21;18:35;18:36;18:50;18:48;19:05;19:07;19:20;19:19;19:35;19:36;19:50;19:48;20:05;20:03;20:20;20:18;20:35;20:36;20:50;20:48;21:05;21:03;21:20;21:20;21:35;21:33;21:50;21:49;22:05;22:03;22:20;22:19;22:35;22:34;22:50;22:48;23:09;23:08;;;23:39;23:37;23:39;00:09;00:09;00:39;00:37
Stuttgarter Allee;01:10;01:08;05:10;05:13;05:40;05:40;05:00;05:00;06:10;06:13;06:40;06:39;07:10;07:09;07:40;07:39;08:10;08:10;08:40;08:39;09:10;09:08;09:40;09:39;09:51;09:51;10:06;10:05;10:21;10:20;10:36;10:35;10:51;10:49;11:06;11:05;11:21;11:21;11:36;11:35;11:51;11:51;12:06;12:05;12:21;12:19;12:36;12:35;12:51;12:50;13:06;13:04;13:21;13:19;13:36;13:34;13:51;13:49;14:06;14:05;14:21;14:21;14:36;14:36;14:51;14:52;15:06;15:05;15:21;15:20;15:36;15:36;15:51;15:50;16:06;16:05;16:21;16:21;16:36;16:36;16:51;16:52;17:06;17:05;17:21;17:23;17:36;17:39;17:51;17:50;18:06;18:05;18:21;18:23;18:36;18:38;18:51;18:50;19:06;19:08;19:21;19:21;19:36;19:38;19:51;19:50;20:06;20:05;20:21;20:20;20:36;20:37;20:51;20:50;21:06;21:04;21:21;21:22;21:36;21:34;21:51;21:51;22:06;22:05;22:21;22:20;22:36;22:35;22:51;22:49;23:10;23:09;;;23:40;23:38;23:40;00:10;00:10;00:40;00:38
Ratzelbogen;01:12;01:10;05:12;05:14;05:42;05:41;05:02;05:02;06:12;06:14;06:42;06:41;07:12;07:11;07:42;07:40;08:12;08:12;08:42;08:41;09:12;09:10;09:42;09:41;09:53;09:53;10:08;10:07;10:23;10:22;10:38;10:37;10:53;10:51;11:08;11:07;11:23;11:22;11:38;11:36;11:53;11:52;12:08;12:07;12:23;12:21;12:38;12:37;12:53;12:52;13:08;13:06;13:23;13:21;13:38;13:36;13:53;13:51;14:08;14:06;14:23;14:23;14:38;14:38;14:53;14:54;15:08;15:07;15:23;15:21;15:38;15:37;15:53;15:52;16:08;16:06;16:23;16:22;16:38;16:38;16:53;16:53;17:08;17:07;17:23;17:25;17:38;17:41;17:53;17:51;18:08;18:07;18:23;18:24;18:38;18:39;18:53;18:51;19:08;19:09;19:23;19:22;19:38;19:39;19:53;19:52;20:08;20:07;20:23;20:22;20:38;20:39;20:53;20:51;21:08;21:06;21:23;21:23;21:38;21:37;21:53;21:52;22:08;22:06;22:23;22:21;22:38;22:36;22:53;22:52;23:12;23:10;;;23:42;23:40;23:42;00:12;00:12;00:42;00:40
Krakauer Straße;01:14;01:12;05:14;05:16;05:44;05:43;05:04;05:03;06:14;06:16;06:44;06:43;07:14;07:13;07:44;07:43;08:14;08:13;08:44;08:43;09:14;09:12;09:44;09:42;09:55;09:54;10:10;10:09;10:25;10:24;10:40;10:39;10:55;10:53;11:10;11:09;11:25;11:24;11:40;11:38;11:55;11:54;12:10;12:09;12:25;12:23;12:40;12:39;12:55;12:53;13:10;13:08;13:25;13:23;13:40;13:38;13:55;13:53;14:10;14:08;14:25;14:24;14:40;14:40;14:55;14:55;15:10;15:09;15:25;15:23;15:40;15:39;15:55;15:54;16:10;16:08;16:25;16:24;16:40;16:40;16:55;16:55;17:10;17:09;17:25;17:27;17:40;17:42;17:55;17:53;18:10;18:09;18:25;18:26;18:40;18:41;18:55;18:53;19:10;19:11;19:25;19:24;19:40;19:40;19:55;19:53;20:10;20:09;20:25;20:24;20:40;20:40;20:55;20:53;21:10;21:08;21:25;21:25;21:40;21:39;21:55;21:54;22:10;22:09;22:25;22:23;22:40;22:38;22:55;22:53;23:14;23:13;;;23:44;23:42;23:44;00:14;00:14;00:44;00:42
Zschampertaue;01:15;01:13;05:15;05:17;05:45;05:44;05:05;05:05;06:15;06:17;06:45;06:44;07:15;07:14;07:45;07:44;08:15;08:15;08:45;08:44;09:15;09:13;09:45;09:44;09:56;09:55;10:11;10:10;10:26;10:25;10:41;10:40;10:56;10:54;11:11;11:10;11:26;11:25;11:41;11:39;11:56;11:56;12:11;12:10;12:26;12:24;12:41;12:40;12:56;12:54;13:11;13:10;13:26;13:24;13:41;13:39;13:56;13:54;14:11;14:09;14:26;14:25;14:41;14:41;14:56;14:56;15:11;15:10;15:26;15:24;15:41;15:40;15:56;15:55;16:11;16:09;16:26;16:25;16:41;16:41;16:56;16:56;17:11;17:10;17:26;17:28;17:41;17:43;17:56;17:54;18:11;18:10;18:26;18:27;18:41;18:42;18:56;18:54;19:11;19:12;19:26;19:25;19:41;19:41;19:56;19:55;20:11;20:10;20:26;20:25;20:41;20:41;20:56;20:54;21:11;21:09;21:26;21:26;21:41;21:40;21:56;21:55;22:11;22:10;22:26;22:24;22:41;22:39;22:56;22:55;23:15;23:14;;;23:45;23:44;23:45;00:15;00:15;00:45;00:43
Lausen;01:16;;05:16;05:18;05:46;05:45;05:06;05:05;06:16;06:18;06:46;06:45;07:16;07:15;07:46;07:45;08:16;08:15;08:46;08:45;09:16;09:14;09:46;09:44;09:57;09:56;10:12;10:10;10:27;10:26;10:42;10:41;10:57;10:55;11:12;11:11;11:27;11:25;11:42;11:39;11:57;11:56;12:12;12:11;12:27;12:25;12:42;12:41;12:57;12:55;13:12;13:10;13:27;13:25;13:42;13:39;13:57;13:55;14:12;14:10;14:27;14:26;14:42;14:42;14:57;14:57;15:12;15:11;15:27;15:25;15:42;15:40;15:57;15:55;16:12;16:10;16:27;16:25;16:42;16:42;16:57;16:57;17:12;17:11;17:27;17:28;17:42;17:44;17:57;17:55;18:12;18:11;18:27;18:27;18:42;18:43;18:57;18:55;19:12;19:13;19:27;19:26;19:42;19:42;19:57;19:56;20:12;20:11;20:27;20:26;20:42;20:42;20:57;20:55;21:12;21:10;21:27;21:27;21:42;21:41;21:57;21:56;22:12;22:10;22:27;22:25;22:42;22:40;22:57;22:55;23:16;23:14;;;23:46;23:44;23:46;00:16;00:16;00:46;00:45
