Kurs:;46;;13;;15;;42;;44;;31;;41;;32;;42;;44;;41;;31;;32;;42;;44;;43;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;41;;31;;11;
Leibnizstraße;00:36;00:37;01:00;01:01;;;;;;;05:06;05:07;;;05:36;05:36;06:06;06:07;06:36;06:35;07:06;07:05;07:36;07:35;08:06;08:06;08:36;08:35;09:06;09:07;;;09:23;09:25;09:38;09:38;09:53;09:53;10:08;10:07;10:23;10:23;10:38;10:38;10:53;10:52;11:08;11:08;11:23;11:23;11:38;11:38;11:53;11:55;12:08;12:08;12:23;12:22;12:38;12:41;12:53;12:55;13:08;13:07;13:23;13:25;13:38;13:40;13:53;13:54;14:08;14:10;14:23;14:25;14:38;14:40;14:53;14:53;15:08;15:08;15:23;15:22;15:38;15:37;15:53;15:53;16:08;16:08;16:23;16:25;16:38;16:40;16:53;16:52;17:08;17:11;17:23;17:22;17:38;17:40;17:53;17:53;18:08;18:10;18:23;18:22;18:38;18:38;18:53;18:55;19:08;19:08;19:23;19:25;19:38;19:41;19:53;19:52;20:08;20:08;20:23;20:22;20:38;20:38;20:53;20:53;21:08;21:08;21:23;21:22;21:38;21:38;21:53;21:55;22:08;22:08;22:23;23:31;22:38;22:38;23:06;23:07;23:36;23:37;00:06;00:05
Waldplatz;00:38;00:39;01:02;01:02;;;;;;;05:08;05:09;;;05:38;05:38;06:08;06:09;06:38;06:37;07:08;07:07;07:38;07:37;08:08;08:08;08:38;08:37;09:08;09:09;;;09:25;09:27;09:40;09:40;09:55;09:55;10:10;10:09;10:25;10:25;10:40;10:40;10:55;10:53;11:10;11:10;11:25;11:25;11:40;11:40;11:55;11:57;12:10;12:10;12:25;12:24;12:40;12:43;12:55;12:57;13:10;13:09;13:25;13:27;13:40;13:42;13:55;13:56;14:10;14:11;14:25;14:27;14:40;14:43;14:55;14:55;15:10;15:10;15:25;15:24;15:40;15:39;15:55;15:55;16:10;16:10;16:25;16:27;16:40;16:41;16:55;16:54;17:10;17:13;17:25;17:25;17:40;17:41;17:55;17:55;18:10;18:11;18:25;18:24;18:40;18:40;18:55;18:56;19:10;19:11;19:25;19:27;19:40;19:43;19:55;19:54;20:10;20:10;20:25;20:24;20:40;20:40;20:55;20:55;21:10;21:10;21:25;21:24;21:40;21:40;21:55;21:57;22:10;22:10;22:25;23:33;22:40;22:40;23:08;23:10;23:38;23:38;00:08;00:08
Sportforum Süd;00:39;00:40;01:03;01:03;;;;;;;05:09;05:10;;;05:39;05:39;06:09;06:10;06:39;06:39;07:09;07:08;07:39;07:38;08:09;08:09;08:39;08:38;09:09;09:10;;;09:26;09:28;09:41;09:41;09:56;09:56;10:11;10:10;10:26;10:26;10:41;10:41;10:56;10:54;11:11;11:11;11:26;11:26;11:41;11:41;11:56;11:58;12:11;12:11;12:26;12:25;12:41;12:45;12:56;12:58;13:11;13:10;13:26;13:28;13:41;13:43;13:56;13:57;14:11;14:13;14:26;14:28;14:41;14:44;14:56;14:56;15:11;15:11;15:26;15:25;15:41;15:40;15:56;15:56;16:11;16:11;16:26;16:28;16:41;16:42;16:56;16:56;17:11;17:14;17:26;17:26;17:41;17:42;17:56;17:56;18:11;18:12;18:26;18:25;18:41;18:41;18:56;18:57;19:11;19:11;19:26;19:28;19:41;19:45;19:56;19:55;20:11;20:11;20:26;20:25;20:41;20:41;20:56;20:56;21:11;21:11;21:26;21:25;21:41;21:41;21:56;21:58;22:11;22:11;22:26;23:35;22:41;22:41;23:09;23:11;23:39;23:39;00:09;00:09
Angerbrücke, Strbf.;00:41;00:42;;;;;03:56;03:55;04:26;04:26;05:11;05:12;04:56;04:56;05:41;05:41;06:11;06:11;06:41;06:40;07:11;07:10;07:41;07:40;08:11;08:11;08:41;08:40;09:11;09:11;08:58;08:59;09:28;09:30;09:43;09:43;09:58;09:58;10:13;10:12;10:28;10:28;10:43;10:43;10:58;10:56;11:13;11:13;11:28;11:28;11:43;11:43;11:58;12:00;12:13;12:13;12:28;12:29;12:43;12:46;12:58;13:00;13:13;13:13;13:28;13:30;13:43;13:45;13:58;13:58;14:13;14:17;14:28;14:29;14:43;14:46;14:58;14:58;15:13;15:13;15:28;15:27;15:43;15:41;15:58;15:58;16:13;16:13;16:28;16:30;16:43;16:44;16:58;16:59;17:13;17:16;17:28;17:28;17:43;17:44;17:58;17:58;18:13;18:14;18:28;18:27;18:43;18:43;18:58;18:59;19:13;19:13;19:28;19:30;19:43;19:46;19:58;19:56;20:13;20:14;20:28;20:28;20:43;20:42;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;21:58;22:00;22:13;22:13;22:28;22:31;22:43;22:43;23:11;23:14;23:41;23:41;00:11;00:11
Felsenkeller;00:43;00:45;;;;;03:58;03:57;04:28;04:28;05:13;05:16;04:58;04:57;05:43;05:43;06:13;06:13;06:43;06:43;07:13;07:12;07:43;07:42;08:13;08:13;08:43;08:42;09:13;09:13;09:00;09:00;09:30;09:32;09:45;09:46;10:00;10:00;10:15;10:14;10:30;10:30;10:45;10:45;11:00;10:58;11:15;11:15;11:30;11:30;11:45;11:45;12:00;12:02;12:15;12:15;12:30;12:31;12:45;12:49;13:00;13:02;13:15;13:15;13:30;13:32;13:45;13:47;14:00;14:00;14:15;14:19;14:30;14:32;14:45;14:48;15:00;15:00;15:15;15:16;15:30;15:29;15:45;15:44;16:00;16:00;16:15;16:15;16:30;16:32;16:45;16:46;17:00;17:01;17:15;17:19;17:30;17:30;17:45;17:47;18:00;18:00;18:15;18:16;18:30;18:29;18:45;18:45;19:00;19:02;19:15;19:15;19:30;19:32;19:45;19:48;20:00;19:58;20:15;20:16;20:30;20:29;20:45;20:44;21:00;21:00;21:15;21:15;21:30;21:29;21:45;21:45;22:00;22:02;22:15;22:15;22:30;22:33;22:45;22:45;23:13;23:15;23:43;23:42;00:13;00:13
Elster Passage;00:44;00:46;;;;;03:59;03:58;04:29;04:29;05:14;05:17;04:59;04:58;05:44;05:45;06:14;06:14;06:44;06:44;07:14;07:14;07:44;07:44;08:14;08:14;08:44;08:43;09:14;09:14;09:01;09:02;09:31;09:33;09:46;09:47;10:01;10:01;10:16;10:15;10:31;10:31;10:46;10:46;11:01;10:59;11:16;11:16;11:31;11:31;11:46;11:46;12:01;12:03;12:16;12:16;12:31;12:32;12:46;12:50;13:01;13:03;13:16;13:16;13:31;13:33;13:46;13:48;14:01;14:01;14:16;14:20;14:31;14:33;14:46;14:50;15:01;15:01;15:16;15:17;15:31;15:30;15:46;15:45;16:01;16:01;16:16;16:17;16:31;16:33;16:46;16:48;17:01;17:02;17:16;17:20;17:31;17:31;17:46;17:48;18:01;18:01;18:16;18:18;18:31;18:31;18:46;18:46;19:01;19:03;19:16;19:16;19:31;19:33;19:46;19:50;20:01;20:00;20:16;20:17;20:31;20:30;20:46;20:46;21:01;21:02;21:16;21:17;21:31;21:30;21:46;21:47;22:01;22:04;22:16;22:16;22:31;22:34;22:46;22:46;23:14;23:17;23:44;23:44;00:14;00:14
Markranstädter Straße;00:45;00:48;;;;;04:00;03:59;04:30;04:30;05:15;05:18;05:00;05:00;05:45;05:46;06:15;06:15;06:45;06:45;07:15;07:15;07:45;07:45;08:15;08:15;08:45;08:44;09:15;09:15;09:02;09:03;09:32;09:34;09:47;09:48;10:02;10:02;10:17;10:16;10:32;10:33;10:47;10:47;11:02;11:01;11:17;11:18;11:32;11:33;11:47;11:47;12:02;12:05;12:17;12:18;12:32;12:33;12:47;12:51;13:02;13:04;13:17;13:17;13:32;13:35;13:47;13:49;14:02;14:02;14:17;14:21;14:32;14:34;14:47;14:51;15:02;15:02;15:17;15:18;15:32;15:31;15:47;15:47;16:02;16:03;16:17;16:18;16:32;16:34;16:47;16:49;17:02;17:03;17:17;17:22;17:32;17:32;17:47;17:49;18:02;18:03;18:17;18:19;18:32;18:32;18:47;18:47;19:02;19:04;19:17;19:17;19:32;19:34;19:47;19:51;20:02;20:01;20:17;20:18;20:32;20:32;20:47;20:47;21:02;21:03;21:17;21:18;21:32;21:31;21:47;21:48;22:02;22:05;22:17;22:17;22:32;22:35;22:47;22:47;23:15;23:18;23:45;23:45;00:15;00:15
Adler;00:47;00:49;;;;;04:02;04:01;04:32;04:32;05:17;05:20;05:02;05:01;05:47;05:48;06:17;06:17;06:47;06:46;07:17;07:17;07:47;07:46;08:17;08:17;08:47;08:46;09:17;09:17;09:04;09:04;09:34;09:36;09:49;09:50;10:04;10:04;10:19;10:18;10:34;10:34;10:49;10:49;11:04;11:02;11:19;11:20;11:34;11:34;11:49;11:49;12:04;12:08;12:19;12:20;12:34;12:36;12:49;12:53;13:04;13:06;13:19;13:20;13:34;13:36;13:49;13:52;14:04;14:04;14:19;14:22;14:34;14:36;14:49;14:53;15:04;15:04;15:19;15:20;15:34;15:33;15:49;15:49;16:04;16:05;16:19;16:20;16:34;16:36;16:49;16:51;17:04;17:05;17:19;17:23;17:34;17:35;17:49;17:51;18:04;18:05;18:19;18:21;18:34;18:35;18:49;18:50;19:04;19:06;19:19;19:20;19:34;19:36;19:49;19:53;20:04;20:03;20:19;20:20;20:34;20:33;20:49;20:48;21:04;21:05;21:19;21:20;21:34;21:33;21:49;21:50;22:04;22:08;22:19;22:18;22:34;22:37;22:49;22:49;23:17;23:20;23:47;23:46;00:17;00:17
Schwartzestraße;00:48;00:51;;;;;04:03;04:02;04:33;04:33;05:18;05:21;05:03;05:02;05:48;05:49;06:18;06:18;06:48;06:48;07:18;07:18;07:48;07:48;08:18;08:18;08:48;08:48;09:18;09:18;09:05;09:05;09:35;09:37;09:50;09:52;10:05;10:05;10:20;10:20;10:35;10:36;10:50;10:50;11:05;11:04;11:20;11:21;11:35;11:36;11:50;11:51;12:05;12:09;12:20;12:21;12:35;12:37;12:50;12:55;13:05;13:08;13:20;13:21;13:35;13:37;13:50;13:53;14:05;14:05;14:20;14:24;14:35;14:37;14:50;14:55;15:05;15:05;15:20;15:21;15:35;15:34;15:50;15:51;16:05;16:06;16:20;16:21;16:35;16:38;16:50;16:53;17:05;17:06;17:20;17:25;17:35;17:36;17:50;17:53;18:05;18:06;18:20;18:23;18:35;18:36;18:50;18:51;19:05;19:08;19:20;19:21;19:35;19:38;19:50;19:54;20:05;20:04;20:20;20:21;20:35;20:34;20:50;20:50;21:05;21:06;21:20;21:21;21:35;21:34;21:50;21:52;22:05;22:09;22:20;22:20;22:35;22:39;22:50;22:50;23:18;23:21;23:48;23:48;00:18;00:18
Kleinzschocher;00:50;00:52;;;;;04:05;04:03;04:35;04:34;05:20;05:22;05:05;05:03;05:50;05:50;06:20;06:19;06:50;06:49;07:20;07:19;07:50;07:49;08:20;08:20;08:50;08:48;09:20;09:19;09:07;09:06;09:37;09:38;09:52;09:53;10:07;10:06;10:22;10:21;10:37;10:37;10:52;10:51;11:07;11:05;11:22;11:22;11:37;11:37;11:52;11:52;12:07;12:10;12:22;12:22;12:37;12:38;12:52;12:56;13:07;13:09;13:22;13:22;13:37;13:38;13:52;13:54;14:07;14:06;14:22;14:25;14:37;14:38;14:52;14:56;15:07;15:06;15:22;15:22;15:37;15:35;15:52;15:52;16:07;16:07;16:22;16:22;16:37;16:39;16:52;16:54;17:07;17:07;17:22;17:26;17:37;17:37;17:52;17:54;18:07;18:07;18:22;18:24;18:37;18:37;18:52;18:52;19:07;19:09;19:22;19:22;19:37;19:39;19:52;19:55;20:07;20:05;20:22;20:22;20:37;20:36;20:52;20:51;21:07;21:07;21:22;21:22;21:37;21:36;21:52;21:53;22:07;22:10;22:22;22:21;22:37;22:40;22:52;22:51;23:20;23:22;23:50;23:49;00:20;00:19
Arthur-Nagel-Straße;00:52;00:53;;;;;04:07;04:05;04:37;04:36;05:22;05:24;05:07;05:05;05:52;05:52;06:22;06:21;06:52;06:51;07:22;07:21;07:52;07:50;08:22;08:21;08:52;08:50;09:22;09:22;09:09;09:07;09:39;09:39;09:54;09:54;10:09;10:08;10:24;10:22;10:39;10:38;10:54;10:53;11:09;11:06;11:24;11:24;11:39;11:38;11:54;11:53;12:09;12:12;12:24;12:24;12:39;12:40;12:54;12:57;13:09;13:10;13:24;13:24;13:39;13:40;13:54;13:56;14:09;14:07;14:24;14:26;14:39;14:40;14:54;14:57;15:09;15:07;15:24;15:24;15:39;15:37;15:54;15:53;16:09;16:08;16:24;16:24;16:39;16:41;16:54;16:56;17:09;17:09;17:24;17:27;17:39;17:38;17:54;17:55;18:09;18:09;18:24;18:25;18:39;18:39;18:54;18:53;19:09;19:11;19:24;19:23;19:39;19:40;19:54;19:57;20:09;20:07;20:24;20:24;20:39;20:38;20:54;20:53;21:09;21:09;21:24;21:23;21:39;21:38;21:54;21:54;22:09;22:12;22:24;22:23;22:39;22:41;22:54;22:53;23:22;23:23;23:52;23:51;00:22;00:20
Kunzestraße;00:53;00:54;;;;;04:08;04:06;04:38;04:37;05:23;05:24;05:08;05:06;05:53;05:53;06:23;06:22;06:53;06:52;07:23;07:22;07:53;07:51;08:23;08:22;08:53;08:51;09:23;09:23;09:10;09:08;09:40;09:40;09:55;09:55;10:10;10:09;10:25;10:23;10:40;10:39;10:55;10:54;11:10;11:08;11:25;11:25;11:40;11:39;11:55;11:54;12:10;12:13;12:25;12:25;12:40;12:41;12:55;12:58;13:10;13:11;13:25;13:25;13:40;13:41;13:55;13:57;14:10;14:08;14:25;14:27;14:40;14:41;14:55;14:58;15:10;15:08;15:25;15:24;15:40;15:38;15:55;15:54;16:10;16:09;16:25;16:25;16:40;16:41;16:55;16:56;17:10;17:10;17:25;17:28;17:40;17:39;17:55;17:56;18:10;18:10;18:25;18:26;18:40;18:40;18:55;18:54;19:10;19:11;19:25;19:24;19:40;19:41;19:55;19:58;20:10;20:08;20:25;20:25;20:40;20:39;20:55;20:54;21:10;21:10;21:25;21:24;21:40;21:39;21:55;21:55;22:10;22:13;22:25;22:24;22:40;22:42;22:55;22:54;23:23;23:24;23:53;23:52;00:23;00:21
Huttenstraße;00:54;00:56;;;;;04:09;04:08;04:39;04:38;05:24;05:26;05:09;05:07;05:54;05:54;06:24;06:23;06:54;06:54;07:24;07:23;07:54;07:53;08:24;08:24;08:54;08:52;09:24;09:24;09:11;09:10;09:41;09:41;09:56;09:57;10:11;10:10;10:26;10:25;10:41;10:41;10:56;10:56;11:11;11:09;11:26;11:26;11:41;11:41;11:56;11:56;12:11;12:15;12:26;12:27;12:41;12:42;12:56;12:59;13:11;13:12;13:26;13:26;13:41;13:42;13:56;13:58;14:11;14:10;14:26;14:29;14:41;14:42;14:56;14:59;15:11;15:10;15:26;15:26;15:41;15:40;15:56;15:55;16:11;16:11;16:26;16:26;16:41;16:43;16:56;16:58;17:11;17:11;17:26;17:30;17:41;17:40;17:56;17:58;18:11;18:11;18:26;18:27;18:41;18:41;18:56;18:55;19:11;19:13;19:26;19:25;19:41;19:42;19:56;19:59;20:11;20:09;20:26;20:26;20:41;20:40;20:56;20:55;21:11;21:11;21:26;21:25;21:41;21:40;21:56;21:57;22:11;22:14;22:26;22:26;22:41;22:44;22:56;22:55;23:24;23:26;23:54;23:53;00:24;00:23
Großzsch., G.-Ellrodt-S.;00:56;00:57;;;;;04:11;04:10;04:41;04:40;05:26;05:27;05:11;05:09;05:56;05:56;06:26;06:25;06:56;06:55;07:26;07:24;07:56;07:55;08:26;08:26;08:56;08:54;09:26;09:26;09:13;09:11;09:43;09:43;09:58;09:59;10:13;10:12;10:28;10:26;10:43;10:42;10:58;10:58;11:13;11:11;11:28;11:28;11:43;11:42;11:58;11:58;12:13;12:16;12:28;12:28;12:43;12:44;12:58;13:01;13:13;13:14;13:28;13:28;13:43;13:44;13:58;13:59;14:13;14:11;14:28;14:30;14:43;14:44;14:58;15:01;15:13;15:11;15:28;15:27;15:43;15:42;15:58;15:57;16:13;16:12;16:28;16:28;16:43;16:44;16:58;17:00;17:13;17:13;17:28;17:32;17:43;17:42;17:58;17:59;18:13;18:13;18:28;18:29;18:43;18:42;18:58;18:57;19:13;19:15;19:28;19:27;19:43;19:44;19:58;20:01;20:13;20:12;20:28;20:28;20:43;20:42;20:58;20:57;21:13;21:13;21:28;21:27;21:43;21:42;21:58;21:59;22:13;22:16;22:28;22:28;22:43;22:45;22:58;22:58;23:26;23:27;23:56;23:55;00:26;00:24
Wasserwerk Windorf;00:58;00:58;;;;;04:13;04:11;04:43;04:42;05:28;05:29;05:13;05:10;05:58;05:57;06:28;06:26;06:58;06:58;07:28;07:27;07:58;07:57;08:28;08:27;08:58;08:56;09:28;09:27;09:15;09:14;09:45;09:45;10:00;10:00;10:15;10:13;10:30;10:28;10:45;10:44;11:00;11:00;11:15;11:13;11:30;11:29;11:45;11:45;12:00;12:00;12:15;12:18;12:30;12:29;12:45;12:46;13:00;13:02;13:15;13:15;13:30;13:30;13:45;13:45;14:00;14:00;14:15;14:13;14:30;14:31;14:45;14:45;15:00;15:02;15:15;15:12;15:30;15:29;15:45;15:44;16:00;15:58;16:15;16:14;16:30;16:30;16:45;16:46;17:00;17:01;17:15;17:15;17:30;17:33;17:45;17:44;18:00;18:00;18:15;18:14;18:30;18:30;18:45;18:45;19:00;18:58;19:15;19:16;19:30;19:30;19:45;19:45;20:00;20:02;20:15;20:13;20:30;20:29;20:45;20:43;21:00;20:59;21:15;21:14;21:30;21:30;21:45;21:44;22:00;22:00;22:15;22:17;22:30;22:29;22:45;22:47;23:00;22:59;23:28;23:29;23:58;23:58;00:28;00:27
Seumestraße;01:00;01:00;;;;;04:15;04:14;04:45;04:44;05:30;05:31;05:15;05:12;06:00;06:00;06:30;06:28;07:00;07:00;07:30;07:29;08:00;08:00;08:30;08:29;09:00;08:58;09:30;09:30;09:17;09:17;09:47;09:47;10:02;10:02;10:17;10:15;10:32;10:30;10:47;10:46;11:02;11:03;11:17;11:15;11:32;11:31;11:47;11:47;12:02;12:02;12:17;12:20;12:32;12:31;12:47;12:47;13:02;13:05;13:17;13:17;13:32;13:32;13:47;13:47;14:02;14:02;14:17;14:15;14:32;14:34;14:47;14:47;15:02;15:04;15:17;15:16;15:32;15:31;15:47;15:46;16:02;16:00;16:17;16:16;16:32;16:32;16:47;16:48;17:02;17:03;17:17;17:17;17:32;17:35;17:47;17:46;18:02;18:02;18:17;18:16;18:32;18:32;18:47;18:46;19:02;19:00;19:17;19:18;19:32;19:31;19:47;19:47;20:02;20:04;20:17;20:16;20:32;20:32;20:47;20:46;21:02;21:01;21:17;21:17;21:32;21:32;21:47;21:46;22:02;22:03;22:17;22:19;22:32;22:31;22:47;22:49;23:02;23:01;23:30;23:31;00:00;00:00;00:30;00:29
Albersdorfer Straße;01:01;01:01;;;;;04:16;04:15;04:46;04:45;05:31;05:31;05:16;05:13;06:01;06:01;06:31;06:29;07:01;07:01;07:31;07:30;08:01;08:01;08:31;08:30;09:01;08:59;09:31;09:31;09:18;09:17;09:48;09:48;10:03;10:03;10:18;10:16;10:33;10:31;10:48;10:47;11:03;11:03;11:18;11:16;11:33;11:32;11:48;11:48;12:03;12:03;12:18;12:21;12:33;12:32;12:48;12:48;13:03;13:06;13:18;13:18;13:33;13:33;13:48;13:48;14:03;14:03;14:18;14:16;14:33;14:35;14:48;14:48;15:03;15:05;15:18;15:16;15:33;15:32;15:48;15:47;16:03;16:01;16:18;16:17;16:33;16:33;16:48;16:49;17:03;17:04;17:18;17:18;17:33;17:36;17:48;17:47;18:03;18:03;18:18;18:17;18:33;18:33;18:48;18:47;19:03;19:01;19:18;19:19;19:33;19:32;19:48;19:49;20:03;20:05;20:18;20:17;20:33;20:33;20:48;20:47;21:03;21:02;21:18;21:18;21:33;21:33;21:48;21:47;22:03;22:04;22:18;22:20;22:33;22:32;22:48;22:50;23:03;23:02;23:31;23:32;00:01;00:01;00:31;00:30
Fortunabadstraße;01:02;01:02;;;;;04:17;04:16;04:47;04:46;05:32;05:32;05:17;05:14;06:02;06:02;06:32;06:30;07:02;07:02;07:32;07:31;08:02;08:01;08:32;08:31;09:02;09:00;09:32;09:32;09:19;09:18;09:49;09:48;10:04;10:04;10:19;10:17;10:34;10:32;10:49;10:48;11:04;11:04;11:19;11:17;11:34;11:33;11:49;11:49;12:04;12:03;12:19;12:21;12:34;12:33;12:49;12:49;13:04;13:07;13:19;13:19;13:34;13:34;13:49;13:49;14:04;14:04;14:19;14:17;14:34;14:35;14:49;14:49;15:04;15:06;15:19;15:17;15:34;15:33;15:49;15:47;16:04;16:02;16:19;16:18;16:34;16:34;16:49;16:50;17:04;17:05;17:19;17:19;17:34;17:37;17:49;17:48;18:04;18:04;18:19;18:18;18:34;18:34;18:49;18:48;19:04;19:02;19:19;19:20;19:34;19:33;19:49;19:49;20:04;20:06;20:19;20:17;20:34;20:34;20:49;20:48;21:04;21:03;21:19;21:19;21:34;21:33;21:49;21:48;22:04;22:05;22:19;22:21;22:34;22:33;22:49;22:51;23:04;23:03;23:32;23:33;00:02;00:02;00:32;00:31
Knautkleeberg;01:03;01:03;;;;;04:18;04:17;04:48;04:47;05:33;05:33;05:18;05:15;06:03;06:03;06:33;06:31;07:03;07:03;07:33;07:32;08:03;08:02;08:33;08:32;09:03;09:01;09:33;09:33;09:20;09:19;09:50;09:49;10:05;10:05;10:20;10:18;10:35;10:33;10:50;10:49;11:05;11:05;11:20;11:18;11:35;11:34;11:50;11:49;12:05;12:04;12:20;12:22;12:35;12:34;12:50;12:50;13:05;13:08;13:20;13:20;13:35;13:34;13:50;13:50;14:05;14:05;14:20;14:18;14:35;14:36;14:50;14:50;15:05;15:07;15:20;15:24;15:35;15:34;15:50;15:48;16:05;16:03;16:20;16:19;16:35;16:34;16:50;16:51;17:05;17:06;17:20;17:19;17:35;17:38;17:50;17:49;18:05;18:05;18:20;18:19;18:35;18:35;18:50;18:49;19:05;19:03;19:20;19:21;19:35;19:34;19:50;19:50;20:05;20:07;20:20;20:19;20:35;20:35;20:50;20:49;21:05;21:04;21:20;21:20;21:35;21:34;21:50;21:49;22:05;22:06;22:20;22:22;22:35;22:34;22:50;22:52;23:05;23:04;23:33;23:34;00:03;00:03;00:33;00:32
