Kurs:;99;;99;;99;;83;;81;;92;;94;;82;;83;;81;;92;;94;;95;;91;;92;;93;;94;;95;;91;;92;;93;;94;;95;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;92;;94;;95;;84;;85;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Dr.-H.-Duncker-Straße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09:18;09:18;09:33;09:33;09:48;09:48;10:03;10:03;10:18;10:18;10:33;10:33;10:48;10:48;11:03;11:03;11:18;11:18;11:33;11:33;11:48;11:48;12:03;12:03;12:18;12:18;12:33;12:32;12:48;12:51;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:48;14:03;14:03;14:18;14:18;14:33;14:33;14:48;14:48;15:03;15:03;15:18;15:18;15:33;15:33;15:48;15:49;16:03;16:03;16:18;16:22;16:33;16:33;16:48;16:48;17:03;17:03;17:18;17:18;17:33;17:33;17:48;17:48;18:03;18:03;18:18;18:18;18:33;18:32;18:48;18:48;19:03;19:03;19:18;19:18;19:33;19:33;19:48;19:47;20:03;20:03;20:18;20:18;20:33;20:33;20:48;20:51;21:04;21:05;21:34;21:34;22:02;22:03;22:22;22:22;;;;
Morgensternstraße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09:19;09:19;09:34;09:34;09:49;09:50;10:04;10:04;10:19;10:19;10:34;10:34;10:49;10:49;11:04;11:04;11:19;11:19;11:34;11:34;11:49;11:49;12:04;12:05;12:19;12:19;12:34;12:33;12:49;12:52;13:04;13:04;13:19;13:20;13:34;13:34;13:49;13:49;14:04;14:04;14:19;14:19;14:34;14:34;14:49;14:49;15:04;15:04;15:19;15:19;15:34;15:34;15:49;15:51;16:04;16:05;16:19;16:24;16:34;16:34;16:49;16:49;17:04;17:04;17:19;17:20;17:34;17:34;17:49;17:49;18:04;18:04;18:19;18:19;18:34;18:34;18:49;18:49;19:04;19:04;19:19;19:19;19:34;19:33;19:49;19:48;20:04;20:05;20:19;20:19;20:34;20:34;20:49;20:52;21:05;21:07;21:35;21:35;22:03;22:04;22:23;22:24;;;;
Gröpplerstraße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09:20;09:20;09:35;09:35;09:50;09:50;10:05;10:04;10:20;10:19;10:35;10:35;10:50;10:50;11:05;11:05;11:20;11:20;11:35;11:35;11:50;11:50;12:05;12:05;12:20;12:20;12:35;12:34;12:50;12:53;13:05;13:05;13:20;13:20;13:35;13:35;13:50;13:50;14:05;14:05;14:20;14:20;14:35;14:35;14:50;14:50;15:05;15:05;15:20;15:20;15:35;15:35;15:50;15:52;16:05;16:05;16:20;16:25;16:35;16:35;16:50;16:50;17:05;17:06;17:20;17:20;17:35;17:35;17:50;17:50;18:05;18:05;18:20;18:20;18:35;18:35;18:50;18:50;19:05;19:04;19:20;19:20;19:35;19:34;19:50;19:49;20:05;20:06;20:20;20:20;20:35;20:35;20:50;20:53;21:06;21:08;21:36;21:35;22:04;22:05;22:24;22:25;;;;
Lindenau, Bushof;01:26;01:26;02:37;02:37;03:48;03:49;04:26;04:26;04:56;04:56;05:26;05:27;05:56;05:57;06:26;06:26;06:56;06:57;07:26;07:26;07:56;07:58;08:26;08:29;08:56;08:57;09:07;09:07;09:22;09:22;09:37;09:37;09:52;09:52;10:07;10:07;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:07;11:22;11:22;11:37;11:38;11:52;11:53;12:07;12:07;12:22;12:25;12:37;12:37;12:52;12:55;13:07;13:07;13:22;13:23;13:37;13:38;13:52;13:52;14:07;14:08;14:22;14:22;14:37;14:37;14:52;14:55;15:07;15:07;15:22;15:22;15:37;15:38;15:52;15:56;16:07;16:08;16:22;16:27;16:37;16:37;16:52;16:55;17:07;17:08;17:22;17:23;17:37;17:38;17:52;17:52;18:07;18:07;18:22;18:22;18:37;18:37;18:52;18:52;19:07;19:07;19:22;19:22;19:37;19:38;19:52;19:53;20:07;20:08;20:22;20:22;20:37;20:36;20:52;20:54;21:08;21:10;21:38;21:38;22:06;22:07;22:26;22:27;22:56;22:56;23:26;23:26
S-Bf. Plagwitz;01:27;01:28;02:38;02:38;03:49;03:50;04:27;04:28;04:57;04:57;05:27;05:28;05:57;05:59;06:27;06:28;06:57;06:58;07:27;07:28;07:57;08:00;08:27;08:31;08:57;08:58;09:08;09:08;09:23;09:24;09:38;09:39;09:53;09:54;10:08;10:09;10:23;10:23;10:38;10:39;10:53;10:54;11:08;11:09;11:23;11:23;11:38;11:40;11:53;11:55;12:08;12:09;12:23;12:26;12:38;12:39;12:53;12:56;13:08;13:08;13:23;13:24;13:38;13:39;13:53;13:54;14:08;14:09;14:23;14:24;14:38;14:38;14:53;14:57;15:08;15:09;15:23;15:24;15:38;15:40;15:53;15:57;16:08;16:09;16:23;16:28;16:38;16:39;16:53;16:56;17:08;17:09;17:23;17:25;17:38;17:40;17:53;17:53;18:08;18:09;18:23;18:24;18:38;18:40;18:53;18:54;19:08;19:08;19:23;19:24;19:38;19:39;19:53;19:56;20:08;20:11;20:23;20:24;20:38;20:38;20:53;20:56;21:09;21:12;21:39;21:39;22:07;22:08;22:27;22:29;22:57;22:57;23:27;23:30
Zollschuppenstraße;01:28;01:28;02:39;02:38;03:50;03:50;04:28;04:29;04:58;04:57;05:28;05:29;05:58;05:59;06:28;06:28;06:58;06:59;07:28;07:29;07:58;08:01;08:28;08:32;08:58;08:58;09:09;09:08;09:24;09:24;09:39;09:39;09:54;09:54;10:09;10:09;10:24;10:23;10:39;10:39;10:54;10:54;11:09;11:09;11:24;11:23;11:39;11:40;11:54;11:55;12:09;12:10;12:24;12:26;12:39;12:39;12:54;12:57;13:09;13:09;13:24;13:25;13:39;13:39;13:54;13:54;14:09;14:10;14:24;14:24;14:39;14:39;14:54;14:57;15:09;15:09;15:24;15:24;15:39;15:40;15:54;15:57;16:09;16:09;16:24;16:28;16:39;16:39;16:54;16:56;17:09;17:10;17:24;17:26;17:39;17:41;17:54;17:54;18:09;18:10;18:24;18:25;18:39;18:41;18:54;18:55;19:09;19:09;19:24;19:25;19:39;19:39;19:54;19:56;20:09;20:11;20:24;20:24;20:39;20:38;20:54;20:56;21:10;21:12;21:40;21:40;22:08;22:08;22:28;22:29;22:58;22:57;23:28;23:30
Naumburger Straße;01:29;01:29;02:40;02:40;03:51;03:51;04:29;04:31;04:59;04:59;05:29;05:30;05:59;06:01;06:29;06:29;06:59;07:00;07:29;07:30;07:59;08:02;08:29;08:32;08:59;09:00;09:10;09:09;09:25;09:25;09:40;09:40;09:55;09:55;10:10;10:10;10:25;10:26;10:40;10:39;10:55;10:55;11:10;11:10;11:25;11:24;11:40;11:41;11:55;11:56;12:10;12:11;12:25;12:27;12:40;12:40;12:55;12:58;13:10;13:10;13:25;13:26;13:40;13:40;13:55;13:55;14:10;14:11;14:25;14:25;14:40;14:40;14:55;14:58;15:10;15:10;15:25;15:25;15:40;15:41;15:55;15:58;16:10;16:10;16:25;16:29;16:40;16:40;16:55;16:58;17:10;17:11;17:25;17:27;17:40;17:42;17:55;17:55;18:10;18:11;18:25;18:26;18:40;18:41;18:55;18:56;19:10;19:10;19:25;19:26;19:40;19:41;19:55;19:57;20:10;20:12;20:25;20:25;20:40;20:40;20:55;20:57;21:11;21:13;21:41;21:41;22:09;22:09;22:29;22:31;22:59;22:58;23:29;23:31
Siemensstraße;01:30;01:31;02:41;02:41;03:52;03:52;04:30;04:32;05:00;05:00;05:30;05:32;06:00;06:02;06:30;06:31;07:00;07:01;07:30;07:31;08:00;08:03;08:30;08:33;09:00;09:01;09:11;09:10;09:26;09:27;09:41;09:41;09:56;09:56;10:11;10:11;10:26;10:27;10:41;10:41;10:56;10:56;11:11;11:11;11:26;11:25;11:41;11:42;11:56;11:58;12:11;12:12;12:26;12:28;12:41;12:41;12:56;12:59;13:11;13:10;13:26;13:26;13:41;13:42;13:56;13:57;14:11;14:11;14:26;14:26;14:41;14:41;14:56;14:59;15:11;15:11;15:26;15:26;15:41;15:42;15:56;15:59;16:11;16:11;16:26;16:30;16:41;16:41;16:56;16:59;17:11;17:12;17:26;17:27;17:41;17:43;17:56;17:56;18:11;18:12;18:26;18:27;18:41;18:42;18:56;18:57;19:11;19:11;19:26;19:27;19:41;19:42;19:56;19:58;20:11;20:13;20:26;20:26;20:41;20:41;20:56;20:59;21:12;21:14;21:42;21:42;22:10;22:10;22:30;22:32;23:00;22:59;23:30;23:32
Adler;01:32;01:32;02:43;02:43;03:54;03:53;04:32;04:34;05:02;05:03;05:32;05:33;06:02;06:04;06:32;06:33;07:02;07:03;07:32;07:32;08:02;08:05;08:32;08:36;09:02;09:03;09:13;09:12;09:28;09:29;09:43;09:43;09:58;09:59;10:13;10:13;10:28;10:28;10:43;10:43;10:58;10:57;11:13;11:13;11:28;11:28;11:43;11:44;11:58;12:00;12:13;12:15;12:28;12:31;12:43;12:44;12:58;13:03;13:13;13:12;13:28;13:29;13:43;13:44;13:58;13:59;14:13;14:13;14:28;14:28;14:43;14:43;14:58;15:01;15:13;15:13;15:28;15:28;15:43;15:44;15:58;16:02;16:13;16:14;16:28;16:34;16:43;16:43;16:58;17:02;17:13;17:15;17:28;17:30;17:43;17:45;17:58;17:59;18:13;18:15;18:28;18:30;18:43;18:45;18:58;19:00;19:13;19:14;19:28;19:30;19:43;19:44;19:58;20:02;20:13;20:15;20:28;20:29;20:43;20:44;20:58;21:02;21:14;21:16;21:44;21:44;22:12;22:12;22:32;22:33;23:02;23:02;23:32;23:33
Rödelstraße;01:34;01:34;02:45;02:46;03:56;03:55;04:34;04:36;05:04;05:04;05:34;05:35;06:04;06:06;06:34;06:35;07:04;07:05;07:34;07:34;08:04;08:07;08:34;08:38;09:04;09:05;09:15;09:15;09:30;09:32;09:45;09:45;10:00;10:01;10:15;10:16;10:30;10:30;10:45;10:45;11:00;11:00;11:15;11:16;11:30;11:30;11:45;11:46;12:00;12:03;12:15;12:17;12:30;12:33;12:45;12:46;13:00;13:05;13:15;13:14;13:30;13:32;13:45;13:46;14:00;14:01;14:15;14:16;14:30;14:31;14:45;14:46;15:00;15:04;15:15;15:16;15:30;15:30;15:45;15:46;16:00;16:05;16:15;16:16;16:30;16:36;16:45;16:46;17:00;17:04;17:15;17:18;17:30;17:33;17:45;17:48;18:00;18:01;18:15;18:18;18:30;18:32;18:45;18:47;19:00;19:02;19:15;19:16;19:30;19:32;19:45;19:46;20:00;20:04;20:15;20:17;20:30;20:31;20:45;20:46;21:00;21:04;21:16;21:18;21:46;21:47;22:14;22:14;22:34;22:36;23:04;23:03;23:34;23:36
Rochlitzstraße;01:35;01:35;02:46;02:47;03:57;03:57;04:35;04:36;05:05;05:05;05:35;05:36;06:05;06:07;06:35;06:36;07:05;07:05;07:35;07:35;08:05;08:08;08:35;08:39;09:05;09:05;09:16;09:16;09:31;09:32;09:46;09:46;10:01;10:02;10:16;10:16;10:31;10:31;10:46;10:46;11:01;11:01;11:16;11:16;11:31;11:32;11:46;11:47;12:01;12:04;12:16;12:17;12:31;12:33;12:46;12:47;13:01;13:06;13:16;13:15;13:31;13:33;13:46;13:47;14:01;14:02;14:16;14:16;14:31;14:32;14:46;14:47;15:01;15:05;15:16;15:17;15:31;15:31;15:46;15:48;16:01;16:06;16:16;16:16;16:31;16:36;16:46;16:47;17:01;17:05;17:16;17:19;17:31;17:34;17:46;17:49;18:01;18:01;18:16;18:19;18:31;18:33;18:46;18:48;19:01;19:03;19:16;19:17;19:31;19:33;19:46;19:47;20:01;20:05;20:16;20:18;20:31;20:32;20:46;20:46;21:01;21:05;21:17;21:19;21:47;21:48;22:15;22:15;22:35;22:37;23:05;23:04;23:35;23:36
Nonnenweg;01:36;01:35;02:47;02:47;03:58;03:57;04:36;04:37;05:06;05:05;05:36;05:36;06:06;06:08;06:36;06:36;07:06;07:06;07:36;07:36;08:06;08:09;08:36;08:39;09:06;09:06;09:17;09:17;09:32;09:33;09:47;09:46;10:02;10:03;10:17;10:17;10:32;10:32;10:47;10:46;11:02;11:01;11:17;11:17;11:32;11:32;11:47;11:48;12:02;12:04;12:17;12:18;12:32;12:34;12:47;12:47;13:02;13:06;13:17;13:15;13:32;13:33;13:47;13:48;14:02;14:02;14:17;14:17;14:32;14:32;14:47;14:48;15:02;15:06;15:17;15:17;15:32;15:32;15:47;15:48;16:02;16:07;16:17;16:17;16:32;16:37;16:47;16:48;17:02;17:05;17:17;17:19;17:32;17:35;17:47;17:50;18:02;18:02;18:17;18:19;18:32;18:33;18:47;18:49;19:02;19:04;19:17;19:17;19:32;19:33;19:47;19:47;20:02;20:05;20:17;20:19;20:32;20:32;20:47;20:47;21:02;21:06;21:18;21:19;21:48;21:48;22:16;22:16;22:36;22:37;23:06;23:05;23:36;23:37
