Kurs:;99;;99;;99;;83;;81;;92;;94;;82;;83;;81;;92;;94;;95;;91;;92;;93;;94;;95;;91;;92;;93;;94;;95;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;92;;94;;95;;84;;85;
Rennbahn;01:37;01:36;02:48;02:48;03:59;03:58;04:37;04:38;05:07;05:07;05:37;05:37;06:07;06:09;06:37;06:37;07:07;07:06;07:37;07:36;08:07;08:10;08:37;08:40;09:07;09:07;09:18;09:17;09:33;09:34;09:48;09:47;10:03;10:04;10:18;10:17;10:33;10:32;10:48;10:47;11:03;11:02;11:18;11:18;11:33;11:33;11:48;11:49;12:03;12:05;12:18;12:19;12:33;12:35;12:48;12:48;13:03;13:07;13:18;13:16;13:33;13:34;13:48;13:49;14:03;14:03;14:18;14:18;14:33;14:33;14:48;14:48;15:03;15:07;15:18;15:18;15:33;15:33;15:48;15:49;16:03;16:08;16:18;16:18;16:33;16:38;16:48;16:50;17:03;17:06;17:18;17:20;17:33;17:36;17:48;17:51;18:03;18:03;18:18;18:20;18:33;18:34;18:48;18:50;19:03;19:05;19:18;19:18;19:33;19:34;19:48;19:48;20:03;20:06;20:18;20:19;20:33;20:33;20:48;20:47;21:03;21:06;21:19;21:20;21:49;21:49;22:17;22:17;22:37;22:38;23:07;23:05;23:37;23:37
Fockestraße;01:38;01:37;02:49;02:49;04:00;04:00;04:38;04:39;05:08;05:08;05:38;05:38;06:08;06:10;06:38;06:37;07:08;07:08;07:38;07:37;08:08;08:11;08:38;08:42;09:08;09:09;09:19;09:19;09:34;09:35;09:49;09:49;10:04;10:05;10:19;10:19;10:34;10:34;10:49;10:49;11:04;11:03;11:19;11:20;11:34;11:34;11:49;11:50;12:04;12:06;12:19;12:20;12:34;12:36;12:49;12:49;13:04;13:09;13:19;13:17;13:34;13:36;13:49;13:50;14:04;14:05;14:19;14:19;14:34;14:35;14:49;14:50;15:04;15:09;15:19;15:20;15:34;15:34;15:49;15:50;16:04;16:10;16:19;16:19;16:34;16:39;16:49;16:51;17:04;17:07;17:19;17:22;17:34;17:37;17:49;17:52;18:04;18:05;18:19;18:21;18:34;18:35;18:49;18:51;19:04;19:06;19:19;19:19;19:34;19:35;19:49;19:49;20:04;20:07;20:19;20:21;20:34;20:34;20:49;20:48;21:04;21:07;21:20;21:22;21:50;21:50;22:18;22:18;22:38;22:40;23:08;23:07;23:38;23:39
K.-Liebkn.-/K.-Eisner-S.;01:39;01:39;02:50;02:50;04:01;04:04;04:39;04:41;05:09;05:10;05:39;05:41;06:09;06:12;06:39;06:39;07:09;07:10;07:39;07:39;08:09;08:13;08:39;08:45;09:09;09:10;09:21;09:21;09:36;09:37;09:51;09:50;10:06;10:07;10:21;10:21;10:36;10:36;10:51;10:50;11:06;11:05;11:21;11:22;11:36;11:37;11:51;11:53;12:06;12:08;12:21;12:22;12:36;12:37;12:51;12:50;13:06;13:12;13:21;13:20;13:36;13:37;13:51;13:51;14:06;14:06;14:21;14:21;14:36;14:37;14:51;14:52;15:06;15:11;15:21;15:21;15:36;15:35;15:51;15:51;16:06;16:11;16:21;16:21;16:36;16:41;16:51;16:53;17:06;17:09;17:21;17:23;17:36;17:39;17:51;17:54;18:06;18:06;18:21;18:23;18:36;18:37;18:51;18:53;19:06;19:07;19:21;19:21;19:36;19:37;19:51;19:51;20:06;20:09;20:21;20:22;20:36;20:35;20:51;20:50;21:06;21:09;21:21;21:23;21:51;21:51;22:19;22:20;22:39;22:42;23:09;23:08;23:39;23:41
K.-Eisner-/A.-Hoffm.-S.;01:40;01:40;02:51;02:51;04:02;04:04;04:40;04:42;05:10;05:10;05:40;05:41;06:10;06:12;06:40;06:40;07:10;07:11;07:40;07:40;08:10;08:13;08:40;08:45;09:10;09:11;09:22;09:23;09:37;09:37;09:52;09:51;10:07;10:08;10:22;10:22;10:37;10:36;10:52;10:51;11:07;11:05;11:22;11:23;11:37;11:37;11:52;11:53;12:07;12:08;12:22;12:23;12:37;12:37;12:52;12:51;13:07;13:13;13:22;13:20;13:37;13:38;13:52;13:52;14:07;14:07;14:22;14:21;14:37;14:37;14:52;14:52;15:07;15:12;15:22;15:22;15:37;15:36;15:52;15:52;16:07;16:12;16:22;16:22;16:37;16:41;16:52;16:53;17:07;17:10;17:22;17:24;17:37;17:40;17:52;17:55;18:07;18:07;18:22;18:24;18:37;18:37;18:52;18:53;19:07;19:08;19:22;19:21;19:37;19:37;19:52;19:52;20:07;20:09;20:22;20:23;20:37;20:36;20:52;20:51;21:07;21:09;21:22;21:24;21:52;21:52;22:20;22:20;22:40;22:43;23:10;23:09;23:40;23:41
Körnerstraße;01:41;01:42;02:52;02:53;04:03;04:06;04:41;04:43;05:11;05:12;05:41;05:43;06:11;06:14;06:41;06:42;07:11;07:12;07:41;07:42;08:11;08:15;08:41;08:47;09:11;09:12;09:23;09:24;09:38;09:40;09:53;09:52;10:08;10:10;10:23;10:23;10:38;10:38;10:53;10:52;11:08;11:07;11:23;11:24;11:38;11:39;11:53;11:55;12:08;12:10;12:23;12:24;12:38;12:39;12:53;12:53;13:08;13:14;13:23;13:22;13:38;13:39;13:53;13:54;14:08;14:09;14:23;14:23;14:38;14:39;14:53;14:54;15:08;15:14;15:23;15:23;15:38;15:38;15:53;15:54;16:08;16:14;16:23;16:23;16:38;16:43;16:53;16:55;17:08;17:11;17:23;17:26;17:38;17:42;17:53;17:56;18:08;18:08;18:23;18:26;18:38;18:39;18:53;18:55;19:08;19:10;19:23;19:23;19:38;19:39;19:53;19:54;20:08;20:11;20:23;20:24;20:38;20:38;20:53;20:52;21:08;21:11;21:23;21:25;21:53;21:54;22:21;22:22;22:41;22:44;23:11;23:11;23:41;23:43
Bayerischer Bahnhof;01:43;01:43;02:54;02:53;04:05;04:07;04:43;04:44;05:13;05:14;05:43;05:45;06:13;06:15;06:43;06:44;07:13;07:13;07:43;07:43;08:13;08:16;08:43;08:48;09:13;09:13;09:25;09:26;09:40;09:41;09:55;09:54;10:10;10:11;10:25;10:24;10:40;10:39;10:55;10:54;11:10;11:08;11:25;11:26;11:40;11:40;11:55;11:56;12:10;12:11;12:25;12:26;12:40;12:41;12:55;12:54;13:10;13:16;13:25;13:23;13:40;13:41;13:55;13:55;14:10;14:10;14:25;14:24;14:40;14:41;14:55;14:55;15:10;15:15;15:25;15:25;15:40;15:39;15:55;15:55;16:10;16:15;16:25;16:24;16:40;16:44;16:55;16:56;17:10;17:12;17:25;17:27;17:40;17:43;17:55;17:57;18:10;18:10;18:25;18:27;18:40;18:40;18:55;18:56;19:10;19:11;19:25;19:24;19:40;19:40;19:55;19:55;20:10;20:12;20:25;20:25;20:40;20:40;20:55;20:54;21:10;21:12;21:25;21:27;21:55;21:55;22:23;22:23;22:43;22:45;23:13;23:12;23:43;23:44
Johannisallee;01:45;01:45;02:56;02:56;04:07;04:09;04:45;04:47;05:15;05:17;05:45;05:48;06:15;06:17;06:45;06:46;07:15;07:15;07:45;07:45;08:15;08:19;08:45;08:50;09:15;09:15;09:27;09:29;09:42;09:44;09:57;09:56;10:12;10:14;10:27;10:28;10:42;10:43;10:57;10:56;11:12;11:11;11:27;11:29;11:42;11:43;11:57;11:59;12:12;12:14;12:27;12:27;12:42;12:44;12:57;12:57;13:12;13:19;13:27;13:26;13:42;13:44;13:57;13:58;14:12;14:13;14:27;14:26;14:42;14:44;14:57;14:58;15:12;15:19;15:27;15:28;15:42;15:43;15:57;15:58;16:12;16:18;16:27;16:28;16:42;16:47;16:57;16:59;17:12;17:16;17:27;17:31;17:42;17:46;17:57;18:01;18:12;18:13;18:27;18:31;18:42;18:42;18:57;18:59;19:12;19:14;19:27;19:28;19:42;19:43;19:57;19:58;20:12;20:16;20:27;20:28;20:42;20:42;20:57;20:56;21:12;21:15;21:27;21:29;21:57;21:57;22:25;22:25;22:45;22:48;23:15;23:14;23:45;23:46
Liebigstraße;01:46;01:45;02:57;02:56;04:08;04:09;04:46;04:47;05:16;05:17;05:46;05:49;06:16;06:18;06:46;06:47;07:16;07:16;07:46;07:45;08:16;08:19;08:46;08:50;09:16;09:16;09:28;09:29;09:43;09:44;09:58;09:57;10:13;10:14;10:28;10:28;10:43;10:43;10:58;10:57;11:13;11:12;11:28;11:30;11:43;11:43;11:58;12:00;12:13;12:15;12:28;12:28;12:43;12:45;12:58;12:57;13:13;13:19;13:28;13:27;13:43;13:45;13:58;13:58;14:13;14:13;14:28;14:27;14:43;14:45;14:58;14:59;15:13;15:20;15:28;15:28;15:43;15:44;15:58;15:58;16:13;16:19;16:28;16:28;16:43;16:48;16:58;17:00;17:13;17:16;17:28;17:31;17:43;17:46;17:58;18:01;18:13;18:13;18:28;18:31;18:43;18:43;18:58;19:00;19:13;19:15;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:16;20:28;20:28;20:43;20:43;20:58;20:57;21:13;21:16;21:28;21:29;21:58;21:58;22:26;22:26;22:46;22:49;23:16;23:14;23:46;23:47
Ostplatz;01:47;01:46;02:58;02:58;04:09;04:10;04:47;04:49;05:17;05:19;05:47;05:50;06:17;06:19;06:47;06:49;07:17;07:17;07:47;07:46;08:17;08:21;08:47;08:52;09:17;09:17;09:29;09:31;09:44;09:46;09:59;09:58;10:14;10:16;10:29;10:29;10:44;10:44;10:59;10:58;11:14;11:13;11:29;11:31;11:44;11:44;11:59;12:01;12:14;12:16;12:29;12:29;12:44;12:46;12:59;12:59;13:14;13:21;13:29;13:28;13:44;13:46;13:59;13:59;14:14;14:14;14:29;14:28;14:44;14:46;14:59;14:59;15:14;15:20;15:29;15:29;15:44;15:44;15:59;15:59;16:14;16:20;16:29;16:29;16:44;16:49;16:59;17:01;17:14;17:17;17:29;17:32;17:44;17:47;17:59;18:02;18:14;18:14;18:29;18:32;18:44;18:44;18:59;19:01;19:14;19:16;19:29;19:29;19:44;19:43;19:59;19:59;20:14;20:17;20:29;20:29;20:44;20:44;20:59;20:58;21:14;21:17;21:29;21:31;21:59;21:59;22:27;22:28;22:47;22:50;23:17;23:16;23:47;23:47
Schulze-Boysen-Straße;01:48;01:47;02:59;02:59;04:10;04:11;04:48;04:50;05:18;05:20;05:48;05:51;06:18;06:20;06:48;06:50;07:18;07:18;07:48;07:47;08:18;08:21;08:48;08:53;09:18;09:18;09:30;09:32;09:45;09:47;10:00;09:59;10:15;10:16;10:30;10:30;10:45;10:45;11:00;10:59;11:15;11:13;11:30;11:32;11:45;11:45;12:00;12:01;12:15;12:17;12:30;12:30;12:45;12:47;13:00;13:00;13:15;13:22;13:30;13:29;13:45;13:47;14:00;14:00;14:15;14:15;14:30;14:29;14:45;14:47;15:00;15:00;15:15;15:21;15:30;15:30;15:45;15:45;16:00;16:00;16:15;16:21;16:30;16:30;16:45;16:50;17:00;17:02;17:15;17:18;17:30;17:33;17:45;17:48;18:00;18:03;18:15;18:15;18:30;18:33;18:45;18:45;19:00;19:02;19:15;19:17;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:18;20:30;20:30;20:45;20:45;21:00;20:59;21:15;21:18;21:30;21:31;22:00;22:00;22:28;22:29;22:48;22:51;23:18;23:16;23:48;23:49
Riebeck-/Oststraße;01:49;01:48;03:00;03:00;04:11;04:12;04:49;04:51;05:19;05:21;05:49;05:52;06:19;06:21;06:49;06:51;07:19;07:19;07:49;07:48;08:19;08:23;08:49;08:55;09:19;09:19;09:31;09:33;09:46;09:48;10:01;10:00;10:16;10:18;10:31;10:31;10:46;10:46;11:01;11:01;11:16;11:15;11:31;11:33;11:46;11:47;12:01;12:02;12:16;12:18;12:31;12:31;12:46;12:48;13:01;13:01;13:16;13:23;13:31;13:30;13:46;13:48;14:01;14:01;14:16;14:17;14:31;14:30;14:46;14:49;15:01;15:02;15:16;15:23;15:31;15:32;15:46;15:47;16:01;16:02;16:16;16:23;16:31;16:32;16:46;16:52;17:01;17:03;17:16;17:19;17:31;17:35;17:46;17:49;18:01;18:05;18:16;18:16;18:31;18:35;18:46;18:47;19:01;19:04;19:16;19:18;19:31;19:31;19:46;19:47;20:01;20:01;20:16;20:20;20:31;20:31;20:46;20:47;21:01;21:00;21:16;21:20;21:31;21:33;22:01;22:02;22:29;22:31;22:49;22:52;23:19;23:18;23:49;23:50
Holsteinstraße;01:50;01:49;03:01;03:01;04:12;04:13;04:50;04:52;05:20;05:22;05:50;05:53;06:20;06:22;06:50;06:51;07:20;07:19;07:50;07:49;08:20;08:24;08:50;08:55;09:20;09:20;09:33;09:34;09:48;09:48;10:03;10:01;10:18;10:18;10:33;10:31;10:48;10:47;11:03;11:02;11:18;11:16;11:33;11:33;11:48;11:47;12:03;12:03;12:18;12:19;12:33;12:32;12:48;12:49;13:03;13:02;13:18;13:24;13:33;13:31;13:48;13:49;14:03;14:02;14:18;14:18;14:33;14:31;14:48;14:50;15:03;15:02;15:18;15:24;15:33;15:32;15:48;15:49;16:03;16:02;16:18;16:24;16:33;16:33;16:48;16:53;17:03;17:04;17:18;17:20;17:33;17:36;17:48;17:50;18:03;18:06;18:18;18:17;18:33;18:36;18:48;18:48;19:03;19:05;19:18;19:19;19:33;19:32;19:48;19:48;20:03;20:02;20:18;20:21;20:33;20:32;20:48;20:48;21:03;21:01;21:18;21:21;21:32;21:34;22:02;22:03;22:30;22:32;22:50;22:53;23:20;23:19;23:50;23:51
Lipsiusstraße;01:51;01:50;03:02;03:02;04:13;04:14;04:51;04:53;05:21;05:23;05:51;05:54;06:21;06:23;06:51;06:53;07:21;07:21;07:51;07:50;08:21;08:25;08:51;08:57;09:21;09:21;09:34;09:35;09:49;09:50;10:04;10:02;10:19;10:20;10:34;10:33;10:49;10:48;11:04;11:03;11:19;11:17;11:34;11:35;11:49;11:48;12:04;12:04;12:19;12:20;12:34;12:33;12:49;12:51;13:04;13:03;13:19;13:26;13:34;13:32;13:49;13:51;14:04;14:03;14:19;14:20;14:34;14:32;14:49;14:51;15:04;15:04;15:19;15:25;15:34;15:34;15:49;15:50;16:04;16:04;16:19;16:25;16:34;16:34;16:49;16:54;17:04;17:05;17:19;17:21;17:34;17:37;17:49;17:52;18:04;18:07;18:19;18:19;18:34;18:38;18:49;18:49;19:04;19:06;19:19;19:21;19:34;19:33;19:49;19:49;20:04;20:03;20:19;20:22;20:34;20:33;20:49;20:49;21:04;21:02;21:19;21:22;21:33;21:35;22:03;22:04;22:31;22:33;22:51;22:55;23:21;23:20;23:51;23:52
