Kurs:;43;;44;;45;;46;;13;;14;;15;;16;;43;;44;;45;;46;;13;;14;;15;;16;;43;;44;;45;;46;;13;;14;;15;;16;;43;;44;;45;;46;;14;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Grünau-Nord;11:59;11:58;12:14;12:14;12:29;12:30;12:44;12:44;12:59;12:59;13:14;13:13;13:29;13:29;13:44;13:44;13:59;13:58;14:14;14:14;14:29;14:29;14:44;14:44;14:59;14:59;15:14;15:13;15:29;15:28;15:44;15:44;15:59;15:59;16:14;16:14;16:29;16:28;16:44;16:43;16:59;16:59;17:14;17:14;17:29;17:29;17:44;17:44;17:59;18:00;18:14;18:14;18:29;18:28;18:44;18:43;19:14;19:14
Schönauer Ring;12:00;12:01;12:15;12:16;12:30;12:32;12:45;12:46;13:00;13:01;13:15;13:15;13:30;13:31;13:45;13:46;14:00;14:01;14:15;14:16;14:30;14:31;14:45;14:46;15:00;15:01;15:15;15:15;15:30;15:31;15:45;15:46;16:00;16:01;16:15;16:16;16:30;16:30;16:45;16:44;17:00;17:01;17:15;17:16;17:30;17:31;17:45;17:46;18:00;18:02;18:15;18:15;18:30;18:29;18:45;18:44;19:15;19:16
Parkallee;12:01;12:02;12:16;12:17;12:31;12:34;12:46;12:47;13:01;13:02;13:16;13:16;13:31;13:32;13:46;13:47;14:01;14:02;14:16;14:17;14:31;14:32;14:46;14:47;15:01;15:02;15:16;15:17;15:31;15:32;15:46;15:47;16:01;16:02;16:16;16:17;16:31;16:32;16:46;16:45;17:01;17:02;17:16;17:17;17:31;17:32;17:46;17:47;18:01;18:04;18:16;18:17;18:31;18:30;18:46;18:46;19:16;19:17
Grünauer Allee;12:02;12:03;12:17;12:18;12:32;12:35;12:47;12:48;13:02;13:03;13:17;13:17;13:32;13:33;13:47;13:48;14:02;14:03;14:17;14:18;14:32;14:33;14:47;14:48;15:02;15:03;15:17;15:18;15:32;15:33;15:47;15:48;16:02;16:04;16:17;16:18;16:32;16:33;16:47;16:46;17:02;17:03;17:17;17:18;17:32;17:33;17:47;17:48;18:02;18:05;18:17;18:18;18:32;18:31;18:47;18:47;19:17;19:18
Saarländer Straße;12:04;12:04;12:19;12:19;12:34;12:36;12:49;12:49;13:04;13:04;13:19;13:18;13:34;13:34;13:49;13:50;14:04;14:04;14:19;14:20;14:34;14:35;14:49;14:49;15:04;15:04;15:19;15:19;15:34;15:34;15:49;15:50;16:04;16:05;16:19;16:19;16:34;16:34;16:49;16:48;17:04;17:05;17:19;17:20;17:34;17:34;17:49;17:50;18:04;18:06;18:19;18:19;18:34;18:32;18:49;18:48;19:19;19:19
Credéstraße;12:05;12:05;12:20;12:21;12:35;12:37;12:50;12:50;13:05;13:06;13:20;13:20;13:35;13:36;13:50;13:51;14:05;14:06;14:20;14:21;14:35;14:36;14:50;14:51;15:05;15:06;15:20;15:20;15:35;15:36;15:50;15:51;16:05;16:06;16:20;16:20;16:35;16:35;16:50;16:49;17:05;17:06;17:20;17:21;17:35;17:36;17:50;17:51;18:05;18:07;18:20;18:21;18:35;18:34;18:50;18:49;19:20;19:20
Lindenau, Bushof;12:06;12:06;12:21;12:22;12:36;12:39;12:51;12:51;13:06;13:07;13:21;13:21;13:36;13:37;13:51;13:52;14:06;14:06;14:21;14:22;14:36;14:37;14:51;14:52;15:06;15:07;15:21;15:21;15:36;15:36;15:51;15:52;16:06;16:07;16:21;16:21;16:36;16:36;16:51;16:50;17:06;17:07;17:21;17:22;17:36;17:37;17:51;17:52;18:06;18:09;18:21;18:22;18:36;18:35;18:51;18:50;19:21;19:21
Henriettenstraße;12:07;12:07;12:22;12:23;12:37;12:40;12:52;12:52;13:07;13:08;13:22;13:22;13:37;13:38;13:52;13:53;14:07;14:08;14:22;14:23;14:37;14:38;14:52;14:53;15:07;15:08;15:22;15:22;15:37;15:38;15:52;15:53;16:07;16:09;16:22;16:22;16:37;16:37;16:52;16:51;17:07;17:08;17:22;17:23;17:37;17:38;17:52;17:53;18:07;18:10;18:22;18:23;18:37;18:35;18:52;18:51;19:22;19:22
Lützner/Merseburger Str.;12:08;12:08;12:23;12:24;12:38;12:41;12:53;12:53;13:08;13:09;13:23;13:23;13:38;13:39;13:53;13:54;14:08;14:09;14:23;14:24;14:38;14:39;14:53;14:54;15:08;15:09;15:23;15:23;15:38;15:39;15:53;15:54;16:08;16:10;16:23;16:24;16:38;16:38;16:53;16:52;17:08;17:09;17:23;17:24;17:38;17:39;17:53;17:55;18:08;18:11;18:23;18:24;18:38;18:36;18:53;18:52;19:23;19:23
Lindenauer Markt;12:10;12:10;12:25;12:26;12:40;12:43;12:55;12:56;13:10;13:11;13:25;13:25;13:40;13:41;13:55;13:56;14:10;14:11;14:25;14:26;14:40;14:42;14:55;14:57;15:10;15:11;15:25;15:25;15:40;15:41;15:55;15:56;16:10;16:12;16:25;16:26;16:40;16:40;16:55;16:54;17:10;17:11;17:25;17:26;17:40;17:41;17:55;17:57;18:10;18:13;18:25;18:26;18:40;18:38;18:55;18:54;19:25;19:25
Angerbrücke, Strbf.;12:12;12:12;12:27;12:28;12:42;12:45;12:57;12:57;13:12;13:13;13:27;13:27;13:42;13:43;13:57;13:58;14:12;14:13;14:27;14:28;14:42;14:44;14:57;14:59;15:12;15:13;15:27;15:27;15:42;15:44;15:57;15:58;16:12;16:14;16:27;16:27;16:42;16:42;16:57;16:56;17:12;17:13;17:27;17:28;17:42;17:42;17:57;17:59;18:12;18:15;18:27;18:28;18:42;18:39;18:57;18:55;19:27;19:26
Sportforum Süd;12:13;12:13;12:28;12:29;12:43;12:46;12:58;12:59;13:13;13:14;13:28;13:28;13:43;13:44;13:58;13:59;14:13;14:14;14:28;14:30;14:43;14:45;14:58;15:00;15:13;15:14;15:28;15:28;15:43;15:46;15:58;15:59;16:13;16:15;16:28;16:29;16:43;16:43;16:58;16:57;17:13;17:14;17:28;17:29;17:43;17:44;17:58;18:00;18:13;18:17;18:28;18:29;;;;;;
Waldplatz;12:15;12:14;12:30;12:31;12:45;12:49;13:00;13:00;13:15;13:16;13:30;13:29;13:45;13:45;14:00;14:02;14:15;14:16;14:30;14:32;14:45;14:47;15:00;15:02;15:15;15:16;15:30;15:29;15:45;15:49;16:00;16:01;16:15;16:17;16:30;16:31;16:45;16:44;17:00;16:59;17:15;17:17;17:30;17:31;17:45;17:46;18:00;18:02;18:15;18:19;18:30;18:30;;;;;;
Westplatz;12:17;12:16;12:32;12:32;12:47;12:50;13:02;13:02;13:17;13:17;13:32;13:31;13:47;13:47;14:02;14:04;14:17;14:18;14:32;14:34;14:47;14:49;15:02;15:04;15:17;15:18;15:32;15:31;15:47;15:51;16:02;16:02;16:17;16:19;16:32;16:32;16:47;16:46;17:02;17:01;17:17;17:19;17:32;17:32;17:47;17:48;18:02;18:04;18:17;18:20;18:32;18:32;;;;;;
Neues Rathaus;12:19;12:19;12:34;12:34;12:49;12:52;13:04;13:04;13:19;13:19;13:34;13:32;13:49;13:49;14:04;14:05;14:19;14:20;14:34;14:35;14:49;14:50;15:04;15:05;15:19;15:20;15:34;15:34;15:49;15:53;16:04;16:04;16:19;16:22;16:34;16:34;16:49;16:49;17:04;17:02;17:19;17:20;17:34;17:34;17:49;17:49;18:04;18:05;18:19;18:22;18:34;18:34;;;;;;
Wilhelm-Leuschner-Platz;12:21;12:21;12:36;12:35;12:51;12:54;13:06;13:05;13:21;13:20;13:36;13:34;13:51;13:50;14:06;14:07;14:21;14:22;14:36;14:37;14:51;14:52;15:06;15:07;15:21;15:22;15:36;15:35;15:51;15:55;16:06;16:05;16:21;16:24;16:36;16:36;16:51;16:51;17:06;17:05;17:21;17:22;17:36;17:36;17:51;17:50;18:06;18:07;18:21;18:24;18:36;18:35;;;;;;
Augustusplatz;12:23;12:23;12:38;12:38;12:53;12:56;13:08;13:08;13:23;13:23;13:38;13:37;13:53;13:53;14:08;14:10;14:23;14:25;14:38;14:40;14:53;14:55;15:08;15:10;15:23;15:25;15:38;15:38;15:53;15:58;16:08;16:08;16:23;16:26;16:38;16:38;16:53;16:53;17:08;17:08;17:23;17:25;17:38;17:38;17:53;17:53;18:08;18:10;18:23;18:26;18:38;18:38;;;;;;
Wintergartenstraße, Hbf.;12:25;12:26;12:40;12:41;12:55;12:59;13:10;13:11;13:25;13:26;13:40;13:39;13:55;13:56;14:10;14:12;14:25;14:27;14:40;14:42;14:55;14:57;15:10;15:12;15:25;15:27;15:40;15:41;15:55;16:00;16:10;16:11;16:25;16:29;16:40;16:41;16:55;16:56;17:10;17:11;17:25;17:27;17:40;17:41;17:55;17:56;18:10;18:12;18:25;18:29;18:40;18:41;;;;;;
Hofmeisterstraße;12:26;12:26;12:41;12:42;12:56;13:00;13:11;13:11;13:26;13:27;13:41;13:40;13:56;13:57;14:11;14:13;14:26;14:28;14:41;14:43;14:56;14:58;15:11;15:13;15:26;15:28;15:41;15:42;15:56;16:01;16:11;16:12;16:26;16:30;16:41;16:41;16:56;16:57;17:11;17:12;17:26;17:28;17:41;17:42;17:56;17:57;18:11;18:13;18:26;18:30;18:41;18:41;;;;;;
Friedrich-List-Platz;12:28;12:27;12:43;12:43;12:58;13:02;13:13;13:14;13:28;13:27;13:43;13:42;13:58;13:59;14:13;14:14;14:28;14:30;14:43;14:45;14:58;15:00;15:13;15:15;15:28;15:30;15:43;15:43;15:58;16:03;16:13;16:12;16:28;16:32;16:43;16:44;16:58;16:59;17:13;17:14;17:28;17:30;17:43;17:44;17:58;17:59;18:13;18:15;18:28;18:32;18:43;18:42;;;;;;
Einertstraße;12:30;12:30;12:45;12:44;13:00;13:03;13:15;13:15;13:30;13:29;13:45;13:44;14:00;14:00;14:15;14:15;14:30;14:32;14:45;14:47;15:00;15:02;15:15;15:17;15:30;15:32;15:45;15:45;16:00;16:05;16:15;16:14;16:30;16:33;16:45;16:45;17:00;17:00;17:15;17:15;17:30;17:32;17:45;17:45;18:00;18:00;18:15;18:17;18:30;18:33;18:45;18:44;;;;;;
H.-Liebm.-/Eisenbahnstr.;12:31;12:31;12:46;12:46;13:01;13:05;13:16;13:16;13:31;13:30;13:46;13:46;14:01;14:01;14:16;14:16;14:31;14:33;14:46;14:48;15:01;15:03;15:16;15:18;15:31;15:33;15:46;15:46;16:01;16:06;16:16;16:15;16:31;16:35;16:46;16:46;17:01;17:01;17:16;17:17;17:31;17:33;17:46;17:46;18:01;18:02;18:16;18:19;18:31;18:36;18:46;18:45;;;;;;
Torgauer Platz;12:33;12:32;12:48;12:47;13:03;13:06;13:18;13:18;13:33;13:32;13:48;13:47;14:03;14:03;14:18;14:18;14:33;14:35;14:48;14:49;15:03;15:05;15:18;15:19;15:33;15:34;15:48;15:48;16:03;16:08;16:18;16:17;16:33;16:36;16:48;16:48;17:03;17:03;17:18;17:18;17:33;17:35;17:48;17:47;18:03;18:03;18:18;18:20;18:33;18:38;18:48;18:47;;;;;;
Geißlerstraße, Bülowviertel;12:34;12:33;12:49;12:48;13:04;13:07;13:19;13:19;13:34;13:33;13:49;13:48;14:04;14:04;14:19;14:19;14:34;14:37;14:49;14:50;15:04;15:06;15:19;15:20;15:34;15:35;15:49;15:49;16:04;16:09;16:19;16:18;16:34;16:37;16:49;16:49;17:04;17:04;17:19;17:19;17:34;17:36;17:49;17:48;18:04;18:04;18:19;18:21;18:34;18:39;18:49;18:48;;;;;;
Annenstraße;12:35;12:35;12:50;12:49;13:05;13:08;13:20;13:20;13:35;13:34;13:50;13:49;14:05;14:05;14:20;14:20;14:35;14:38;14:50;14:51;15:05;15:07;15:20;15:21;15:35;15:36;15:50;15:50;16:05;16:10;16:20;16:19;16:35;16:39;16:50;16:50;17:05;17:05;17:20;17:20;17:35;17:37;17:50;17:50;18:05;18:06;18:20;18:23;18:35;18:40;18:50;18:49;;;;;;
Sellerhausen;12:36;12:36;12:51;12:51;13:06;13:10;13:21;13:22;13:36;13:35;13:51;13:51;14:06;14:07;14:21;14:21;14:36;14:40;14:51;14:53;15:06;15:08;15:21;15:23;15:36;15:38;15:51;15:51;16:06;16:12;16:21;16:20;16:36;16:41;16:51;16:51;17:06;17:06;17:21;17:22;17:36;17:39;17:51;17:51;18:06;18:07;18:21;18:24;18:36;18:42;18:51;18:51;;;;;;
Ostheimstraße;12:38;12:38;12:53;12:53;13:08;13:12;13:23;13:23;13:38;13:37;13:53;13:53;14:08;14:09;14:23;14:23;14:38;14:42;14:53;14:54;15:08;15:09;15:23;15:24;15:38;15:39;15:53;15:52;16:08;16:13;16:23;16:22;16:38;16:43;16:53;16:53;17:08;17:08;17:23;17:23;17:38;17:41;17:53;17:53;18:08;18:09;18:23;18:26;18:38;18:43;18:53;18:52;;;;;;
Theodor-Heuss-Straße;12:39;12:39;12:54;12:54;13:09;13:14;13:24;13:24;13:39;13:39;13:54;13:54;14:09;14:10;14:24;14:24;14:39;14:43;14:54;14:56;15:09;15:10;15:24;15:25;15:39;15:41;15:54;15:54;16:09;16:15;16:24;16:23;16:39;16:44;16:54;16:54;17:09;17:09;17:24;17:24;17:39;17:44;17:54;17:54;18:09;18:11;18:24;18:27;18:39;18:45;18:54;18:54;;;;;;
Barbarastraße;12:40;12:40;12:55;12:55;13:10;13:15;13:25;13:26;13:40;13:40;13:55;13:55;14:10;14:11;14:25;14:25;14:40;14:44;14:55;14:57;15:10;15:11;15:25;15:26;15:40;15:42;15:55;15:55;16:10;16:16;16:25;16:24;16:40;16:45;16:55;16:55;17:10;17:10;17:25;17:25;17:40;17:45;17:55;17:56;18:10;18:12;18:25;18:28;18:40;18:46;18:55;18:55;;;;;;
Paunsdorf, Strbf.;12:42;12:42;12:57;12:57;13:12;13:16;13:27;13:27;13:42;13:42;13:57;13:57;14:12;14:13;14:27;14:26;14:42;14:46;14:57;14:58;15:12;15:13;15:27;15:28;15:42;15:43;15:57;15:56;16:12;16:18;16:27;16:26;16:42;16:47;16:57;16:57;17:12;17:12;17:27;17:27;17:42;17:46;17:57;17:57;18:12;18:13;18:27;18:30;18:42;18:48;18:57;18:56;;;;;;
Am Vorwerk;12:44;12:44;12:59;12:59;13:14;13:18;13:29;13:29;13:44;13:44;13:59;13:59;14:14;14:15;14:29;14:29;14:44;14:48;14:59;15:00;15:14;15:15;15:29;15:29;15:44;15:45;15:59;15:58;16:14;16:20;16:29;16:28;16:44;16:48;16:59;16:59;17:14;17:14;17:29;17:29;17:44;17:48;17:59;17:59;18:14;18:15;18:29;18:32;18:44;18:50;18:59;18:59;;;;;;
Ahornstraße;12:45;12:45;13:00;13:00;13:15;13:19;13:30;13:30;13:45;13:45;14:00;14:00;14:15;14:16;14:30;14:30;14:45;14:49;15:00;15:01;15:15;15:16;15:30;15:30;15:45;15:46;16:00;15:59;16:15;16:21;16:30;16:29;16:45;16:50;17:00;17:00;17:15;17:15;17:30;17:30;17:45;17:49;18:00;18:00;18:15;18:16;18:30;18:33;18:45;18:51;19:00;19:00;;;;;;
Paunsdorf-Nord;12:47;12:46;13:02;13:01;13:17;13:20;13:32;13:31;13:47;13:46;14:02;14:01;14:17;14:17;14:32;14:31;14:47;14:50;15:02;15:03;15:17;15:17;15:32;15:31;15:47;15:47;16:02;16:00;16:17;16:22;16:32;16:30;16:47;16:51;17:02;17:01;17:17;17:16;17:32;17:31;17:47;17:51;18:02;18:01;18:17;18:17;18:32;18:34;18:47;18:52;19:02;19:01;;;;;;
